name	description	type	level	price	bulk	capacity	usage	hands	source	source_page
Null-Space Chamber, Mk 2	<p>A null-space chamber is a circular device often designed to be strapped to an arm or backpack. When you press a button on the side, the device creates a circular extradimensional rift to a pocket space, the size of which is determined by the null-space chamber’s model. You can close it by pressing the button again, causing the entrance to the space to disappear. Anything stored within the space remains, however, traveling with the item. The null-space chamber can be opened and closed only from the outside.<br/> The only air within the pocket space is that which enters when you open the entrance. The device does not accumulate bulk even as its pocket space is filled. Each null-space chamber is associated with its own particular extradimensional space. Each null-space chamber can carry a set amount of bulk, after which it can no longer be closed (even if it has room left for more material). Spells and items that contain or create extradimensional spaces, such as other null-space chambers, do not function within a null-space chamber’s pocket dimension.<br/> A readout on a null-space chamber automatically catalogs all items within it, and if the chamber is open, you can call up any such item and have it placed in your hand as a full action.</p>	Hybrid	9	12250	L	null	null	null	CRB	227
Prescient Lenses, Mk 2 (Worn)	<p>Prescient lenses blend quantum computing and divination magic to model, extrapolate, and display events happening in the next few seconds as translucent holograms. A pair of lenses has one charge, which is refreshed each day, and a creature can benefit from a single use of prescient lenses each day (with any subsequent attempt showing the same few seconds of time as the first daily use). Prescient lenses were originally as optical enhancements for the robotic anacites of Aballon and can be integrated into a robot for the listed price. Alternatively, they can be installed as a cybernetic eye augmentation for 1,000 additional credits.</p>	Hybrid	9	13900	null	null	null	null	PWD	203
Software Imp, Tier 5	<p>Whether or not it has attained true consciousness, a software imp is a perverse and illegal AI obnoxious enough that the question is academic. Software imps come on memory sticks so they remain isolated from your own systems. A software imp has a tier, and it is ineffective on any computer of a higher tier than its own.<br/> You must have access to a computer to install a software imp on it, and you can do so as a full action. The imp renders its memory stick unusable on the way out, leaving no way to conclusively determine what was once stored there. Once installed, the software imp becomes an artificial personality on its host computer. If the computer already has an artificial personality, the imp finds and overwrites it if possible. Faced with an artificial personality to which it does not have access, the imp lies in wait until it gains access to that personality in order to replace it.<br/> Initially, the imp can access information and modules that were accessible to you when you installed the imp. It can gain further access if a user unwittingly uses more access while the imp is installed. The imp can also fool users into giving it more access by attempting Bluff, Diplomacy, Intimidate, and Sense Motive checks with a bonus according to its tier.<br/> While acting as an artificial personality, the imp is as unhelpful as possible to anyone attempting to use the system. The software imp doesn’t ignore commands, but it interprets them in the worst way possible. It can misdirect, reveal unwanted information, obfuscate the truth, and otherwise aggravate and demoralize the user.<br/> Finding and removing a software imp requires a successful Computers check to hack the imp as if it were a computer of its tier. However, the imp copies and installs itself as redundantly as it can, based on its tier number, and it can revive itself so long as a single copy remains. A dismissal spell targeting a computer infested with software imps can remove the malicious AIs as if they were extraplanar creatures, each with a CR equal to its item level and a Will save bonus based on its tier.<br/> The tiers of software imps and the capabilities of each are as follows.</p>	Hybrid	9	12500	null	null	null	null	ARM	124
Soul Projector, Arriver	<p>A soul projector is a bracer of dark stone accented with brassy metal. While you wear the bracer, you are proficient with it, and you can’t be disarmed of it. The bracer counts as a worn magic item unless you install it in armor, taking up one upgrade slot. Unliving creatures can’t use a soul projector. Each time you attack with a soul projector, it draws forth a tiny bit of your essence to power itself, and you lose a number of Hit Points equal to the number of damage dice the projector deals to your target. This drain of vitality bypasses DR, and the soul projector fails to work if you take no damage. However, if you spend 1 Resolve Point, you can cause the weapon to work without taking this damage. You can use the soul projector to make melee attacks or ranged attacks with a range increment of 60 feet. These attacks target EAC and deal piercing damage that has the force descriptor. A soul projector is also a boost weapon, although boosting the weapon increases the Hit Points the weapon drains from you, with the total amount remaining equal to the total number of damage dice rolled. The amount of damage the weapon deals depends on the model of the soul projector: an arriver deals 3d4 damage (boost 1d4), a returner deals 6d4 (boost 3d4), and an awakener deals 10d4 (boost 5d4). When you score a critical with the weapon, you recover the Hit Points you lost activating the soul projector, as the weapon replaces your spiritual drain with a portion of your target’s spirit. When your character level is within 2 levels of that of the next-highest model of soul projector, you can upgrade the item to its next model. To do so, you must acquire magical ingredients including djezet, mithral, and diamond worth the price of the more powerful soul projector, less 30% of the value of your current projector. You then use the ingredients in a 1-hour ritual to upgrade your soul projector to the higher-level model. You must also pay to upgrade any weapon fusions you wish to keep on the weapon as if transferring each of those fusions to a higher-level weapon.</p>	Hybrid	9	15000	L	null	null	null	DF04	34
Telekinetic Gloves (Worn)	<p>Thin leather gloves that have delicate steel wires running through them, telekinetic gloves allow you to manipulate objects at a distance. The gloves count as a worn magic item unless you install them in armor, taking up one upgrade slot.<br/> While you wear the gloves, you can use psychokinetic hand as a spell-like ability at will with a range of up to 30 feet. Once per day, the glove can be used to either use psychokinetic strangulation as a spelllike ability (range 30 feet, duration 2 rounds, save DC = 13 + your key ability score modifier) or attempt to disarm or trip a target within 30 feet of you. To attempt a combat maneuver, roll 1d20 + your level + your key ability score modifier against your target’s KAC + 8. If you succeed at the disarm maneuver, you can bring the object to you, catching it in a hand you have free or allowing it to land in your space. After you use the gloves this way for the first time in a day, you can spend 1 Resolve Point to do so again, up to two more times a day. Once you use a given pair of telekinetic gloves, you can’t use a different pair for 24 hours.</p>	Hybrid	9	13500	L	null	null	null	ARM	125
Universal Solvent, Concentrated	<p>Sold in enchanted vials that hold one application each, universal solvent is a magical chemical mixture that can dissolve almost every known substance in the galaxy. (Universal solvent can’t damage creatures.) As a standard action, you can splash universal solvent on an object. If a creature holds or wears the item, you must hit with a melee attack against that creature’s EAC. One application of solvent can cover five objects of light bulk, one object of 1 bulk, or a 5-foot area of a surface. When the solvent’s vial is emptied, it leaves a clean, empty vial with no residue.<br/> Universal solvent dissolves adhesives instantaneously, including the strands released by stickybomb grenades, provided the adhesive is of an item level equal to or lower than the solvent. The solvent also softens objects it coats, suppressing hardness according to the solvent’s type. As a full action, a creature can wipe off an application of universal solvent, ending the solvent’s effect on the cleaned object (but not the object used to clean it).<br/> If an object is exposed to universal solvent for 1 minute, the object takes an amount of damage equal to twice the amount by which the solvent’s hardness suppression exceeded the object’s actual hardness. The solvent then becomes inert and turns to dust, and the object returns to its normal hardness.<br/> Universal solvent comes in the following types.</p>	Hybrid	9	2000	null	null	null	null	ARM	125
Antipathy Unit	<p>An antipathy unit is a large device designed to telepathically repel intruders with a mind-affecting compulsion. When activated, the unit broadcasts a signal that most beings find subtly repulsive without being able to discern why the repulsion is occurring. The field affects an area with a radius of up to 100 feet, which you set. Upon entering the field, a creature feels the urge to leave—to remain in the area, the creature must attempt a DC 19 Will saving throw. On a failure, the creature cannot willingly return to the area for 24 hours or until the antipathy unit deactivates. Even if the save succeeds, creatures in the area are uncomfortable, taking a –1 penalty to attack rolls and Perception checks while they remain within it. You can use the biometric parameters on an antipathy unit’s controls to exclude creatures from the effect, but unless you have available biometric data that you can input into the unit for specific absent creatures, excluded creatures must be present when the unit is activated. An antipathy unit functions for 24 hours before needing to be recharged for 24 hours. The activation need not be continuous, but any activation consumes 1 hour of the unit’s power.</p>	Hybrid	10	20000	5	null	null	null	DF05	44
Earthbound Anklets (Worn)	<p>Made of industrial ceramic sometimes decorated with precious minerals, earthbound anklets contain an internal matrix of directional, weight, and acceleration sensors. Traditionally, the ceramic is created from soil constituents from the wearer’s home world, and the anklets are a way to carry a piece of that home. (The rarest earthbound anklets contain clay from lost Golarion.) Pragmatically, through quantum entanglement and magical means, earthbound anklets provide you a connection to normal gravity.<br/> While you wear earthbound anklets, you can activate or deactivate them as a standard action. Wearing the active anklets allows you to act as if you’re in standard gravity, ignoring the perils of high gravity and the benefits of low gravity. In zero gravity, you decide a gravitational up and down when you activate the anklets, changing this orientation as a move action. Activating the anklets in zero-g allows you to end the off-kilter condition as part of the same action, and you can then move relative to your subjective up and down as if you were walking on a solid surface.<br/> This standard-gravity effect applies only to you and to objects you hold or wear. If an object, such as a thrown weapon, leaves your possession, it is subjected to the gravity of your environment rather than that provided by the anklets.<br/> The anklets can remain active for up to 1 hour per day. This usage need not be continuous, but it must be used in 1-minute increments. Once you benefit from a given set of earthbound anklets, you can’t benefit from a different set for 24 hours.</p>	Hybrid	10	17000	L	null	null	null	ARM	121
Metal Nitro, Platinum	<p>Introduced into a vehicle’s engine through the vehicle’s control panel, metal nitro comes in magical capsules of soft metal. Unlike technological racing nitrous, which releases more oxygen into an engine’s system to help the fuel burn, metal nitro infuses the vehicle with a burst of magical power.<br/> As a move action, you can crush a capsule of metal nitro into a vehicle’s control panel, which increases the vehicle’s drive speed and full speed for a total of 10 rounds. If the pilot fails to take the race action within 1 round of activating the metal nitro or fails the Piloting check to race from a dead stop, the metal nitro forces the vehicle to move its full speed immediately in an uncontrolled manner. If the Pilot fails the check to race, or the nitro activates in an uncontrolled manner, the pilot and any passengers take bludgeoning damage according to the type of metal nitro.<br/> Metal nitro can be safely used only on a vehicle that has an equal or higher item level. If you use metal nitro of an item level higher than the target vehicle’s, the vehicle takes damage after the pilot races or the vehicle first moves because of the nitro. The amount of damage varies according to the type of metal nitro.<br/> The types of metal nitro and their speed increase, as well as potential passenger and vehicle damage, are as follows.</p>	Hybrid	10	2700	null	null	null	null	ARM	123
Mnemonic Editor, Mk 2	<p>A mnemonic editor consists of a complex series of brain implant injectors, digital harrow deck autoreaders, illusion runes, and virtual-reality programs, all controlled by an enchanted analysis computer and attached to a mobile surgical bed. The network of magic and technology is capable of removing experiences from a patient strapped to the bed over the course of a single 24-hour session. Skills and knowledge can be excised, lessons unlearned and muscle memory altered. Memories are not lost entirely; the patient still recalls what it did during its life, whom it met, and how it felt about the moments it experienced, but the impact of those experiences is subtly altered. The device then creates a new set of experiences—clearly artificial but no less effective—by leaving impressions and implanting new knacks, muscle memory, reflexes, and skills.<br/> If you use a mnemonic editor, you can undo 2 character levels’ worth of decisions about which class levels you took, which feats you selected, how you applied any level-based increases to ability scores, how you assigned new skill ranks, and so on. All decisions you made as a result of advancing over the previous 2 character levels you gained are undone. You then make new selections, including new class levels, feats, skills, and the like, as if you had regained the 2 missing character levels. Go through the normal process of advancing your character through each of these 2 levels.<br/> Each mnemonic editor works only once—the strain on its technology and the consequences of rewriting your past to even this small degree cause it to break down into valueless junk after a single session. Additionally, the alterations made to you render it more difficult for such extraordinary procedures to be effective in the future. A mk 1 mnemonic editor cannot be used on you if you have already benefited from one in the past. However, it is possible to use a more advanced mk 2 model that functions in the same manner, even if you have already used a mk 1 mnemonic editor. Of course, you can only benefit from a mk 2 mnemonic editor once. There exist even more advanced mk 3 and mk 4 models, and each can be used on you once even after you have used a lower-level mnemonic editor, but they are so expensive that they are usually produced only upon request.</p>	Hybrid	10	3000	10	null	null	null	CRB	226
Necrotic Mantle (Worn)	<p>Used by the commanders of the Corpse Fleet to conceal their unliving agents, a necrotic mantle is woven of bioactive fibers that mask the necromantic energies of an undead wearer and convert positive energy into something less harmful to that undead. While wearing a necrotic mantle, if you are undead, you have the aura of a living creature instead of an undead for the purposes of magic or technology that can detect undead. You receive a +4 divine bonus to saves against any spell or effect that targets undead, such as control undead. In addition, if you are undead and fail a saving throw against a spell that both affects only undead creatures and has an ongoing effect (such as control undead), you can attempt a second saving throw after 1 round with the same DC as the first. If you succeed, you gain the same reduction in effect as if your initial saving throw had been successful. Additionally, any effort to determine whether a necrotic mantle you are wearing is a magic or technological item requires the creature making the determination to succeed at a Will save (DC = 15 + your key ability modifier).<br/> If you are undead and are by or in the area of an effect that restores Hit Points only to living creatures, you regain half the number of Hit Points instead of none. If that effect also damages undead creatures, you take no damage; this does not apply to effects that harm undead without healing living creatures.</p>	Hybrid	10	17000	L	null	null	null	PWD	203
Queller	<p>A queller looks like a simple fire extinguisher and is constantly covered with a thin layer of frost. Three times per day as a standard action, you can use a queller to spray a burst of freezing chemicals in a 15-foot cone that deals 5d8 cold damage to each creature in the area (Reflex DC 15 half) and extinguishes all nonmagical fires in the cone (this ends any burning conditions). Kishalee researchers used similar devices to contain incursions from the Elemental Planes; at the GM’s discretion, other quellers that deal different types of energy damage might exist (though they don’t extinguish fires).</p>	Hybrid	10	18000	1	null	null	null	DS04	45
Remote Surveyor (Worn)	<p>Forbidden from venturing to the Sepres VI’s surface due both to the cultural taboo against doing so and the very real risks associated with it, seprevois—especially members and sympathizers of the Returners—created these handheld devices to remotely explore their planet’s surface. The surveyor features a small dish that transmits and receives a signal to the target, as well as a view screen and speaker that relay the device’s findings to you. The device allows you to employ both the audio and visual versions of clairaudience/ clairvoyance simultaneously at a planetary range once per day, for a maximum duration of 10 minutes.</p>	Hybrid	10	18000	L	null	null	null	DS05	43
Scrambler Gloves, Mk 2 (Worn)	<p>Runes and twisting lines crisscross the shimmering surface of scrambler gloves. The gloves count as a worn magic item unless you install them in armor, taking up one upgrade slot.<br/> You can touch a creature with these gloves by attempting a melee attack against your target’s EAC. If you hit, the scrambler gloves disrupt the target’s mental faculties, rendering the victim confused and shaken for 1 round if it succeeds at a Will saving throw (DC = 10 + half the item level + your key ability score modifier), or for 1d3+1 rounds on a failed save. However, when the creature rolls on the confusion table, a result of 51–75 causes the creature to instead be staggered, and on a result of 76–100, the creature is instead staggered and can’t cast spells or activate supernatural abilities. This is a mind-affecting effect.<br/> After you use the gloves, you can spend 1 Resolve Point to use them again. The gloves’ type determines how many times they can be used per day and how many Resolve Points you can spend for additional activations per day. Once you use a given pair of scrambler gloves, you can’t use a different pair for 24 hours.</p>	Hybrid	10	18000	L	null	null	null	ARM	124
Swarm Programmer Pill	<p>A Swarm programmer pill is a compact lozenge that contains a paper‑thin sliver of a Swarm programmer’s brain. As a full action, you swallow the tablet and it alters your biology, allowing you to choose one of the following effects. If you use another Swarm programmer pill within 24 hours, you become fatigued. Attempting to use a Swarm programmer pill while you are exhausted does little other than consume the pill. While under the pill’s effects, you attract the attention of Swarm components in the same way weapons that have the Swarm weapon special property do.<br/> <strong>Acidic Ejection:</strong> You gain acid resistance 5 and can launch acid as if part of your body (often the mouth) were a macrergate acid cannon, with which you are considered to be proficient. You are immune to your own acid. These adaptations last 4 hours.<br/> <strong>Alate Form:</strong> You grow a set of diaphanous insectile wings that allow you to fly at a speed 10 feet slower than your land speed. Your flight is an extraordinary ability with average maneuverability. The adaptation also grants you a +5 bonus to Acrobatics checks to fly. The wings function for 2 hours. If you are aloft when the effect ends, you float downward 60 feet per round for 3 rounds. If you fail to land or attain another means to fly by then, you fall as the wings detach. This detachment is uncomfortable but deals you no damage.<br/> If necessary, the wings can integrate with your armor. Once they have, removing your armor ends the effect by causing the wings to detach as above.<br/> <strong>Arolia:</strong> You grow special limb pads that grant you a climb speed 10 feet slower than your land speed. You retain this speed for 12 hours. If necessary, the pads can integrate with your armor, functioning as with the wings of alate form. If you’re climbing when the effect ends, you can still attempt to climb by other means.<br/> <strong>Bravery:</strong> You become inured to fear. For 24 hours, whenever you attempt a saving throw against a fear effect, treat any number you roll on the d20 lower than 8 as 8. In addition, if you fail a saving throw against a fear effect, you can reroll that saving throw once. If you still fail the saving throw, you suffer the fear effect for only half its duration, rounded down to a minimum of 0 rounds.<br/> <strong>Swiftness:</strong> For 12 hours, you gain a 20-foot enhancement bonus to speed in all movement types you have.<br/> <strong>Telepathy:</strong> You gain limited telepathy with a range of 30 feet, like that of a lashunta or shirren. If you already have limited telepathy, the adaptation grants you true telepathy. Either adaptation lasts 12 hours. During this time, you can also cast the 1st-level version of mind thrust as a spell-like ability up to three times.<br/> <strong>Weaponized Arm:</strong> One of your hands grows a macrergate mindspike or macrergate thresherblade, with which you are considered to be proficient. If necessary, the weapon integrates with your armor, functioning as with the wings of alate form. You can’t use the affected hand for other purposes, but neither can you be disarmed of the weapon. This adaptation lasts 4 hours, or until you detach the weapon as a standard action, then the weapon disintegrates.</p>	Hybrid	10	2800	null	null	null	null	A!01	52
Telelocator	<p>A telelocator is a hybrid scanner that you can hold in one hand and activate as a move action if you have limited telepathy or telepathy. Each round, you use a move action to combine your telepathic ability with the scanner. The scanner operates by using blindsense (thought) with a range equal to the range of your limited telepathy or telepathy, as well as sense through (thought) at half that range. Targets appear on the scanner showing their distance and direction from you. A telelocator works on an internal energy source that can power it for 10 minutes per day. Each use, no matter how short, consumes 1 minute of this time. However, a creature that has limited telepathy or telepathy can spend 1 Resolve Point to use personal psychic power to fully recharge the telelocator. The psychic link created by using a given telelocator prevents you from using a different one for 24 hours.</p>	Hybrid	10	20000	L	null	null	null	DF01	45
Telespectrum Circlet, Mk 2	<p>A telespectrum circlet is a hybrid item that counts as a worn magic item unless you install it in armor, taking up one upgrade slot. The circlet increases the range of your limited telepathy based on the item’s model number. In addition, the circlet has a number of charges per day based on its model number. As a move action, you can expend one of these charges to use your limited telepathy on any creature that knows a language rather than only those that share a language with you. This effect lasts for 10 minutes. Once the circlet’s charges are expended, you can spend 1 Resolve Point in place of a charge to power the effect. The psychic link created by using a given circlet prevents you from using a different one for 24 hours.</p>	Hybrid	10	20000	L	null	null	null	DF01	45
Vital Seed, Zeolite	<p>Bioengineered to grow specific chemicals and cellular structures, even those that replicate animal or humanoid flesh, vital seeds come packed in tiny capsules of First World soil to make them grow at alarming speeds. The specific effect depends on the purpose for which the seed was bioengineered. Vital seeds can grow livestock and plants, replace missing organs, and perform many other useful tasks. Some common vital seeds are listed here.</p>	Hybrid	10	5000	null	null	null	null	ARM	125
Void Dust	<p>This powder looks like shimmering iron filings, but void dust is actually nanotech infused with magic antithetical to force effects. As a standard action, you can sprinkle the dust on something within your reach. When you sprinkle the dust on a magical force effect or a personal force field, roll 1d20 + 10 against a DC equal to 11 + the level of the caster or the item that created the force effect. If you succeed, the targeted effect is disrupted. A magical effect either ends, or, if it’s permanent or ongoing, is suppressed for 10 minutes. A personal force field is suppressed for 10 minutes. If you fail, the targeted effect is suppressed for 1 round. The time spent suppressed counts against an effect’s duration, and an item that uses battery charges still consumes those charges while suppressed.<br/> Void dust is sold by the pinch. One pinch affects only one force effect, and the pinch is consumed whether you succeed or fail. This dust isn’t strong enough to affect starship force fields or force effects of a similar scale.</p>	Hybrid	10	2550	null	null	null	null	ARM	126
Adaptive Swarm Mask	<p>An adaptive Swarm mask is made from the exoskeleton plates from the head of a Swarm component. The mask counts as a worn magic item unless you install it in armor, taking up one upgrade slot. When you take damage of any type while wearing the mask, it reduces the damage by 5. It then ceases to provide that benefit, instead providing damage reduction or energy resistance 5 against the same damage type for 1 minute. The mask remains adapted to the same damage type even if you take a different type of damage. After the duration elapses, the mask becomes unadapted and can adjust to a new damage type. This mask attracts the attention of Swarm components in the same way weapons with the Swarm weapon special property do.</p>	Hybrid	11	24500	L	null	null	null	A!01	52
Animistic Tools, Mk 3	<p>People often have superstitions regarding whether objects have a spirit or intelligence, and animistic tools were made with such beliefs in mind. Each of these tool kits has the power to communicate a user’s intentions to inanimate objects. When you use animistic tools with the appropriate skill and you fail a check, you can use the tool’s magic to reroll the check and take the higher result. In addition, as a move action, you can tap or bang a tool from the kit on a broken object, causing the object to ignore the penalties of being broken for a time. An item can benefit from animistic tools in this way only once per day, causing some engineers to joke that no one likes percussive maintenance.<br/> The model of the tools determines the number of rerolls per day and the time an item ignores the broken condition. Once you use a set of animistic tools, you can’t benefit from a different set for 24 hours.</p>	Hybrid	11	22000	L	null	null	null	ARM	120
Infiltration Assistant (Worn)	<p>A magical scanner and psychic projector connected to sophisticated 3D mapping software, an infiltration assistant can create sophisticated representational maps of an area you’re in. You wear the scanner on your head or headwear, wirelessly connected to your comm unit or eyewear. The assistant counts as a worn magic item unless you install it in your armor, taking up one upgrade slot.<br/> As a move action while wearing the assistant, you can cause the device to magically ping an area within a 60-foot spherical spread of you. Using this ping, the software creates a 3D reconstruction of the area, which it psychically projects to you and all creatures you consider allies in the affected area. This image adjusts to show each creature where it is in the image. The ping doesn’t sense through most objects, but it can sense through a closed door or window that isn’t airtight, hidden, or otherwise sealed. However, any starmetal in the structure of the door or window blocks this benefit. The ping can detect creatures and objects beyond your line of sight and places them as features on the map. Images of such creatures and objects are sometimes distorted, especially if they’re in motion.<br/> The infiltration assistant grants you and your allies in its area a +5 insight bonus to Perception checks to locate hidden creatures and doors within the mapped area. The bonus to find creatures applies only so long as those creatures remain in the same place.<br/> Creatures with ranks in Mysticism perceive the ping like a barely audible sound that raises goose bumps, and they can attempt a DC 25 Mysticism check to determine that something magical just happened. A creature concentrating on detect magic can sense the ping as a brief flash of magic, and a creature benefitting from arcane sight can see the ping as a literal flash of divination magic.<br/> An infiltration assistant can send out 10 pings per day. Each psychic image it produces lasts 5 rounds. As a move action, you can save the image on your comm unit or a similar device for later reference. This static image can provide you a map of the pinged area later without needing to ping it again, but it provides no bonus to Perception checks.<br/> Using the assistant creates magical resonance in creatures that benefit from it. Any creature that benefits from more than 10 pings in a given day experiences visual anomalies, becoming dazzled until after an uninterrupted 8-hour rest.</p>	Hybrid	11	28000	L	null	null	null	ARM	122
Mindshield Circlet, Mk 2	<p>When shirrens first arrived in the Chuuva system, they were still plagued by fears that despite the protection of Hylax, they might be forced back into the Swarm, losing all the individuality and freedom of choice they had come to embrace. Researchers explored ways to further insulate the empathic race from the Swarm’s psychic call, ranging from the ineffective to the distasteful to some outright unethical practices. The mindshield circlet is in the center of this gamut, although it has retained some utility beyond the potential it has to prevent Swarm manipulation.<br/> While wearing a mindshield circlet, you can’t use limited telepathy and telepathy, and those using such abilities can’t contact you. In addition, you can cast no spells and use no spell-like abilities that are mind-affecting. Furthermore, it is more difficult to affect you with such abilities, even beneficial ones. The mindshield circlet’s model determines a DC, providing protection against such effects. The creator of an effect must make a check, rolling 1d20 + caster level or CR against the DC to overcome your circlet’s protection and affect you normally.<br/> Even at the height of the shirrens’ collective fear of the Swarm, mindshield circlets were a poor solution, as most shirren found the loss of their telepathic abilities to be too isolating to bear for long. The items retain utility, especially by species that don’t rely on telepathy. Such species have copied the technology and make more use of these protective devices.</p>	Hybrid	11	24500	L	null	null	null	A!03	42
Retrieval Charms, Mk 2	<p>Most retrieval charms are bejeweled decorations, although some are knickknacks that depict popular idols or fictional characters. These items come in a pair, each charm attuned to the other with magically enhanced quantum entanglement. It takes 1 minute to attach a charm to an object, and this object can have no more than 3 bulk. As a move action, you can activate the second charm while holding it, teleporting the first charm and its attached object to you. If you do so, the object instantly appears in hand if you have enough hands free to grasp it. Otherwise, it appears in your space. The attached object teleports to you even if it is worn or carried by another creature. Each set of retrieval charms can be used one time per day.<br/> The charms’ type limits the scale of the teleportation, as follows.</p>	Hybrid	11	26000	L	null	null	null	ARM	124
Software Imp, Tier 6	<p>Whether or not it has attained true consciousness, a software imp is a perverse and illegal AI obnoxious enough that the question is academic. Software imps come on memory sticks so they remain isolated from your own systems. A software imp has a tier, and it is ineffective on any computer of a higher tier than its own.<br/> You must have access to a computer to install a software imp on it, and you can do so as a full action. The imp renders its memory stick unusable on the way out, leaving no way to conclusively determine what was once stored there. Once installed, the software imp becomes an artificial personality on its host computer. If the computer already has an artificial personality, the imp finds and overwrites it if possible. Faced with an artificial personality to which it does not have access, the imp lies in wait until it gains access to that personality in order to replace it.<br/> Initially, the imp can access information and modules that were accessible to you when you installed the imp. It can gain further access if a user unwittingly uses more access while the imp is installed. The imp can also fool users into giving it more access by attempting Bluff, Diplomacy, Intimidate, and Sense Motive checks with a bonus according to its tier.<br/> While acting as an artificial personality, the imp is as unhelpful as possible to anyone attempting to use the system. The software imp doesn’t ignore commands, but it interprets them in the worst way possible. It can misdirect, reveal unwanted information, obfuscate the truth, and otherwise aggravate and demoralize the user.<br/> Finding and removing a software imp requires a successful Computers check to hack the imp as if it were a computer of its tier. However, the imp copies and installs itself as redundantly as it can, based on its tier number, and it can revive itself so long as a single copy remains. A dismissal spell targeting a computer infested with software imps can remove the malicious AIs as if they were extraplanar creatures, each with a CR equal to its item level and a Will save bonus based on its tier.<br/> The tiers of software imps and the capabilities of each are as follows.</p>	Hybrid	11	25000	null	null	null	null	ARM	124
Void Hag Robe	<p>You can wear a void hag’s robes as white carbon skin armor, or the robes can be worn as a cloak or tabard, offering no armor protection. In either case, you can treat the robe as a worn magic item. If you do so, you can use the void hag’s stardust robes special ability. Once you use a given void hag robe, you can’t use another void hag robe for 24 hours. However, you can expend 1 Resolve Point to use the robe’s powers again during the same day, up to a maximum of three times per day.<br/> The robes aboard the Crucible are cursed. If you use the robes as a worn magic item, you are affected as if you are inside a planar barrier. You can still travel to another plane in a larger vehicle, such as a starship entering the Drift, but you can’t travel the planes bodily. The hags on the Crucible placed this curse knowing it would preclude the bearers of their robes from using spells such as plane shift to easily escape the PCs, whose attack the hags foresaw in visions.</p>	Hybrid	11	25000	1	null	null	null	DF06	24
Ablative Insulation, Mk 3	<p>Civilization on Verces exists on the thin line between fiery heat and frozen desolation. Verthani’s unique perspective on the elements led them to develop temperature-sensitive compounds with remarkable properties. Ablative insulation comes in a single-use canister containing enchanted fullerene-based powder. In a process that takes 1 minute, you can spray the contents on a creature to thoroughly coat it with the powder (though it automatically avoids orifices and sensory organs such as the eyes, mouth, and nose). The creature coated gains energy resistance to all energy types (which doesn’t stack with any other source of energy resistance), and the ablative insulation wears away as it prevents damage. The coating lasts for 1 hour if not ablated away sooner. Multiple coatings don’t offer any additional benefit (ignore all but the highest-level coating). Each canister contains enough material to fully cover a single Medium or smaller creature, with any excess wasted. When applied to a Large creature, the insulation provides only half the energy resistance (rounded down) and total points of absorption unless a second canister is used. If applied to a Huge or larger creature, the insulation is wasted without effect.</p>	Hybrid	12	5500	L	null	null	null	PWD	202
Computer Idol, Mk 3	<p>A computer idol is a small statuette that creates a field of good luck during computer use. These figures vary wildly in shape, from religious figures to trivid mascots. When you fail a Computers check, the computer idol allows you to reroll and take the higher result. You must be within 5 feet of your computer idol and able to see it to benefit from it.<br/> A computer idol allows a number of rerolls per day based on its type. Once you benefit from a given computer idol, you can’t benefit from a different one for 24 hours.</p>	Hybrid	12	34000	L	null	null	null	ARM	120
Creator Capsule, Mk 3	<p>Although it appears to be little more than an oblong case full of electronics, a creator capsule is a tiny 3D printer, with a programmable interface and a supply of UPBs stored in an extradimensional space. As a full action, you can connect the creator capsule wirelessly to your comm unit or computer, then command it to print one or more nonmagical personal or technological items. Printing an item requires you to have the plans on the connected device or an infosphere connection through which you can download the blueprints.<br/> A creator capsule takes 1 round to create an item, plus 1 round per bulk of the item above light. No individual printed item can have a bulk greater than 3. The creator capsule consumes itself during the printing process. Although the printer can be stopped as a move action, doing so renders the capsule useless for further printing. An item printed by the creator capsule is of average quality, and it has the statistics of an ordinary item of its type.<br/> Based on its type, a creator capsule has the following cost and level limits on items it creates.</p>	Hybrid	12	38000	L	null	null	null	ARM	120
Holding Gloves, Mk 2 (Worn)	<p>Holding gloves have copper mesh on the fingertips and forming a concavity on the palm. The gloves count as a worn magic item unless you install them in armor, taking up one upgrade slot.<br/> Once per day as a standard action while wearing the gloves, you can use their embedded spell as a spell-like ability. If you hit with a melee attack (including an unarmed strike), you can use the spell from the gloves as a reaction, targeting the same creature the attack hit, without provoking an attack of opportunity. After the first time you cast the spell, you can spend 1 Resolve Point to cast it again, up to two more times on a given day. Once you use a given pair of holding gloves, you can’t use a different pair for 24 hours.<br/> The spell imbued in holding gloves depends on their model, as follows.</p>	Hybrid	12	35000	L	null	null	null	ARM	122
