id	name	sub_race_name	description	ability	avg_height_or_length	avg_weight	age_of_maturity	maximum_age	hit_points	size	type	subtype	source	source_page
75	Kasathas	Akitonian Settler	<p>Kasathas go by their first names, though their full names always encompass additional names denoting parentage, clan or subclan, relation to the Great Families of Kasath, and connection to historical heroes—it’s not uncommon for a kasatha’s full name to include half a dozen such elements. For instance, a kasatha who introduces himself as Isu might properly be named “Isu Cocretia Qaru Maras of Clan Tarma, House Hadulan, soul-splinter of the line of Ru.” Some examples of kasathan first names are Altronus, Esar, Gorsen, Hadif, Jehir, Kala, Maedar, Metweska, Ninura, Remu, Senesel, Tolar, Umana, Voloteo, and Zye.</p>	+2 DEX, +2 WIS, -2 CON	6–7 ft.	120–200 lbs.	25 years	100+2d20 years	4	Medium	Humanoid	Kasatha	COM	20
76	Kasathas	Kasath Native	<p>Kasathas go by their first names, though their full names always encompass additional names denoting parentage, clan or subclan, relation to the Great Families of Kasath, and connection to historical heroes—it’s not uncommon for a kasatha’s full name to include half a dozen such elements. For instance, a kasatha who introduces himself as Isu might properly be named “Isu Cocretia Qaru Maras of Clan Tarma, House Hadulan, soul-splinter of the line of Ru.” Some examples of kasathan first names are Altronus, Esar, Gorsen, Hadif, Jehir, Kala, Maedar, Metweska, Ninura, Remu, Senesel, Tolar, Umana, Voloteo, and Zye.</p>	+2 DEX, +2 CON, -2 CHA	6–7 ft.	120–200 lbs.	25 years	100+2d20 years	4	Medium	Humanoid	Kasatha	COM	20
77	Kasathas	Nomad	<p>Kasathas go by their first names, though their full names always encompass additional names denoting parentage, clan or subclan, relation to the Great Families of Kasath, and connection to historical heroes—it’s not uncommon for a kasatha’s full name to include half a dozen such elements. For instance, a kasatha who introduces himself as Isu might properly be named “Isu Cocretia Qaru Maras of Clan Tarma, House Hadulan, soul-splinter of the line of Ru.” Some examples of kasathan first names are Altronus, Esar, Gorsen, Hadif, Jehir, Kala, Maedar, Metweska, Ninura, Remu, Senesel, Tolar, Umana, Voloteo, and Zye.</p>	+2 INT, +2 CHA, -2 WIS	6–7 ft.	120–200 lbs.	25 years	100+2d20 years	4	Medium	Humanoid	Kasatha	COM	20
78	Kayal	null	<p>Also known as fetchlings, kayals are descendants of humans trapped on the Shadow Plane millennia ago. The ambient essence of shadow has long since permeated their forms, making them their own unique species. Their time spent without direct access to light has left them bleached of color. Dark, pale, or gray of skin tone, with white or pitchblack hair and yellow eyes, kayals have tall, lithe bodies that seem to blend in and out of darkness effortlessl . Some kayals are said to be able to command the shadows themselves, manipulating their appearance or using them as a conduit to travel across space and even between the planes.<br/> Kayals have spent hundreds of centuries dealing with creatures native to the Shadow Plane, which requires a certain amount of moral ambiguity. As a result, they have made deals and agreements with creatures that most other species would consider dangerous or evil. For kayals, these agreements were a matter of simple survival—the pragmatic decision is always the right one, even if it involves shaking hands with those others might consider to be monsters.<br/> Kayals on the Material Plane tend to conceal their appearances with hooded cloaks or masks, even though they are not sensitive to bright light. These kayals hide themselves either out of fear of prejudice from those who had bad dealings with their ancestors or because they are embarking on nefarious deeds and don’t wish to be recognized by local authorities.</p>	+2 DEX, +2 CHA, -2 WIS	null	null	null	null	4	Medium	Outsider	Native	SS3	57
79	Khizars	null	<p>Plantlike humanoids, the solemn khizars live in harmony with the natural environment, and many strive to protect the wilderness areas they inhabit. While this often brings them into conflict with other species and cultures, khizars are eager to learn about others’ ways in an effort to understand them.<br/> Khizars are humanoids with two arms, two legs, vestigial vines on their backs, and greenish-brown skin of tough cellulose fiber. They have hydrostatic skeletal structures and bleed a thick sap-like liquid if cut. Their limbs end in rootlike tendrils with some manipulative ability, but these are clumsier than a humanoid’s fingers. Khizars’ heads are actually complex seedpods; these tough, translucent membranes over woody latticeworks contain phosphorescent seed clusters that glow softly through the papery membrane, giving the species the nickname “lanternfolk.” The color of this glow shifts as khizars experience different emotions, and canny observers can tell khizars’ mood before they convey a word. Lacking mouths, khizars “taste” things by touching or handling them with their digits.<br/> Originating in the wild expanses of the untamed continent Ukulam on Castrovel, khizars developed from carrion-feeding plants that used slow movement and crude empathic senses to find dying animals to feed on. They eventually grew to have full-fledged societies, though they hardly approach the population numbers of elves, formians, or lashuntas. With space travel becoming more common, some khizars have relocated to the Ice Wells of Aballon to protect those natural spaces from the native robots’ encroaching megaplexes.<br/> Khizars have a strong sense of individuality, but they maintain no gender or cultural divisions based on appearance, caste, wealth, or other indicators. The only things ancient khizars competed over were food sources and having new and novel experiences, and they tended to solve competitions over the former by embracing the latter. Khizars tend to be very protective of the natural spaces where they live, sometimes resulting in violent clashes, and many have recently joined or allied with the Xenowardens in defense of certain worlds. Khizars are oblivious to many physical differences in other species, so they judge people by their actions rather than their appearances.</p>	+2 CON, +2 WIS, -2 DEX	6–7 ft.	150–250 lbs.	60 years	500+3d% years	6	Medium	Humanoid	Khizar/Plantlike	PWD	212
80	Kiirinta	null	<p>Kiirintas prefer to adopt names that employ harder consonants or make use of “ii” style sounds. Their names often incorporate sharper sounds that can be screeched in stressful situations.</p>	+2 DEX, +2 INT, -2 WIS	null	null	null	null	4	Small	Fey	null	SFS2	8
81	Kish	null	<p>Kish are the descendants of the kishalee, an advanced civilization that ruled the stars millennia ago, though they have lost any firm grasp of kishalee mystical and technological innovations. In the floating metropolis of Istamak (see page 38), kish live among the ruins of their ancestors’ civilization.<br/> Kish are tall humanoids with three eyes and long, powerful limbs. They have sharp-toothed mandibles and smooth, hairless heads. Kish skin color ranges from gray to sky blue, with gradations in hue across their bodies. There is little variation between kish genders, though kish can easily tell males from females by subtle differences in the shape of the central eye.<br/> Kish tend to congregate into tribes that are led by either the strongest or the wisest of their number. Some kish tribes pass leadership peacefully among themselves, while others put potential leaders to a test of might or wits—or both.</p>	+2 STR, +2 WIS, -2 INT	null	null	null	null	5	Medium	Humanoid	Kish	DS04	58
82	Lashuntas	Damaya	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 INT, +2 CHA, -2 CON	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	CRB	48
83	Lashuntas	Damaya/Hunter Legacy	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 DEX, +2 CHA, -2 STR	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	COM	22
84	Lashuntas	Damaya/Mind Forward	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 INT, +2 WIS, +2 CHA, -4 CON	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	COM	22
85	Lashuntas	Korasha	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 STR, +2 CHA, -2 WIS	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	CRB	48
86	Lashuntas	Korasha/Hunter Legacy	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 STR, +2 DEX, -2 INT	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	COM	22
87	Lashuntas	Korasha/Mind Forward	<p>Lashunta naming conventions vary widely among city-states, but often tend toward soft sounds with tonal elements that make them sound musical and elegant to other races. Some sample lashunta names are Domash, Hesori, Kima, Kopalo, Maenala, Nomae, Oraeus, Raia, Shess, Soryn, Taeon, and Varikuara.</p>	+2 INT, +2 CHA, -2 CON	5–7 ft.	140–180 lbs.	20 years	80+2d20 years	4	Medium	Humanoid	Lashunta	COM	22
88	Maraquoi	null	<p>Maraquoi are the primary native race of Marata, one of Bretheda’s moons. A primitive culture until relatively recently, maraquoi have made rapid technological advances as a result of interplanetary trade, yet they maintain many of the traditions of their ancestors. Maraquoi stand slightly taller than humans on average, and their bodies are covered with silky fur that acts like thousands of tiny antennae, transmitting sound to their sensitive skin. Maraquoi also each have a prehensile simian tail that allows them to manipulate objects.<br/> More than anything else, the maraquoi’s complex genders and familial structures set them apart from other races. Where many humanoid races in the Pact Worlds have a binary system of sexual reproduction, maraquoi have seven different sexes, each playing a different role in the process of reproduction. The ilsha, qsha, and susha (roughly translated to “earth-sire,” “sky-sire,” and “water-sire,” respectively) each contribute genetic material to the uisha (“sharer”). Shortly thereafter, the uisha passes the fetal maraquoi on to a klsha (“bearer”), who carries the child to term. Once born, the infant maraquoi must be passed on to a mesha (“cradle”), who carries the child in a marsupial-style pouch and nurses them until they wean. The most unusual sex might be the zysha (“facilitator”). While a zysha does not have much to do with the physical process of reproduction, their presence throughout is vital, as they somehow still pass on elements of their genetic code to the developing maraquoi. Monogamous marriage and similar traditions are unknown in traditional maraquoi culture, and despite the influx of media from other worlds, most maraquoi remain perplexed or amused by the concept.<br/> Maraquoi culture has a deep respect for life and the notion of family. The loss of several tribe members could prevent reproduction altogether, and so every life must be protected and treasured. This applies to other forms of life as well, and each hunt is traditionally followed by a ritual honoring the slain beast. Nearly all maraquoi consider themselves part of a single extended family, and intertribal conflict is rarely lethal. At the same time, the abundance of predatory fauna on their home world means that maraquoi warriors are both common and extremely skilled, using their abilities to guard their tribes. The practice of turning to mercenary work on other planets has deeply divided the maraquoi in recent generations: some believe there’s no conflict with their belief system so long as they never kill other maraquoi, while others rail against what they see as an abandonment of virtue and the exploitation of their noble guardians by outside interests. Even maraquoi mercenaries, however, retain much of their traditional honor system, with rituals recognizing fallen friends and foes alike.<br/> Many maraquoi treasure their ancient hunter-gatherer customs, and some tribes still dwell in cliffside caves and split-log longhouses in the deep forests, with only basic technological conveniences. Others follow cattle-lizard herds across rocky plateaus but use modern vehicles and weapons. Still others seek to fully industrialize, and in recent years they have created impressive urban settlements, mining and exporting the planet’s natural resources in violation of the traditionally communal approach to property. Tensions are increasing between the various groups, and some maraquoi fear that their society is on the verge of fracturing beyond repair.</p>	+2 CON, +2 WIS, -2 DEX	5-1/2 to 7 ft.	100–250 lbs.	12 years	40+3d10 years	5	Medium	Humanoid	Maraquoi	AA1	75
89	Morlamaw	null	<p>The small planet of Arniselle in the Vast features a few small ice-laden landmasses, but the immense oceans contain nearly all of its life, including the vibrantly colored morlamaws. These creatures, whose imposing physical size belies their generally good-natured personalities, have round torsos that end in a single wide flipper. They can breathe both underwater and on land, perhaps indicating that their ancestors lived on the planet’s continents in eons past. Currently, only particularly brave morlamaws venture onto the land, though swimming up to the surface isn’t uncommon. A morlamaw’s side flippers allow a large degree of fine movement, enabling them to manipulate objects and use equipment. A morlamaw has four tusks that they decorate with patterns meaningful to them as an individual. Their coloration doesn’t necessarily correspond to that of their parents, and they are sometimes born with multiple colors, which is thought to be a sign of good luck for the family. Morlamaws are typically between 10 and 12 feet long and weigh between 1 to 1-1/2 tons.<br/> Morlamaw society is concentrated in several dozen cities built into long undersea trenches. The largest settlements have extensive urban areas that effectively form small city-states. Each city has a leader, though some inherit their titles while others are elected. Their buildings tend to be very regular, with morlamaws often digging straight lines into the trenches rather than following the natural curvature of the terrain. Many morlamaws take to engineering and have developed underwater versions of common technologies, though computers remain an engineering challenge. While no other sapient species are native to Arniselle, the trench cities are easy to protect from the many dangerous predators that inhabit the cold oceanic world. Travel between trenches is risky, resulting in de facto highways along the most efficient routes. Morlamaws who commit dangerous crimes are exiled, sentenced to fend for themselves in the underwater wilds. Most eventually succumb to the dangers of the wilderness, but a few thrive, becoming even deadlier themselves.<br/> Morlamaw society is extremely orderly, and most morlamaws prefer to follow others. Their daily lives are often defined by the numbers of lines they wait in. Their diet is primarily carnivorous, and many morlamaws are skilled hunters. While their ancestors speared fish directly with their tusks, modern morlamaws are more likely to use spears, nets, or traps. Other morlamaws cultivate or gather shellfish. Some adventurous morlamaws hunt on land, and the meat they find there is considered a great delicacy. Spellcasters are extremely common, and even morlamaws who can’t actually cast spells are knowledgeable about mystical topics. Most morlamaws are also fairly religious, worshipping a large number of their own deities and attending religious services regularly. Each trench city has its own patron deities.<br/> The morlamaw language is based on gesture and expression as much as words. Gestures vary greatly between regions, and what is innocuous in one trench city could be insulting in another, making communication between the trench cities difficult. Music and dance also play a large role in morlamaw culture, and choirs and orchestras abound. Instruments are typically percussive or metal-stringed, since they must function underwater, and these are accompanied by vocals. Morlamaw music is very structured, with multi-part harmonies. Their dances take full advantage of being performed underwater, as entertainers twirl with the currents.<br/> Arniselle recently attracted visitors from the Pact Worlds, thanks to the planet’s prevalent natural resources, introducing the morlamaws to creatures from other planets for the first time. Several of the major trench cities now have teams hard at work developing water-filled, Drift-capable starships. Particularly adventurous morlamaws have taken to the stars in other ways, getting jobs with mining companies, trading consortiums, the Starfinder Society, and AbadarCorp, who find the orderly morlamaws to be excellent employees. Among other species, morlamaws have a reputation as friendly, good-natured, cooperative, and somewhat gullible.</p>	+2 CON, +2 CHA, -2 WIS	10 to 12 ft.	1,800 to 3,000 lbs.	16 years	85+2d20 years	4	Large	Monstrous Humanoid	Aquatic	AA3	73
90	Neskintis	null	<p>The lush, green world of Gjor III is full of natural wonder and primal mystery, of which neskintis are a small part. An ancient, close-knit species of primates, neskintis live among the dense canopies of continent-wide jungles, spending entire generations without seeing the ground. Myths among the neskintis speak of Nesk, a powerful nature spirit who blessed them with sentience and granted them dominion over the skyscraping flora of their native jungles. In obeisance to Nesk and her spiritual progeny, which are said to live in all objects, neskintis have nurtured the enormous trees of Gjor III through horticulture and magic, molding them into expansive hanging settlements.<br/> The Azlanti had little trouble conquering Gjor III, which had no established technological cultures to oppose them. They initially ignored the neskintis, but a few anthropological expeditions discovered the species’ value as ecologists, after which the Star Empire began to recruit neskintis aggressively. Though rewarded with citizenship for their cooperation, neskintis found adapting to the Star Empire difficult. Most are content to carry out ecological tasks, seeing such duties an extension of their holy mandate, while others seethe under the Star Empire’s control.<br/> Capable brachiators and adept gliders, neskintis have small legs that are still capable of locomotion. Their fur coloration ranges from blond to dark brown. Neskintis are natural omnivores that have become vegetarians by tradition. Also customary is reverence toward Nesk and other spirits, and some neskintis have extended this devotion to include the Azlanti religion.<br/> Technology continues to befuddle this species of nature worshipers. Once the initial shock of space travel and the destructive power of modern technology wore off, the species retreated into a generations-long conversation about the virtue of adapting or rejecting such technology for their own use. So far, neskinti villages on Gjor III remain largely free of technology, but most neskintis who visit the wider empire find the return to a simpler life frustrating.<br/> Most neskintis stand 6 feet tall and weigh 150 pounds. They’re considered adults at 20 and naturally live up to 120 years.</p>	+2 DEX, +2 WIS, -2 STR	null	null	null	null	4	Medium	Humanoid	Neskinti	AT02	50
91	Nuar	null	<p>Nuars are pale, minotaur-like creatures with formidable frames and roughly bovine faces, hooves, and horns. Their skin and hair range in coloration from snow white to cream, light gray, or tan, with eyes that are generally pink or red, though they much more rarely may be bright blue, green, or yellow. Nuars’ bestial appearance often convinces others that the creatures are slow-witted and simple, but this is far from the truth.<br/> Nuars trace their origins to lost Golarion, claiming they are a race distinct from the larger and less intelligent race of common minotaurs. Their accepted history states they existed on Absalom Station, and before that in the ancient city of Absalom, long before the Gap. With no firm scholarship to rely on, nuars have built a new mythology and history by borrowing elements from numerous other species and faiths. Nuars have a strong appreciation for the culture of orcs and half-orcs, and often follow orc conventions and traditions that don’t interfere with their endeavors in invention and innovation. They are drawn to technology and commonly worship Triune or Yaraesa, with their most senior priests also serving as skilled designers, engineers, and inventors.<br/> Nuars are not a numerous race, even on their declared home of Absalom Station. They have no known major settlements of their own, though rumors persist of technologically advanced labyrinths hidden deep within asteroids of the Diaspora. Beyond Absalom Station, they are most often found on exploratory ships, as their combination of impressive physiques, keen intellects, and urges to research and create serve them well. However, as nuars age, they also tend to want to establish roots, often returning to Absalom Station to start a family or build a community.<br/> A typical nuar stands between 7 and 7-1/2 feet tall and weighs about 300 pounds.</p>	+2 STR, +2 INT, -2 DEX	7–8 ft.	260–350 lbs.	13 years	90+2d20 years	6	Medium	Monstrous Humanoid	null	AA1	75
92	Oni, kanabo	null	<p>Oni are a race of malevolent spirits given physical form. Most oni begin their existence as kami, spirits tasked with the protection of a specific part of the natural world, but for some reason reject their duties and turn to evil. Less often, the souls of particularly vile mortals can become oni upon death. When oni first form, they are intangible, powerless spirits. In places with strong connections to evil, or as a result of unspeakable rituals, these formless spirits can gain physical bodies drawn from a humanoid species, often one predisposed to war— though their spiritual origins also give them the power to shapeshift. There are known to be oni that resemble drow, humans, giants, shirrens, and vesk, but among the most common oni are the ja noi, who have ties to the violent and militarist race of hobgoblins (see page 76).<br/> Ja noi are distinct from hobgoblins in appearance due to their bright-red color, prominent ridges on their brow and forehead, a near-permanent facial grimace, and even greater size and muscular frames. Ja noi stand over 6 feet tall and weigh roughly 220 pounds. A ja noi is particularly driven to experience the sensations of battle, actively seeking to lead armies and build empires. Ja noi fight in close combat if possible, and while perfectly capable of reveling in victory won with starships and huge fighting machines, they take every opportunity to lead infantry assaults and fight in face-to-face confrontations. Ja noi often gather hobgoblin soldiers to fulfill their need to command troops. For their part, hobgoblins normally embrace the presence of a ja noi within their ranks, seeing them as among the most perfect expressions of the hobgoblin form and treating them as mighty heroes.<br/> Some hobgoblin groups interact so closely with ja noi that children are sometimes born to one ja noi parent and one hobgoblin parent. Known as kanabo, a term that means “the strongest,” these oni-blooded goblinoids breed true with both ja noi and other goblinoids. They have innate powers that often make them champions of their people, though they also often develop an independent streak that causes them to reject hobgoblin rules and society. Kanabo share the size of their oni ancestors, but their appearance is much more variable, ranging from stout hobgoblins to forms closer to half-orcs, and some even appear nearly human. The average kanabo is over 6 feet tall and weighs 250 pounds.</p>	+2 STR, +2 CON, -2 INT	5–7 ft.	200–300 lbs.	14 years	60+3d10 years	6	Medium	Outsider	Goblinoid/Native	AA2	89
93	Orc	null	<p>Orcs are rare, although records suggest they were numerous on lost Golarion. Today, they can be found in greatest numbers on Apostae, where most are drow-held slaves. Over the ages, however, some orcs have gained freedom, creating formidable armed clans on Apostae and a few other worlds in the galaxy, though many free orcs of Apostae remain second-class citizens who still serve the drow as mercenaries, technicians, and laborers.<br/> Few people of the Pact Worlds have ever seen an orc up close, but most people know their reputation as brutal monsters. Even the free orcs on Apostae suffer from isolation and drow propaganda, remaining ignorant of wider possibilities. On average, orcs have difficulty with attention, memory, and impulse control. Drow care little for where these tendencies come from, but their centuries-long influence has changed the orcs from the brutes described in pre-Gap histories. The drow have socially engineered their orc chattel to make them useful servants. From an early age, capable orc youngsters have a duty to care for any orcs who require help to survive. Aged or feeble orcs are permitted to endure only to teach the young valuable skills while indoctrinating them with the appropriate regard for their betters. Drow overseers keep watch over these enclaves, with the aid of half-orcs and a few elder orcs rewarded for loyal service with the right to “retire” to teaching positions.<br/> Within orc enclaves on Apostae, a specialized program of reward and punishment accompanies education and tempers orcs for the jobs they are expected to perform. For example, an orc anticipated to be a technician might be conditioned to respond well and even take pleasure in technical work, such that her skill seems abnormally good. A bodyguard could be habituated to extreme ferocity in defense of a ward, belied by an otherwise composed demeanor. When an orc becomes an adult, she moves on to serve the drow house to which she belongs in her trained capacity. There, her conditioned mind keeps her bound better than any chains could.<br/> This social engineering took place for long enough that free orcs display a similar cultural structure. These orcs teach their young with analogous and comparably brutal methods of reward and punishment. The young and weak take on jobs that tougher orcs have the clout and muscle to refuse. Eventually, a young orc might join the ranks of the strong and earn the right to take on responsibilities that garner more prestige. She then sloughs off tasks she considers to be beneath her onto the shoulders of those she sees as lower than her in status.<br/> An orc is ideally suited to her prescribed duties thanks to the extensive conditioning she receives. Her confidence in such areas is also high. An orc trained to scout the caves of Apostae, for instance, is likely to be a sharp climber and shrewd explorer. She also knows enough about the ilee (a lost race native to Apostae) to know when she has made an important discovery.<br/> The social conditions in which most orcs exist often make it challenging for them to assimilate into other cultures. Orcs are gruff and terse, interacting with others only when necessary. An orc without a hierarchy to embrace or reject often struggles to find her position in a pecking order that might not exist.<br/> An orc has large and imposing tusks that jut from her mouth, as well as pointed ears. Most orcs stand around 6 feet tall and weigh 200 pounds or more, with well-defined musculature.</p>	+4 STR, -2 CHA	5–7 ft.	145–320 lbs.	12 years	40+2d10 years	6	Medium	Humanoid	Orc	AA2	91
94	Oread	null	<p>Oreads are humanoids whose bloodline is infused with power from the Plane of Earth, such as from a shaitan. Oreads usually have skin of a dark neutral tone, and some have features that appear to be made of stone, crystal, or packed earth. Oreads are generally calm to the point of stoicism.</p>	+2 STR, +2 WIS, -2 CHA	null	null	null	null	6	Medium	Outsider	Native	DF05	60
95	Osharu	null	<p>To the slug-like osharus, religion and science are two sides of the same coin—concepts with the same intrinsic dependencies as life and death. These timid monk-scientists dedicate their lives to studying various fields of science, sharing their discoveries with their fellow osharus and other races that express a passion for epiphany. They dedicate their discoveries to their deity Yaraesa, patron of learning and science.<br/> Osharu settlements are essentially citysized universities. Individuals involved in similar fields of study group together so they can aid in each others’ research, and entire districts spring up naturally around these congregations of higher learning, equipped with canteens, vast libraries, living quarters, and workstations relevant to their field.<br/> This ultimate quest for knowledge knows no planetary bounds; osharus often embark on fieldwork expeditions to other star systems in order to study foreign planets, stars, or even the emptiness of space itself. They also frequently go on diplomatic missions to exchange knowledge with other intelligent, enlightenment-minded races.<br/> Thought stalwart in mind and faith, osharus are physically delicate. They are harmed not only by salt and salt water, but also have a cumbersome dependence on moisture and humid environments. Exposure to extreme heat or direct sunlight for extended amounts of time without protective magic or armor makes them extremely uncomfortable. Those who aren’t magically inclined might even resort to soaking their clothes and carrying large canteens of water for rehydration when exploring even mildly arid biomes.<br/> Despite the osharus’ willingness to face great dangers, they are a timid and paranoid race. Their most common fear is that their desire to explore the galaxy and exchange knowledge with other species could ultimately result in their exploitation—or even their eradication. To cope with this paranoia, they flatly refuse to travel beyond the safety of their university-cities while alone, always accompanying at least one other osharu so they can protect and comfort one another. Osharus sometimes develop such a bond with equally sensitive members of other species, establishing a similar system of mutual support.<br/> The average osharu is 4 feet tall and weighs 140 pounds, though members of the species have a wide variety of colors and patterns. Even two parents with similar patterns or colors can have completely different-looking offspring—it is not unusual for a beige, leopard-spotted osharu to give birth to bright-pink or green tiger-striped progeny. This diversity is celebrated among osharu, and they find the predictability of hereditary outcomes among other humanoid species to be both unusual and fascinating—most of their university-cities have a district dedicated to the study of xenogenetics as a result.</p>	+2 INT, +2 WIS, -2 CON	3-1/2 to 4-1/2 ft.	125–155 lbs.	18 years	90+2d10 years	2	Medium	Monstrous Humanoid	null	AA2	93
96	Osharu	Deepmarsh	<p>To the slug-like osharus, religion and science are two sides of the same coin—concepts with the same intrinsic dependencies as life and death. These timid monk-scientists dedicate their lives to studying various fields of science, sharing their discoveries with their fellow osharus and other races that express a passion for epiphany. They dedicate their discoveries to their deity Yaraesa, patron of learning and science.<br/> Osharu settlements are essentially citysized universities. Individuals involved in similar fields of study group together so they can aid in each others’ research, and entire districts spring up naturally around these congregations of higher learning, equipped with canteens, vast libraries, living quarters, and workstations relevant to their field.<br/> This ultimate quest for knowledge knows no planetary bounds; osharus often embark on fieldwork expeditions to other star systems in order to study foreign planets, stars, or even the emptiness of space itself. They also frequently go on diplomatic missions to exchange knowledge with other intelligent, enlightenment-minded races.<br/> Thought stalwart in mind and faith, osharus are physically delicate. They are harmed not only by salt and salt water, but also have a cumbersome dependence on moisture and humid environments. Exposure to extreme heat or direct sunlight for extended amounts of time without protective magic or armor makes them extremely uncomfortable. Those who aren’t magically inclined might even resort to soaking their clothes and carrying large canteens of water for rehydration when exploring even mildly arid biomes.<br/> Despite the osharus’ willingness to face great dangers, they are a timid and paranoid race. Their most common fear is that their desire to explore the galaxy and exchange knowledge with other species could ultimately result in their exploitation—or even their eradication. To cope with this paranoia, they flatly refuse to travel beyond the safety of their university-cities while alone, always accompanying at least one other osharu so they can protect and comfort one another. Osharus sometimes develop such a bond with equally sensitive members of other species, establishing a similar system of mutual support.<br/> The average osharu is 4 feet tall and weighs 140 pounds, though members of the species have a wide variety of colors and patterns. Even two parents with similar patterns or colors can have completely different-looking offspring—it is not unusual for a beige, leopard-spotted osharu to give birth to bright-pink or green tiger-striped progeny. This diversity is celebrated among osharu, and they find the predictability of hereditary outcomes among other humanoid species to be both unusual and fascinating—most of their university-cities have a district dedicated to the study of xenogenetics as a result.</p>	+2 STR, +2 CON, -2 CHA	3-1/2 to 4-1/2 ft.	125–155 lbs.	18 years	90+2d10 years	2	Medium	Monstrous Humanoid	null	NSP	132
97	Osharu	Gengen	<p>To the slug-like osharus, religion and science are two sides of the same coin—concepts with the same intrinsic dependencies as life and death. These timid monk-scientists dedicate their lives to studying various fields of science, sharing their discoveries with their fellow osharus and other races that express a passion for epiphany. They dedicate their discoveries to their deity Yaraesa, patron of learning and science.<br/> Osharu settlements are essentially citysized universities. Individuals involved in similar fields of study group together so they can aid in each others’ research, and entire districts spring up naturally around these congregations of higher learning, equipped with canteens, vast libraries, living quarters, and workstations relevant to their field.<br/> This ultimate quest for knowledge knows no planetary bounds; osharus often embark on fieldwork expeditions to other star systems in order to study foreign planets, stars, or even the emptiness of space itself. They also frequently go on diplomatic missions to exchange knowledge with other intelligent, enlightenment-minded races.<br/> Thought stalwart in mind and faith, osharus are physically delicate. They are harmed not only by salt and salt water, but also have a cumbersome dependence on moisture and humid environments. Exposure to extreme heat or direct sunlight for extended amounts of time without protective magic or armor makes them extremely uncomfortable. Those who aren’t magically inclined might even resort to soaking their clothes and carrying large canteens of water for rehydration when exploring even mildly arid biomes.<br/> Despite the osharus’ willingness to face great dangers, they are a timid and paranoid race. Their most common fear is that their desire to explore the galaxy and exchange knowledge with other species could ultimately result in their exploitation—or even their eradication. To cope with this paranoia, they flatly refuse to travel beyond the safety of their university-cities while alone, always accompanying at least one other osharu so they can protect and comfort one another. Osharus sometimes develop such a bond with equally sensitive members of other species, establishing a similar system of mutual support.<br/> The average osharu is 4 feet tall and weighs 140 pounds, though members of the species have a wide variety of colors and patterns. Even two parents with similar patterns or colors can have completely different-looking offspring—it is not unusual for a beige, leopard-spotted osharu to give birth to bright-pink or green tiger-striped progeny. This diversity is celebrated among osharu, and they find the predictability of hereditary outcomes among other humanoid species to be both unusual and fascinating—most of their university-cities have a district dedicated to the study of xenogenetics as a result.</p>	+2 STR, +2 INT, -2 DEX	3-1/2 to 4-1/2 ft.	125–155 lbs.	18 years	90+2d10 years	2	Medium	Monstrous Humanoid	null	NSP	132
