id	name	description	weapon_category_id	level	price	damage	damage_die_count	damage_die_type	damage_type	range	critical	capacity	usage	bulk	special	source	source_page
299	Longsword, Dimensional Slice	<p>The ultimate advancement in metallurgic technology, designed by a tech firm owned by Ulrikka Clanholdings, a dimensional slice blade looks like an elongated stiletto surrounded by a blade-shaped aura. The aura is solid to the touch and can slice through almost any material.</p>	9	20	727300	14d8 S	14	8	S	null	null	null	null	1	Analog	CRB	189
300	Needler Estoc, Master-Pointed	<p>This slender blade is designed to puncture weak points in  modern armor and inflict precise wounds on foes. The weapon  possesses a small, transparent tank on its hilt, and when its  wielder thrusts the blade into a foe, a spring-loaded mechanism  forces anything placed in this tank up through thin passages  within the blade to be discharged into the target.</p>	9	20	750000	18d6 P	18	6	P	null	Injection DC +2	null	null	L	Injection	COM	124
301	Talon, God	<p>A talon is a stylized weapon with a fitted grip and a curved,  serrated blade. It can be used as a slashing weapon without  activating the battery. When powered, the talon converts  energy into acid that can melt through certain types of armor  (though the weapon always targets a foe’s KAC). Shirrens favor  talons, and some consider them to be holy weapons of Hylax,  referring to them as the queen’s talons. Increasingly advanced  models of the weapon are often named after roles of some hivedwelling  species, beginning with drone, and advancing through  warrior, knight, queen, and god.</p>	9	20	925000	8d12 A or S	8	12	A or S	null	Corrode 4d6	null	null	L	Modal, powered (capacity 40, usage 2)	ARM	54
302	Shadow Chains, Follower	<p>Worshipers of Zon-Kuthon developed the first shadow chains  using cutting-edge heat-transfer technology, but outsiders  rapidly reverse-engineered the weapons, constructing functional  facsimiles from their own tech. Shadow chains’ links rapidly absorb  heat, while their heavily insulated handle protect their wielders  from direct exposure to the freezing darkness. Many adherents of  the Midnight Lord make use of the follower, acolyte, and penitent  shadow chains, while only the most devout can afford the more  powerful ecclesiastic and devotional shadow chains.</p>	10	1	390	1d3 C	1	3	C	null	Bind	null	null	2	Analog, disarm, reach, trip	ARM	35
303	Void Staff, Grave-Class	<p>Quite common on Eox, void staves are designed using extensive  necromancy-derived technologies, resulting in nonreflective  black coloration and a range of morbid effects. A target struck  by a void staff suffers effects similar to frostbite, as the weapon  drains the life energy out of the target on a cellular level and,  in some cases, causes complications with breathing and other  essential functions. Grave-class, crypt-class, tomb-class, and  ossuary-class void staves are relatively common throughout the  Pact Worlds, while barrow-class void staves are almost never  seen anywhere except Eox.</p>	10	2	1080	1d4 C	1	4	C	null	Suffocate	null	null	1	Analog, block	ARM	36
304	Frost Maul, Aufeis	<p>A two-handed hammer with a reservoir of coolant in its head,  a frost maul simultaneously bludgeons and chills its target. As  most substances become brittle and prone to shattering when  subjected to extremely low temperatures, the frost maul excels  at damaging objects it hits. Frost mauls come in aufeis, iceberg,  floe, and glacier models.</p>	10	3	1240	1d8 B & C	1	8	B & C	null	Staggered	null	null	2	Powered (capacity 20, usage 2), sunder	ARM	34
305	Frosthaft Doshko, Chill	<p>This doshko has blades formed of deadly ice by condensers  situated within the weapon. Few wielders of a frosthaft  doshko consider their weapon appropriately sized unless  it’s at least as tall as they are. The extra leverage and  freezing blades cause the weapon to hit with incredible  force, numbing muscles and snapping bones.</p>	10	4	2100	1d8 C	1	8	C	null	Enfeeble	null	null	1	Powered (capacity 20, usage 1), reach, unwieldy	NSP	150
306	Icestar Staff, Defender	<p>An icestar staff is an homage to the planet of Verces, where  shirren immigrants making their first Pact Worlds home  developed the weapon. One end of this staff glows with heat,  while the other end shimmers with frost, offering the wielder  the choice of which to use for each strike—a particular treat  for its shirren creators. Icestar staves come in defender, seeker,  warrior, drifter, and leader models.</p>	10	4	2080	1d6 C or F	1	6	C or F	null	null	null	null	1	Block, double (flame), powered (capacity 40, usage 2)	ARM	35
307	Spined Iceblade, Frostbite-Class	<p>The spined iceblade is a variant of the traditional kasathan spined  blade. Its longer, curved handle includes internal channels where  coolant builds up until it is released by the wielder’s movements.  Frostbite-class, hailstorm-class, blizzard-class, and avalancheclass  spined iceblades are all readily available in markets that  regularly serve kasathas, but similar weapons appearing on  distant worlds have intrigued kasathan archaeologists.</p>	10	4	2150	1d6 C	1	6	C	null	Staggered	null	null	1	Powered (capacity 20, usage 1)	ARM	35
308	Cryopike, Tactical	<p>The haft of a cryopike is a long aluminum or carbon-steel shaft with an adjustable rubber grip. A cryopike emits a blast of supercooled gas from its tip that acts as a freezing blade.</p>	10	5	3360	1d8 C	1	8	C	null	null	null	null	2	Powered (capacity 40, usage 2), reach	CRB	183
309	Void Staff, Crypt-Class	<p>Quite common on Eox, void staves are designed using extensive  necromancy-derived technologies, resulting in nonreflective  black coloration and a range of morbid effects. A target struck  by a void staff suffers effects similar to frostbite, as the weapon  drains the life energy out of the target on a cellular level and,  in some cases, causes complications with breathing and other  essential functions. Grave-class, crypt-class, tomb-class, and  ossuary-class void staves are relatively common throughout the  Pact Worlds, while barrow-class void staves are almost never  seen anywhere except Eox.</p>	10	6	4600	1d10 C	1	10	C	null	Suffocate	null	null	1	Analog, block	ARM	36
310	Icestar Staff, Seeker	<p>An icestar staff is an homage to the planet of Verces, where  shirren immigrants making their first Pact Worlds home  developed the weapon. One end of this staff glows with heat,  while the other end shimmers with frost, offering the wielder  the choice of which to use for each strike—a particular treat  for its shirren creators. Icestar staves come in defender, seeker,  warrior, drifter, and leader models.</p>	10	7	6320	2d6 C or F	2	6	C or F	null	null	null	null	1	Block, double (flame), powered (capacity 40, usage 2)	ARM	35
311	Shadow Chains, Acolyte	<p>Worshipers of Zon-Kuthon developed the first shadow chains  using cutting-edge heat-transfer technology, but outsiders  rapidly reverse-engineered the weapons, constructing functional  facsimiles from their own tech. Shadow chains’ links rapidly absorb  heat, while their heavily insulated handle protect their wielders  from direct exposure to the freezing darkness. Many adherents of  the Midnight Lord make use of the follower, acolyte, and penitent  shadow chains, while only the most devout can afford the more  powerful ecclesiastic and devotional shadow chains.</p>	10	7	6800	3d4 C	3	4	C	null	Bind	null	null	2	Analog, disarm, reach, trip	ARM	35
312	Frost Maul, Iceberg	<p>A two-handed hammer with a reservoir of coolant in its head,  a frost maul simultaneously bludgeons and chills its target. As  most substances become brittle and prone to shattering when  subjected to extremely low temperatures, the frost maul excels  at damaging objects it hits. Frost mauls come in aufeis, iceberg,  floe, and glacier models.</p>	10	8	8700	3d8 B & C	3	8	B & C	null	Staggered	null	null	2	Powered (capacity 20, usage 2), sunder	ARM	34
313	Frosthaft Doshko, Subzero	<p>This doshko has blades formed of deadly ice by condensers  situated within the weapon. Few wielders of a frosthaft  doshko consider their weapon appropriately sized unless  it’s at least as tall as they are. The extra leverage and  freezing blades cause the weapon to hit with incredible  force, numbing muscles and snapping bones.</p>	10	9	12800	2d10 C	2	10	C	null	Enfeeble	null	null	1	Powered (capacity 20, usage 1), reach, unwieldy	NSP	150
314	Spined Iceblade, Hailstorm-Class	<p>The spined iceblade is a variant of the traditional kasathan spined  blade. Its longer, curved handle includes internal channels where  coolant builds up until it is released by the wielder’s movements.  Frostbite-class, hailstorm-class, blizzard-class, and avalancheclass  spined iceblades are all readily available in markets that  regularly serve kasathas, but similar weapons appearing on  distant worlds have intrigued kasathan archaeologists.</p>	10	9	13700	3d6 C	3	6	C	null	Staggered	null	null	1	Powered (capacity 20, usage 1)	ARM	35
315	Shadow Chains, Penitent	<p>Worshipers of Zon-Kuthon developed the first shadow chains  using cutting-edge heat-transfer technology, but outsiders  rapidly reverse-engineered the weapons, constructing functional  facsimiles from their own tech. Shadow chains’ links rapidly absorb  heat, while their heavily insulated handle protect their wielders  from direct exposure to the freezing darkness. Many adherents of  the Midnight Lord make use of the follower, acolyte, and penitent  shadow chains, while only the most devout can afford the more  powerful ecclesiastic and devotional shadow chains.</p>	10	10	18800	5d4 C	5	4	C	null	Bind	null	null	2	Analog, disarm, reach, trip	ARM	35
316	Icestar Staff, Warrior	<p>An icestar staff is an homage to the planet of Verces, where  shirren immigrants making their first Pact Worlds home  developed the weapon. One end of this staff glows with heat,  while the other end shimmers with frost, offering the wielder  the choice of which to use for each strike—a particular treat  for its shirren creators. Icestar staves come in defender, seeker,  warrior, drifter, and leader models.</p>	10	11	25200	4d6 C or F	4	6	C or F	null	null	null	null	1	Block, double (flame), powered (capacity 40, usage 2)	ARM	35
317	Void Staff, Tomb-Class	<p>Quite common on Eox, void staves are designed using extensive  necromancy-derived technologies, resulting in nonreflective  black coloration and a range of morbid effects. A target struck  by a void staff suffers effects similar to frostbite, as the weapon  drains the life energy out of the target on a cellular level and,  in some cases, causes complications with breathing and other  essential functions. Grave-class, crypt-class, tomb-class, and  ossuary-class void staves are relatively common throughout the  Pact Worlds, while barrow-class void staves are almost never  seen anywhere except Eox.</p>	10	11	27100	3d10 C	3	10	C	null	Suffocate	null	null	1	Analog, block	ARM	36
318	Cryopike, Advanced	<p>The haft of a cryopike is a long aluminum or carbon-steel shaft with an adjustable rubber grip. A cryopike emits a blast of supercooled gas from its tip that acts as a freezing blade.</p>	10	12	34800	2d8 C	2	8	C	null	Staggered	null	null	2	Powered (capacity 40, usage 2), reach	CRB	183
319	Frost Maul, Floe	<p>A two-handed hammer with a reservoir of coolant in its head,  a frost maul simultaneously bludgeons and chills its target. As  most substances become brittle and prone to shattering when  subjected to extremely low temperatures, the frost maul excels  at damaging objects it hits. Frost mauls come in aufeis, iceberg,  floe, and glacier models.</p>	10	13	46100	6d8 B & C	6	8	B & C	null	Staggered	null	null	2	Powered (capacity 20, usage 2), sunder	ARM	34
320	Frosthaft Doshko, Glacial	<p>This doshko has blades formed of deadly ice by condensers  situated within the weapon. Few wielders of a frosthaft  doshko consider their weapon appropriately sized unless  it’s at least as tall as they are. The extra leverage and  freezing blades cause the weapon to hit with incredible  force, numbing muscles and snapping bones.</p>	10	14	73400	4d10 C	4	10	C	null	Enfeeble	null	null	1	Powered (capacity 20, usage 1), reach, unwieldy	NSP	150
321	Icestar Staff, Drifter	<p>An icestar staff is an homage to the planet of Verces, where  shirren immigrants making their first Pact Worlds home  developed the weapon. One end of this staff glows with heat,  while the other end shimmers with frost, offering the wielder  the choice of which to use for each strike—a particular treat  for its shirren creators. Icestar staves come in defender, seeker,  warrior, drifter, and leader models.</p>	10	14	73100	6d6 C or F	6	6	C or F	null	null	null	null	1	Block, double (flame), powered (capacity 40, usage 2)	ARM	35
322	Shadow Chains, Ecclesiastic	<p>Worshipers of Zon-Kuthon developed the first shadow chains  using cutting-edge heat-transfer technology, but outsiders  rapidly reverse-engineered the weapons, constructing functional  facsimiles from their own tech. Shadow chains’ links rapidly absorb  heat, while their heavily insulated handle protect their wielders  from direct exposure to the freezing darkness. Many adherents of  the Midnight Lord make use of the follower, acolyte, and penitent  shadow chains, while only the most devout can afford the more  powerful ecclesiastic and devotional shadow chains.</p>	10	14	76800	9d4 C	9	4	C	null	Bind	null	null	1	Analog, disarm, reach, trip	ARM	35
323	Void Staff, Ossuary-Class	<p>Quite common on Eox, void staves are designed using extensive  necromancy-derived technologies, resulting in nonreflective  black coloration and a range of morbid effects. A target struck  by a void staff suffers effects similar to frostbite, as the weapon  drains the life energy out of the target on a cellular level and,  in some cases, causes complications with breathing and other  essential functions. Grave-class, crypt-class, tomb-class, and  ossuary-class void staves are relatively common throughout the  Pact Worlds, while barrow-class void staves are almost never  seen anywhere except Eox.</p>	10	15	123000	5d10 C	5	10	C	null	Suffocate	null	null	1	Analog, block	ARM	36
324	Spined Iceblade, Blizzard-Class	<p>The spined iceblade is a variant of the traditional kasathan spined  blade. Its longer, curved handle includes internal channels where  coolant builds up until it is released by the wielder’s movements.  Frostbite-class, hailstorm-class, blizzard-class, and avalancheclass  spined iceblades are all readily available in markets that  regularly serve kasathas, but similar weapons appearing on  distant worlds have intrigued kasathan archaeologists.</p>	10	16	170000	7d6 C	7	6	C	null	Staggered	null	null	1	Powered (capacity 20, usage 1)	ARM	35
325	Frost Maul, Glacier	<p>A two-handed hammer with a reservoir of coolant in its head,  a frost maul simultaneously bludgeons and chills its target. As  most substances become brittle and prone to shattering when  subjected to extremely low temperatures, the frost maul excels  at damaging objects it hits. Frost mauls come in aufeis, iceberg,  floe, and glacier models.</p>	10	17	224000	10d8 B & C	10	8	B & C	null	Staggered	null	null	2	Powered (capacity 40, usage 2), sunder	ARM	34
326	Icestar Staff, Leader	<p>An icestar staff is an homage to the planet of Verces, where  shirren immigrants making their first Pact Worlds home  developed the weapon. One end of this staff glows with heat,  while the other end shimmers with frost, offering the wielder  the choice of which to use for each strike—a particular treat  for its shirren creators. Icestar staves come in defender, seeker,  warrior, drifter, and leader models.</p>	10	17	251000	10d6 C or F	10	6	C or F	null	null	null	null	1	Block, double (flame), powered (capacity 40, usage 2)	ARM	35
327	Shadow Chains, Devotional	<p>Worshipers of Zon-Kuthon developed the first shadow chains  using cutting-edge heat-transfer technology, but outsiders  rapidly reverse-engineered the weapons, constructing functional  facsimiles from their own tech. Shadow chains’ links rapidly absorb  heat, while their heavily insulated handle protect their wielders  from direct exposure to the freezing darkness. Many adherents of  the Midnight Lord make use of the follower, acolyte, and penitent  shadow chains, while only the most devout can afford the more  powerful ecclesiastic and devotional shadow chains.</p>	10	18	261000	9d8 C	9	8	C	null	Bind	null	null	2	Analog, disarm, reach, trip	ARM	35
328	Spined Iceblade, Avalanche-Class	<p>The spined iceblade is a variant of the traditional kasathan spined  blade. Its longer, curved handle includes internal channels where  coolant builds up until it is released by the wielder’s movements.  Frostbite-class, hailstorm-class, blizzard-class, and avalancheclass  spined iceblades are all readily available in markets that  regularly serve kasathas, but similar weapons appearing on  distant worlds have intrigued kasathan archaeologists.</p>	10	19	570000	10d6 C	10	6	C	null	Staggered	null	null	1	Powered (capacity 20, usage 1)	ARM	35
329	Frosthaft Doshko, Avalanche	<p>This doshko has blades formed of deadly ice by condensers  situated within the weapon. Few wielders of a frosthaft  doshko consider their weapon appropriately sized unless  it’s at least as tall as they are. The extra leverage and  freezing blades cause the weapon to hit with incredible  force, numbing muscles and snapping bones.</p>	10	20	804400	8d12 C	8	12	C	null	Enfeeble	null	null	1	Powered (capacity 20, usage 1), reach, unwieldy	NSP	150
330	Void Staff, Barrow-Class	<p>Quite common on Eox, void staves are designed using extensive  necromancy-derived technologies, resulting in nonreflective  black coloration and a range of morbid effects. A target struck  by a void staff suffers effects similar to frostbite, as the weapon  drains the life energy out of the target on a cellular level and,  in some cases, causes complications with breathing and other  essential functions. Grave-class, crypt-class, tomb-class, and  ossuary-class void staves are relatively common throughout the  Pact Worlds, while barrow-class void staves are almost never  seen anywhere except Eox.</p>	10	20	904000	9d10 C	9	10	C	null	Suffocate	null	null	1	Analog, block	ARM	36
331	Flame Spinner, Fireball	<p>A flame spinner consists of two weighted balls attached to a  length of cable; the pair is spun in an elegant, showy dance of   spinning fire. Fireball and immolation flame spinners use petrol  to generate a flaming nimbus around the ball’s metal casing,  while supernova and fission flame spinners dispense with the  casing and instead compress the petrol to generate a dense  mass of blazing heat in place of each ball. Using a flame spinner  effectively is difficult due to the complex handling required, and  kasathas and other races with additional limbs find they have a  substantial advantage in that regard. </p>	11	1	225	1d6 F	1	6	F	null	Burn 1d4	null	null	1	Analog, free hands (2), fueled (capacity 20, usage 1), unwieldy	ARM	37
332	Blaze Scimitar, Acolyte	<p>Known far and wide for their fighting prowess, Sarenites who delve into the darkest corners of the universe often take the holy weapon of their goddess with them. A blaze scimitar is made of a metallic alloy that can be heated to blistering temperatures again and again through use of a an induction magnet. These golden blades glow bright orange when activated and shed light in a wide area when they strike a blow. Due to their weight and the power required to follow through with attacks, they must be wielded with two hands.</p>	11	2	740	1d6 F	1	6	F	null	Burn 1d6	null	null	1	Bright, powered (capacity 20, usage 1)	DF01	52
333	Flame Doshko, Ember	<p>When activated, the blade of this doshko heats up by means of internal heating coils. The doshko deals fire damage and can also cause traumatic injuries.</p>	11	2	750	1d8 F	1	8	F	null	Wound	null	null	1	Powered (capacity 20, usage 1)	CRB	183
334	Burning Chains, Fiend-Class	<p>Hellknights of the Order of the Chain favor these lengths of  blackened, fiery chain, which often incorporate etchings of  infernal runes or hellscapes into their complex designs. Burning  chains aren’t known for their damage so much as their extreme  flexibility in confounding an enemy—and, of course, for the   visual imagery a burning chain provides when combined with  the distinctive Hellknight armor. The order’s names for the  various models have become the most commonly used, from  fiend-class burning chains to malebranche- and archdevil-class  burning chains. </p>	11	3	1450	1d8 F	1	8	F	null	Fatigue	null	null	2	Analog, disarm, fueled (capacity 20, usage 1), reach, trip	ARM	37
335	Flame Spinner, Immolation	<p>A flame spinner consists of two weighted balls attached to a  length of cable; the pair is spun in an elegant, showy dance of   spinning fire. Fireball and immolation flame spinners use petrol  to generate a flaming nimbus around the ball’s metal casing,  while supernova and fission flame spinners dispense with the  casing and instead compress the petrol to generate a dense  mass of blazing heat in place of each ball. Using a flame spinner  effectively is difficult due to the complex handling required, and  kasathas and other races with additional limbs find they have a  substantial advantage in that regard. </p>	11	5	2860	1d8 F	1	8	F	null	Burn 1d6	null	null	1	Analog, free hands (2), fueled (capacity 20, usage 2), unwieldy	ARM	37
336	Meteor Glaive, Tactical	<p>The glaive is an ancient weapon, originally developed for use by  and against mounted warriors. The meteor glaive is the Skyfire  Legion’s update on the original design, incorporating a petrol tank  near the base of the slightly curved blade and relying on a long  shaft to keep the wielder at a safe distance. Meteor glaives are  classified into tactical, advanced, elite, and paragon models.   </p>	11	6	4390	1d12 F & S	1	12	F & S	null	Wound	null	null	2	Fueled (capacity 40, usage 4), reach	ARM	38
337	Blaze Scimitar, Disciple	<p>Known far and wide for their fighting prowess, Sarenites who delve into the darkest corners of the universe often take the holy weapon of their goddess with them. A blaze scimitar is made of a metallic alloy that can be heated to blistering temperatures again and again through use of a an induction magnet. These golden blades glow bright orange when activated and shed light in a wide area when they strike a blow. Due to their weight and the power required to follow through with attacks, they must be wielded with two hands.</p>	11	8	9200	2d6 F	2	6	F	null	Burn 1d8	null	null	1	Bright, powered (capacity 20, usage 1)	DF01	52
338	Flame Doshko, Blaze	<p>When activated, the blade of this doshko heats up by means of internal heating coils. The doshko deals fire damage and can also cause traumatic injuries.</p>	11	8	8500	2d8 F	2	8	F	null	Wound	null	null	1	Powered (capacity 20, usage 1)	CRB	183
339	Burning Chains, Malebranche-Class	<p>Hellknights of the Order of the Chain favor these lengths of  blackened, fiery chain, which often incorporate etchings of  infernal runes or hellscapes into their complex designs. Burning  chains aren’t known for their damage so much as their extreme  flexibility in confounding an enemy—and, of course, for the   visual imagery a burning chain provides when combined with  the distinctive Hellknight armor. The order’s names for the  various models have become the most commonly used, from  fiend-class burning chains to malebranche- and archdevil-class  burning chains. </p>	11	9	13900	2d8 F	2	8	F	null	Fatigue	null	null	2	Analog, disarm, fueled (capacity 20, usage 1), reach, trip	ARM	37
340	Meteor Glaive, Advanced	<p>The glaive is an ancient weapon, originally developed for use by  and against mounted warriors. The meteor glaive is the Skyfire  Legion’s update on the original design, incorporating a petrol tank  near the base of the slightly curved blade and relying on a long  shaft to keep the wielder at a safe distance. Meteor glaives are  classified into tactical, advanced, elite, and paragon models.   </p>	11	10	18200	3d8 F & S	3	8	F & S	null	Wound	null	null	2	Fueled (capacity 40, usage 4), reach	ARM	38
341	Blaze Scimitar, Cleric	<p>Known far and wide for their fighting prowess, Sarenites who delve into the darkest corners of the universe often take the holy weapon of their goddess with them. A blaze scimitar is made of a metallic alloy that can be heated to blistering temperatures again and again through use of a an induction magnet. These golden blades glow bright orange when activated and shed light in a wide area when they strike a blow. Due to their weight and the power required to follow through with attacks, they must be wielded with two hands.</p>	11	12	34600	4d6 F	4	6	F	null	Burn 2d6	null	null	1	Bright, powered (capacity 40, usage 2)	DF01	52
342	Flame Spinner, Supernova	<p>A flame spinner consists of two weighted balls attached to a  length of cable; the pair is spun in an elegant, showy dance of   spinning fire. Fireball and immolation flame spinners use petrol  to generate a flaming nimbus around the ball’s metal casing,  while supernova and fission flame spinners dispense with the  casing and instead compress the petrol to generate a dense  mass of blazing heat in place of each ball. Using a flame spinner  effectively is difficult due to the complex handling required, and  kasathas and other races with additional limbs find they have a  substantial advantage in that regard. </p>	11	12	33900	3d10 F	3	10	F	null	Burn 2d6	null	null	1	Analog, free hands (2), fueled (capacity 20, usage 1), unwieldy	ARM	37
343	Flame Doshko, Inferno	<p>When activated, the blade of this doshko heats up by means of internal heating coils. The doshko deals fire damage and can also cause traumatic injuries.</p>	11	13	53200	5d8 F	5	8	F	null	Wound	null	null	1	Powered (capacity 20, usage 1)	CRB	183
344	Meteor Glaive, Elite	<p>The glaive is an ancient weapon, originally developed for use by  and against mounted warriors. The meteor glaive is the Skyfire  Legion’s update on the original design, incorporating a petrol tank  near the base of the slightly curved blade and relying on a long  shaft to keep the wielder at a safe distance. Meteor glaives are  classified into tactical, advanced, elite, and paragon models.   </p>	11	15	112000	5d10 F & S	5	10	F & S	null	Wound	null	null	2	Fueled (capacity 40, usage 4), reach	ARM	38
345	Blaze Scimitar, Divine	<p>Known far and wide for their fighting prowess, Sarenites who delve into the darkest corners of the universe often take the holy weapon of their goddess with them. A blaze scimitar is made of a metallic alloy that can be heated to blistering temperatures again and again through use of a an induction magnet. These golden blades glow bright orange when activated and shed light in a wide area when they strike a blow. Due to their weight and the power required to follow through with attacks, they must be wielded with two hands.</p>	11	16	162000	8d6 F	8	6	F	null	Burn 2d8	null	null	1	Bright, powered (capacity 40, usage 2)	DF01	52
346	Burning Chains, Archdevil-Class	<p>Hellknights of the Order of the Chain favor these lengths of  blackened, fiery chain, which often incorporate etchings of  infernal runes or hellscapes into their complex designs. Burning  chains aren’t known for their damage so much as their extreme  flexibility in confounding an enemy—and, of course, for the   visual imagery a burning chain provides when combined with  the distinctive Hellknight armor. The order’s names for the  various models have become the most commonly used, from  fiend-class burning chains to malebranche- and archdevil-class  burning chains. </p>	11	16	178000	5d12 F	5	12	F	null	Fatigue	null	null	2	Analog, disarm, fueled (capacity 20, usage 1), reach, trip	ARM	37
347	Meteor Glaive, Paragon	<p>The glaive is an ancient weapon, originally developed for use by  and against mounted warriors. The meteor glaive is the Skyfire  Legion’s update on the original design, incorporating a petrol tank  near the base of the slightly curved blade and relying on a long  shaft to keep the wielder at a safe distance. Meteor glaives are  classified into tactical, advanced, elite, and paragon models.   </p>	11	18	385000	10d10 F & S	10	10	F & S	null	Severe wound	null	null	2	Fueled (capacity 40, usage 4), reach	ARM	38
348	Flame Doshko, Solar Flare	<p>When activated, the blade of this doshko heats up by means of internal heating coils. The doshko deals fire damage and can also cause traumatic injuries.</p>	11	19	595000	10d8 F	10	8	F	null	Severe wound	null	null	1	Powered (capacity 20, usage 1)	CRB	183
349	Flame Spinner, Fission	<p>A flame spinner consists of two weighted balls attached to a  length of cable; the pair is spun in an elegant, showy dance of   spinning fire. Fireball and immolation flame spinners use petrol  to generate a flaming nimbus around the ball’s metal casing,  while supernova and fission flame spinners dispense with the  casing and instead compress the petrol to generate a dense  mass of blazing heat in place of each ball. Using a flame spinner  effectively is difficult due to the complex handling required, and  kasathas and other races with additional limbs find they have a  substantial advantage in that regard. </p>	11	20	802000	8d12 F	8	12	F	null	Burn 5d6	null	null	1	Analog, free hands (2), fueled (capacity 20, usage 1), unwieldy	ARM	37
350	Flare Axe, Red Star	<p>A flare axe pushes a magnetically contained wave of plasma  in a semicircular arc parallel to the haft that resembles a  miniature solar flare. The color of plasma indicates the relative  temperature (and therefore damage output) of each weapon:  red star flare axes are the standard model, yellow star and  white star flare axes are more dangerous, and blue star flare  axes inflict the most destruction. </p>	12	1	120	1d4 E & F	1	4	E & F	null	Burn 1d4	null	null	1	Powered (capacity 20, usage 1)	ARM	42
351	Nova Lance, Red Star	<p>This long weapon bears a plasma sheath at its striking tip.  Although similar weapons are produced on many worlds, nova  lances’ use in Eoxian racing broadcasts has made them especially  popular throughout the Pact Worlds. They are typically  manufactured by corporations that specialize in plasma pistols  and plasma rifles and thus their models follow the same naming  conventions: red star, yellow star, white star, and blue star.   </p>	12	2	995	1d4 E & F	1	4	E & F	null	Wound	null	null	2	Powered (capacity 20, usage 1), reach	ARM	42
352	Core Hammer, Tactical	<p>The hollow head of this two-handed hammer is filled with  exceptionally dense plasma, which is released on contact   with enemies, sometimes even spraying plasma on a wellplaced  strike. Core hammers constructed by the followers  of Angradd tend to be functional works of dark metal, where  vesk models are usually designed to display the plasma behind  magnetic containment. Tactical core hammers and advanced  core hammers contain a stable plasma core, while fusion core  hammers and reactor core hammers employ devices that focus  plasma to trigger momentary flares of nuclear fusion.</p>	12	3	1320	1d6 E & F	1	6	E & F	null	Jet 1d6	null	null	2	Powered (capacity 40, usage 2)	ARM	41
353	Plasma Ribbon, Student	<p>While analog battle ribbons (see page 52) are the most  traditional of such weapons, increased demand for showier  displays in recent centuries has resulted in the development  of the plasma ribbon. Much like the analog version, a plasma  ribbon is a 10-foot-long ribbon about 3 inches wide, though this  version is made from impermeable nanocarbon fiber. A series of  fine, flexible wires along the edges produces a narrow magnetic  field that turns the weapon into a streamer of glowing plasma  in use. Student plasma ribbons allow the user to build up  proficiency; battleflowers trade up to professional, competitor,  and champion plasma ribbons as they become more skilled with  the weapons. </p>	12	4	2120	1d6 E & F	1	6	E & F	null	null	null	null	L	Operative, professional (dancer), powered (capacity 20, usage 1)	ARM	43
354	Flare Axe, Yellow Star	<p>A flare axe pushes a magnetically contained wave of plasma  in a semicircular arc parallel to the haft that resembles a  miniature solar flare. The color of plasma indicates the relative  temperature (and therefore damage output) of each weapon:  red star flare axes are the standard model, yellow star and  white star flare axes are more dangerous, and blue star flare  axes inflict the most destruction. </p>	12	5	2710	1d8 E & F	1	8	E & F	null	Burn 1d8	null	null	1	Powered (capacity 20, usage 1)	ARM	42
355	Plasma Doshko, Red Star	<p>The plasma versions of these traditional vesk weapons use the same popular naming convention as other plasma weapons. </p>	12	6	4650	1d10 E & F	1	10	E & F	null	Severe wound	null	null	1	Powered (capacity 20, usage 2)	CRB	185
356	Nova Lance, Yellow Star	<p>This long weapon bears a plasma sheath at its striking tip.  Although similar weapons are produced on many worlds, nova  lances’ use in Eoxian racing broadcasts has made them especially  popular throughout the Pact Worlds. They are typically  manufactured by corporations that specialize in plasma pistols  and plasma rifles and thus their models follow the same naming  conventions: red star, yellow star, white star, and blue star.   </p>	12	7	6870	3d4 E & F	3	4	E & F	null	Wound	null	null	2	Reach, powered (capacity 20, usage 1)	ARM	42
357	Core Hammer, Advanced	<p>The hollow head of this two-handed hammer is filled with  exceptionally dense plasma, which is released on contact   with enemies, sometimes even spraying plasma on a wellplaced  strike. Core hammers constructed by the followers  of Angradd tend to be functional works of dark metal, where  vesk models are usually designed to display the plasma behind  magnetic containment. Tactical core hammers and advanced  core hammers contain a stable plasma core, while fusion core  hammers and reactor core hammers employ devices that focus  plasma to trigger momentary flares of nuclear fusion.</p>	12	8	9150	3d6 E & F	3	6	E & F	null	Jet 2d6	null	null	2	Powered (capacity 40, usage 2)	ARM	41
358	Plasma Ribbon, Professional	<p>While analog battle ribbons (see page 52) are the most  traditional of such weapons, increased demand for showier  displays in recent centuries has resulted in the development  of the plasma ribbon. Much like the analog version, a plasma  ribbon is a 10-foot-long ribbon about 3 inches wide, though this  version is made from impermeable nanocarbon fiber. A series of  fine, flexible wires along the edges produces a narrow magnetic  field that turns the weapon into a streamer of glowing plasma  in use. Student plasma ribbons allow the user to build up  proficiency; battleflowers trade up to professional, competitor,  and champion plasma ribbons as they become more skilled with  the weapons. </p>	12	9	13600	2d10 E & F	2	10	E & F	null	null	null	null	L	Operative, professional (dancer), powered (capacity 20, usage 1)	ARM	43
359	Plasma Doshko, Yellow Star	<p>The plasma versions of these traditional vesk weapons use the same popular naming convention as other plasma weapons. </p>	12	10	17000	2d10 E & F	2	10	E & F	null	Severe wound	null	null	1	Powered (capacity 20, usage 2)	CRB	185
