id	name	description	armor_type	level	price	eac_bonus	kac_bonus	max_dex_bonus	ac_penalty	speed_penalty	upgrade_slots	bulk	source	source_page
149	Aegis Series, Squad	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	45200	17	19	3	5	10	5	3	CRB	199
150	Formian Plate, Taskmaster	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	42000	16	19	3	4	10	1	3	AA2	53
151	Iridishell, Superior	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	42250	17	18	4	0	0	4	2	CRB	199
152	Night Plate II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	37500	15	17	5	2	5	4	2	ARM	70
153	Vesk Monolith I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	39650	16	18	4	2	5	5	2	CRB	202
154	Fossilwrap II	<p>Meant for first-wave boarding actions, fossilwrap armor is a cage of alchemically treated bones and steel. This armor is meant to shrug off most incoming blows while giving the wearer some amount of mobility in the thick of combat.</p>	heavy	13	55000	19	19	4	2	5	5	2	DS03	48
155	Hardplate, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	48000	19	20	4	3	5	0	2	DS04	44
156	Kalo Encounter Suit III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	48500	20	21	3	3	10	4	3	ARM	70
157	Skyfire Armor, Exident	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	53600	18	20	4	2	5	5	2	CRB	202
158	Golemforged Plating V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	63750	18	20	4	3	10	7	3	CRB	199
159	Hellknight Plate, Paralictor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	80000	21	22	3	2	10	6	3	PWD	196
160	Inheritor Grace II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	67400	20	21	3	2	5	5	2	ARM	68
161	Kyokor Plating IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	76000	17	19	5	2	5	4	1	AA1	73
162	Vesk Overplate IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	71850	19	21	4	2	5	5	2	CRB	202
163	Enforcer Armor III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	15	101150	21	23	3	3	10	5	3	ARM	68
164	Enginerunner	<p>The ysoki popularized this seemingly lightweight but incredibly durable heavy armor. Small squares of dense metal lie between two layers of reinforced fiber weave, giving the appearance of a padded flight suit but offering considerably more protection.</p>	heavy	15	120900	21	22	4	0	0	5	2	CRB	199
165	Lashunta Ringwear V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	15	94200	20	22	4	2	5	5	2	CRB	202
166	Night Plate III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	16	177300	21	24	5	1	5	4	2	ARM	70
167	Steelbones	<p>A framework of metal ribs covers this suit of heavy armor. Force fields bridge the gaps between the metal ribs, which give the armor the macabre look of a metal skeleton. Officers of the Corpse Fleet favor this armor for its unsettling appearance, but steelbones can be worn by anyone who values an intimidating style.</p>	heavy	16	145500	21	22	4	3	5	6	2	CRB	202
168	Vesk Monolith II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	16	163400	22	24	4	3	5	6	2	CRB	202
169	Aegis Series, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	17	209000	23	27	3	5	10	6	3	CRB	199
170	Dendron Armor, Sequoia	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	17	256500	23	25	4	2	5	5	2	ARM	68
171	Kalo Encounter Suit IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	360000	25	26	4	3	10	6	3	ARM	70
172	Kyokor Plating V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	371000	23	24	5	2	5	6	1	AA1	73
173	Vesk Overplate V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	415800	24	26	4	3	5	7	2	CRB	202
174	Vitrum Plate	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	365650	23	24	5	0	0	4	1	CRB	202
175	Formian Plate, Myrmarch	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	557000	24	27	3	4	10	3	3	AA2	53
176	Fossilwrap III	<p>Meant for first-wave boarding actions, fossilwrap armor is a cage of alchemically treated bones and steel. This armor is meant to shrug off most incoming blows while giving the wearer some amount of mobility in the thick of combat.</p>	heavy	19	645000	25	25	6	2	5	6	2	DS03	48
177	Inheritor Grace III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	591000	25	27	4	2	5	7	2	ARM	68
178	Voidshield Armor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	610250	25	26	5	3	5	7	2	CRB	202
179	Aegis Series, Specialist	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	932000	25	28	4	4	10	7	3	CRB	199
180	Night Plate IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	886500	25	26	6	0	0	6	2	ARM	70
181	Vesk Monolith III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	827250	26	27	5	2	5	7	2	CRB	202
