id	name	type	description	level	price	system	source	source_page
61	Datajack, High-density	Cybernetics	<p>This cybernetic includes a programmable data port that allows you to access different types of computers and digital storage media. Any handheld computer can be inserted directly into the port, while larger systems need to be connected by an adapter cable. Having the system connected directly to your nervous system obviates the need for an interface to access data on a system. Actually operating the system requires you to use the Computers skill as usual. Some closed systems don’t allow data access or require you to do some rewiring to connect with a datajack (usually an Engineering check).<br/>Advanced datajacks make it easier to process and send information through the datajack. With a high-density datajack, you gain a +1 circumstance bonus to Computer checks when accessing a system via your datajack. An accelerated datajack instead provides a +2 bonus.</p>	5	2600	Brain	CRB	209
62	Datajack, Standard	Cybernetics	<p>This cybernetic includes a programmable data port that allows you to access different types of computers and digital storage media. Any handheld computer can be inserted directly into the port, while larger systems need to be connected by an adapter cable. Having the system connected directly to your nervous system obviates the need for an interface to access data on a system. Actually operating the system requires you to use the Computers skill as usual. Some closed systems don’t allow data access or require you to do some rewiring to connect with a datajack (usually an Engineering check).<br/>Advanced datajacks make it easier to process and send information through the datajack. With a high-density datajack, you gain a +1 circumstance bonus to Computer checks when accessing a system via your datajack. An accelerated datajack instead provides a +2 bonus.</p>	2	625	Brain	CRB	209
63	Dermal Plating, Mk1	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	5	3025	Skin	CRB	209
64	Dermal Plating, Mk2	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	7	6950	Skin	CRB	209
65	Dermal Plating, Mk3	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	9	17975	Skin	CRB	209
66	Dermal Plating, Mk4	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	12	48850	Skin	CRB	209
67	Dermal Plating, Mk5	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	14	105000	Skin	CRB	209
68	Dermal Plating, Mk6	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	16	163500	Skin	CRB	209
69	Dermal Plating, Mk7	Cybernetics	<p>You line your skin with hardened composite plates that deflect physical attacks. You gain an amount of damage reduction that depends on the model of your dermal plating. If you have natural damage reduction equal to or greater than your dermal plating, adding dermal plating increases the value of your natural DR by 1. If you have natural DR of a value less than your dermal plating, the value of DR from your dermal plating increases by 1.</p>	19	542000	Skin	CRB	209
70	Detoxifier, elite	Cybernetics	<p>This synthetic organ replaces your liver, constantly filtering your bloodstream for toxic substances at a rate far more effective than that of an organic liver. The new organ is controlled by a wirelessly paired processor installed in your heart. When you have a standard detoxifier installed, you gain a +4 enhancement bonus to Fortitude saves against diseases, drugs, poisons, and radiation, and you are immune to addiction. Once per day when affected by a poison, you can roll your Fortitude save twice and take the better result. The enhanced detoxifier grants all of the above bonuses, as well as the ability to roll saving throws against poison twice per day. In addition, you automatically stabilize if reduced to 0 Hit Points as a result of damage from a poison. The elite detoxifier grants immunity to poison, as well as the bonuses to other Fortitude saves from the standard model.</p>	19	612000	Heart	SS2	45
71	Detoxifier, enhanced	Cybernetics	<p>This synthetic organ replaces your liver, constantly filtering your bloodstream for toxic substances at a rate far more effective than that of an organic liver. The new organ is controlled by a wirelessly paired processor installed in your heart. When you have a standard detoxifier installed, you gain a +4 enhancement bonus to Fortitude saves against diseases, drugs, poisons, and radiation, and you are immune to addiction. Once per day when affected by a poison, you can roll your Fortitude save twice and take the better result. The enhanced detoxifier grants all of the above bonuses, as well as the ability to roll saving throws against poison twice per day. In addition, you automatically stabilize if reduced to 0 Hit Points as a result of damage from a poison. The elite detoxifier grants immunity to poison, as well as the bonuses to other Fortitude saves from the standard model.</p>	12	39500	Heart	SS2	45
72	Detoxifier, standard	Cybernetics	<p>This synthetic organ replaces your liver, constantly filtering your bloodstream for toxic substances at a rate far more effective than that of an organic liver. The new organ is controlled by a wirelessly paired processor installed in your heart. When you have a standard detoxifier installed, you gain a +4 enhancement bonus to Fortitude saves against diseases, drugs, poisons, and radiation, and you are immune to addiction. Once per day when affected by a poison, you can roll your Fortitude save twice and take the better result. The enhanced detoxifier grants all of the above bonuses, as well as the ability to roll saving throws against poison twice per day. In addition, you automatically stabilize if reduced to 0 Hit Points as a result of damage from a poison. The elite detoxifier grants immunity to poison, as well as the bonuses to other Fortitude saves from the standard model.</p>	5	3500	Heart	SS2	45
73	Dimensional braces	Magitech	<p>Your legs are fitted with braces attuned to the resonance frequency of the Astral Plane. Once per day as a standard action, you can teleport yourself, per dimension door, with a maximum range of 120 feet. You can’t bring any other creatures with you.</p>	12	38000	All legs	ARM	90
74	Dispelling hand	Magitech	<p>Holographic mystic sigils project from your hand when you activate this implant. Your hand must be free to do so. As a reaction, you can gain a +1 insight bonus to your AC against a spell that requires a successful attack roll. Alternatively, as a standard action, you can use dispel magic as a spell-like ability with a caster level equal to your level, but it can’t counter spells and it can’t target anything other than you unless you touch the target. To affect an unwilling target, you must hit it with a melee attack against its EAC; you activate the augmentation as part of the attack roll, and you can add your key ability score modifier to this attack roll instead of your Strength modifier if it is higher. Once you use dispel magic this way, you can’t use your dispelling hand for either of its uses until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	9	14300	Hand	ARM	90
75	Disquieting Nanities	Cybernetics	<p><p>This augmentation infuses your skin with a host of iridescent nanites that swirl in hypnotic patterns. Internally, some of the nanites cluster around your voice box, slightly modifying your voice to create a kind of rhythmic reverberation. As a standard action, you can activate the nanites. After the first round, you must use a swift action each round to maintain the effect. A creature that can see or hear you when the nanites are activated must succeed at a Will saving throw (DC = 14 + your key ability score modifier) or be shaken for as long it can see or hear you and you continue the effect. If the creature succeeds at the saving throw, it is immune to the effect of the nanites for 24 hours. You can choose for the nanites to not affect allies. If the creature can both see and hear you, it takes a –2 penalty to the saving throw. This is a mind-affecting, sense-dependent effect. You can use the augmentation for 8 rounds per day, though these rounds need not be consecutive.</p></p>	8	10000	Skin and Throat	DS05	9
76	Disquieting Nanities	Cybernetics	<p><p>This augmentation infuses your skin with a host of iridescent nanites that swirl in hypnotic patterns. Internally, some of the nanites cluster around your voice box, slightly modifying your voice to create a kind of rhythmic reverberation. As a standard action, you can activate the nanites. After the first round, you must use a swift action each round to maintain the effect. A creature that can see or hear you when the nanites are activated must succeed at a Will saving throw (DC = 14 + your key ability score modifier) or be shaken for as long it can see or hear you and you continue the effect. If the creature succeeds at the saving throw, it is immune to the effect of the nanites for 24 hours. You can choose for the nanites to not affect allies. If the creature can both see and hear you, it takes a –2 penalty to the saving throw. This is a mind-affecting, sense-dependent effect. You can use the augmentation for 8 rounds per day, though these rounds need not be consecutive.</p></p>	8	10000	Skin and Throat	DS05	9
77	Divining mirror neurons	Magitech	<p>Neurons in your brain are wired into a predictive AI that uses algorithms and divinations to predict a single humanoid’s actions. As a standard action, you can target any creature of your type that you are observing to gain split-second predictions for as long as you continue to observe it or until you deactivate your augmentation as a swift action. During this time, you gain a +1 insight bonus to saving throws and skill checks against that creature and against effects that creature produces. In addition, if you concentrate as a move action, you gain a +1 insight bonus to attack rolls against that creature until the beginning of your next turn. You can target only one creature at a time.</p>	12	36400	Brain	ARM	91
78	Dragon Gland, Standard	Biotech	<p>You implant an arcanicus gland modified to function for a creature of your race at the back of your throat. You can trigger this gland as a standard action to expel a breath weapon in a 15-foot cone as an extraordinary ability. Choose the damage type when the organ is biocrafted, picking from the following list: acid, cold, electricity, or fire. You are not harmed by using your own breath weapon. Once you’ve used your breath weapon, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.<br/>A wyrmling dragon gland deals 3d6 damage, a standard gland deals 9d6 damage, and a wyrm gland deals 18d6 damage. Targets in the area can attempt a Reflex save (DC = 10 + half your level + your Constitution modifier) to take only half damage.</p>	10	19125	Throat	CRB	211
79	Dragon Gland, Wyrm	Biotech	<p>You implant an arcanicus gland modified to function for a creature of your race at the back of your throat. You can trigger this gland as a standard action to expel a breath weapon in a 15-foot cone as an extraordinary ability. Choose the damage type when the organ is biocrafted, picking from the following list: acid, cold, electricity, or fire. You are not harmed by using your own breath weapon. Once you’ve used your breath weapon, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.<br/>A wyrmling dragon gland deals 3d6 damage, a standard gland deals 9d6 damage, and a wyrm gland deals 18d6 damage. Targets in the area can attempt a Reflex save (DC = 10 + half your level + your Constitution modifier) to take only half damage.</p>	16	181500	Throat	CRB	211
80	Dragon Gland, Wyrmling	Biotech	<p>You implant an arcanicus gland modified to function for a creature of your race at the back of your throat. You can trigger this gland as a standard action to expel a breath weapon in a 15-foot cone as an extraordinary ability. Choose the damage type when the organ is biocrafted, picking from the following list: acid, cold, electricity, or fire. You are not harmed by using your own breath weapon. Once you’ve used your breath weapon, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.<br/>A wyrmling dragon gland deals 3d6 damage, a standard gland deals 9d6 damage, and a wyrm gland deals 18d6 damage. Targets in the area can attempt a Reflex save (DC = 10 + half your level + your Constitution modifier) to take only half damage.</p>	2	755	Throat	CRB	211
81	Eagle Eyes	Biotech	<p>You gain a +2 circumstance bonus to Perception checks to notice a creature using Stealth and to pierce disguises. You can use Perception to visually search areas up to 10 feet by 10 feet as a move action or up to 30 feet by 30 feet in 1 minute.</p>	6	4000	Eyes	ARM	86
82	Echolocators, active	Cybernetics	<p>As a swift action, you can fan out these replacement ears to triple their surface area, giving you blindsense (sound) with a range of 30 feet. Active and enhanced echolocators occupy both the ears and throat system, also allowing you to spend a move action to produce, receive, and process a series of subsonic chirps to gain the benefits of blindsight (sound) until the beginning of your next turn. The blindsight from active echolocators has a range of 30 feet, while the blindsight from enhanced echolocators has a range of 60 feet.</p>	9	13700	Ears and throat	ARM	88
83	Echolocators, active	Cybernetics	<p>As a swift action, you can fan out these replacement ears to triple their surface area, giving you blindsense (sound) with a range of 30 feet. Active and enhanced echolocators occupy both the ears and throat system, also allowing you to spend a move action to produce, receive, and process a series of subsonic chirps to gain the benefits of blindsight (sound) until the beginning of your next turn. The blindsight from active echolocators has a range of 30 feet, while the blindsight from enhanced echolocators has a range of 60 feet.</p>	9	13700	Ears and throat	ARM	88
84	Echolocators, enhanced	Cybernetics	<p>As a swift action, you can fan out these replacement ears to triple their surface area, giving you blindsense (sound) with a range of 30 feet. Active and enhanced echolocators occupy both the ears and throat system, also allowing you to spend a move action to produce, receive, and process a series of subsonic chirps to gain the benefits of blindsight (sound) until the beginning of your next turn. The blindsight from active echolocators has a range of 30 feet, while the blindsight from enhanced echolocators has a range of 60 feet.</p>	13	50900	Ears and throat	ARM	88
85	Echolocators, enhanced	Cybernetics	<p>As a swift action, you can fan out these replacement ears to triple their surface area, giving you blindsense (sound) with a range of 30 feet. Active and enhanced echolocators occupy both the ears and throat system, also allowing you to spend a move action to produce, receive, and process a series of subsonic chirps to gain the benefits of blindsight (sound) until the beginning of your next turn. The blindsight from active echolocators has a range of 30 feet, while the blindsight from enhanced echolocators has a range of 60 feet.</p>	13	50900	Ears and throat	ARM	88
86	Echolocators, reactive	Cybernetics	<p>As a swift action, you can fan out these replacement ears to triple their surface area, giving you blindsense (sound) with a range of 30 feet. Active and enhanced echolocators occupy both the ears and throat system, also allowing you to spend a move action to produce, receive, and process a series of subsonic chirps to gain the benefits of blindsight (sound) until the beginning of your next turn. The blindsight from active echolocators has a range of 30 feet, while the blindsight from enhanced echolocators has a range of 60 feet.</p>	6	4450	Ears	ARM	88
87	Ecstasy mask	Magitech	<p>Piercings of the ecstasy mask crisscross your face, and its fibers penetrate your central nervous system. When you experience pain, the augmentation also activates the pleasure center of your brain. Because this augmentation conditions your body to associate pain with pleasure, when you attempt a saving throw against an effect that has the pain descriptor, you can roll twice and take the better result.<br/> When you take Hit Point damage or suffer an effect that has the pain descriptor, you are flooded with pleasure for 1 round. You can spend 1 Resolve Point to extend this benefit by 1d4 rounds. During this time, you ignore the shaken condition and pain effects. In addition, provided you are conscious, when you attempt a saving throw against a mind-affecting effect, you can roll twice and take the better result.</p>	7	7000	Brain	SS2	52
88	Emotional regulator	Cybernetics	<p>This integrated processor is threaded into your brain by microfilaments that act as artificial synapses within the amygdala. These synthetic synapses subtly alter the transmission of emotional input, and you receive a +2 enhancement bonus to saves against confusion and fear effects. If you are affected by a confusion or fear effect, the duration of the effect is reduced by 1 round.</p>	4	2120	Brain	SS2	45
89	Enchanting vocal modulator, duofrequency	Magitech	<p>Your voice box has an enchanted digital modulator that can alter its frequency to be supernaturally compelling. As a move action you can calibrate it to a single creature that you have heard and understood speaking or using other sound-based communication. It remains calibrated to that target until you pick a new target. You gain a +2 insight bonus to Bluff, Diplomacy, and Intimidate checks to influence that creature using your voice (not other forms of communication). In addition, you can cast suggestion once per day (DC = 10 + half your character level + your Charisma modifier) as a standard action, targeting a creature your system is calibrated to.<br/> A duofrequency enchanting vocal modulator can target two creatures at once. It can be calibrated to two targets with a single move action, and its suggestion function can be used to target both with a single command. Similarly, a quadfrequency enchanting vocal modulator can target up to four creatures.</p>	14	66500	Throat	ARM	91
90	Enchanting vocal modulator, monofrequency	Magitech	<p>Your voice box has an enchanted digital modulator that can alter its frequency to be supernaturally compelling. As a move action you can calibrate it to a single creature that you have heard and understood speaking or using other sound-based communication. It remains calibrated to that target until you pick a new target. You gain a +2 insight bonus to Bluff, Diplomacy, and Intimidate checks to influence that creature using your voice (not other forms of communication). In addition, you can cast suggestion once per day (DC = 10 + half your character level + your Charisma modifier) as a standard action, targeting a creature your system is calibrated to.<br/> A duofrequency enchanting vocal modulator can target two creatures at once. It can be calibrated to two targets with a single move action, and its suggestion function can be used to target both with a single command. Similarly, a quadfrequency enchanting vocal modulator can target up to four creatures.</p>	11	25400	Throat	ARM	91
91	Enchanting vocal modulator, quadfrequency	Magitech	<p>Your voice box has an enchanted digital modulator that can alter its frequency to be supernaturally compelling. As a move action you can calibrate it to a single creature that you have heard and understood speaking or using other sound-based communication. It remains calibrated to that target until you pick a new target. You gain a +2 insight bonus to Bluff, Diplomacy, and Intimidate checks to influence that creature using your voice (not other forms of communication). In addition, you can cast suggestion once per day (DC = 10 + half your character level + your Charisma modifier) as a standard action, targeting a creature your system is calibrated to.<br/> A duofrequency enchanting vocal modulator can target two creatures at once. It can be calibrated to two targets with a single move action, and its suggestion function can be used to target both with a single command. Similarly, a quadfrequency enchanting vocal modulator can target up to four creatures.</p>	17	225000	Throat	ARM	91
92	Enervating Hand, Mk 1	Necrograft	<p><table> <tr><th>MODEL</th><th>DAMAGE</th></tr> <tr><td>Mk 1</td><td>4d4 C</td></tr> <tr><td>Mk 2</td><td>6d4 C</td></tr> <tr><td>Mk 3</td><td>8d4 C</td></tr> <tr><td>Mk 4</td><td>12d4 C</td></tr> <tr><td>Mk 5</td><td>16d4 C</td></tr> </table> An enervating hand replaces a living hand with a withered extremity capable of draining the life essence of living creatures. As a standard action, you can make an unarmed strike with the enervating hand against a target’s EAC to deal the amount of damage listed for your necrograft’s model. You deal only the listed amount of damage (plus additional damage from the Weapon Specialization feat, if applicable), even if you have other abilities that increase your unarmed strike damage (such as natural weapons or the Improved Unarmed Strike feat). On a successful attack, you gain a number of temporary Hit Points equal to the necrograft’s item level; these temporary Hit Points last for 10 minutes, until lost when you take damage, or until you gain a larger number of temporary Hit Points from another source. This attack has no effect on unliving creatures or creatures immune to negative energy damage (such as those under the effects of a death ward spell). Once you make a successful attack with an enervating hand, you can’t attack with it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately. </p>	1	200	Hand	ARM	95
93	Enervating Hand, Mk 2	Necrograft	<p><table> <tr><th>MODEL</th><th>DAMAGE</th></tr> <tr><td>Mk 1</td><td>4d4 C</td></tr> <tr><td>Mk 2</td><td>6d4 C</td></tr> <tr><td>Mk 3</td><td>8d4 C</td></tr> <tr><td>Mk 4</td><td>12d4 C</td></tr> <tr><td>Mk 5</td><td>16d4 C</td></tr> </table> An enervating hand replaces a living hand with a withered extremity capable of draining the life essence of living creatures. As a standard action, you can make an unarmed strike with the enervating hand against a target’s EAC to deal the amount of damage listed for your necrograft’s model. You deal only the listed amount of damage (plus additional damage from the Weapon Specialization feat, if applicable), even if you have other abilities that increase your unarmed strike damage (such as natural weapons or the Improved Unarmed Strike feat). On a successful attack, you gain a number of temporary Hit Points equal to the necrograft’s item level; these temporary Hit Points last for 10 minutes, until lost when you take damage, or until you gain a larger number of temporary Hit Points from another source. This attack has no effect on unliving creatures or creatures immune to negative energy damage (such as those under the effects of a death ward spell). Once you make a successful attack with an enervating hand, you can’t attack with it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately. </p>	6	4000	Hand	ARM	95
94	Enervating Hand, Mk 3	Necrograft	<p><table> <tr><th>MODEL</th><th>DAMAGE</th></tr> <tr><td>Mk 1</td><td>4d4 C</td></tr> <tr><td>Mk 2</td><td>6d4 C</td></tr> <tr><td>Mk 3</td><td>8d4 C</td></tr> <tr><td>Mk 4</td><td>12d4 C</td></tr> <tr><td>Mk 5</td><td>16d4 C</td></tr> </table> An enervating hand replaces a living hand with a withered extremity capable of draining the life essence of living creatures. As a standard action, you can make an unarmed strike with the enervating hand against a target’s EAC to deal the amount of damage listed for your necrograft’s model. You deal only the listed amount of damage (plus additional damage from the Weapon Specialization feat, if applicable), even if you have other abilities that increase your unarmed strike damage (such as natural weapons or the Improved Unarmed Strike feat). On a successful attack, you gain a number of temporary Hit Points equal to the necrograft’s item level; these temporary Hit Points last for 10 minutes, until lost when you take damage, or until you gain a larger number of temporary Hit Points from another source. This attack has no effect on unliving creatures or creatures immune to negative energy damage (such as those under the effects of a death ward spell). Once you make a successful attack with an enervating hand, you can’t attack with it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately. </p>	12	30000	Hand	ARM	95
95	Enervating Hand, Mk 4	Necrograft	<p><table> <tr><th>MODEL</th><th>DAMAGE</th></tr> <tr><td>Mk 1</td><td>4d4 C</td></tr> <tr><td>Mk 2</td><td>6d4 C</td></tr> <tr><td>Mk 3</td><td>8d4 C</td></tr> <tr><td>Mk 4</td><td>12d4 C</td></tr> <tr><td>Mk 5</td><td>16d4 C</td></tr> </table> An enervating hand replaces a living hand with a withered extremity capable of draining the life essence of living creatures. As a standard action, you can make an unarmed strike with the enervating hand against a target’s EAC to deal the amount of damage listed for your necrograft’s model. You deal only the listed amount of damage (plus additional damage from the Weapon Specialization feat, if applicable), even if you have other abilities that increase your unarmed strike damage (such as natural weapons or the Improved Unarmed Strike feat). On a successful attack, you gain a number of temporary Hit Points equal to the necrograft’s item level; these temporary Hit Points last for 10 minutes, until lost when you take damage, or until you gain a larger number of temporary Hit Points from another source. This attack has no effect on unliving creatures or creatures immune to negative energy damage (such as those under the effects of a death ward spell). Once you make a successful attack with an enervating hand, you can’t attack with it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately. </p>	18	350000	Hand	ARM	95
96	Enervating Hand, Mk 5	Necrograft	<p><table> <tr><th>MODEL</th><th>DAMAGE</th></tr> <tr><td>Mk 1</td><td>4d4 C</td></tr> <tr><td>Mk 2</td><td>6d4 C</td></tr> <tr><td>Mk 3</td><td>8d4 C</td></tr> <tr><td>Mk 4</td><td>12d4 C</td></tr> <tr><td>Mk 5</td><td>16d4 C</td></tr> </table> An enervating hand replaces a living hand with a withered extremity capable of draining the life essence of living creatures. As a standard action, you can make an unarmed strike with the enervating hand against a target’s EAC to deal the amount of damage listed for your necrograft’s model. You deal only the listed amount of damage (plus additional damage from the Weapon Specialization feat, if applicable), even if you have other abilities that increase your unarmed strike damage (such as natural weapons or the Improved Unarmed Strike feat). On a successful attack, you gain a number of temporary Hit Points equal to the necrograft’s item level; these temporary Hit Points last for 10 minutes, until lost when you take damage, or until you gain a larger number of temporary Hit Points from another source. This attack has no effect on unliving creatures or creatures immune to negative energy damage (such as those under the effects of a death ward spell). Once you make a successful attack with an enervating hand, you can’t attack with it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately. </p>	20	775000	Hand	ARM	95
97	Filament Mesh, Mk 1	Biotech	<p>A network of tashtari filaments implanted under the topmost layers of your skin allows you to harness and release energy from solar radiation. As a standard action, provided you have spent 4 hours of the past 24-hour period in bright light or direct sunlight, you can spend 1 Resolve Point to cause your filaments to glow with intense light. Any creature (other than you) that can see this light and is within 60 feet of you must succeed at a Fortitude save (DC = 10 + half your level + your Constitution modifier) or be dazzled for 1d4 rounds. Mk 2 filament mesh causes all creatures that fail the Fortitude save to instead be blinded for 1d4 rounds. When exposed to bright light, filament mesh is faintly visible as a reflective tracery under your skin. This augmentation can’t absorb or release light if your skin is completely covered with protective gear that doesn’t allow light through. You must have armor adjusted to accommodate this augmentation (Starfinder Core Rulebook 196). Normal clothing allows enough solar radiation through to charge the augmentation.</p>	5	3450	Skin	AA2	125
98	Filament Mesh, Mk 2	Biotech	<p>A network of tashtari filaments implanted under the topmost layers of your skin allows you to harness and release energy from solar radiation. As a standard action, provided you have spent 4 hours of the past 24-hour period in bright light or direct sunlight, you can spend 1 Resolve Point to cause your filaments to glow with intense light. Any creature (other than you) that can see this light and is within 60 feet of you must succeed at a Fortitude save (DC = 10 + half your level + your Constitution modifier) or be dazzled for 1d4 rounds. Mk 2 filament mesh causes all creatures that fail the Fortitude save to instead be blinded for 1d4 rounds. When exposed to bright light, filament mesh is faintly visible as a reflective tracery under your skin. This augmentation can’t absorb or release light if your skin is completely covered with protective gear that doesn’t allow light through. You must have armor adjusted to accommodate this augmentation (Starfinder Core Rulebook 196). Normal clothing allows enough solar radiation through to charge the augmentation.</p>	10	17500	Skin	AA2	125
99	Fluttering heart	Magitech	<p>Your heart has necromantic onyx implants that put your autonomous functions under limited conscious control, allowing you to make yourself look weaker than you actually are. As a full action, you can convincingly feign a display of meekness that lasts until you attack or perform some other hostile action (such as casting a harmful spell) or 10 minutes have passed, whichever comes first. During this time, hostile creatures attack other viable targets instead of you if any exist, though it is possible you might be included in area effects (foes don’t avoid targeting you, they simply prioritize other viable targets). Once you use your fluttering heart, you can’t use it again until you have rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	8	8220	Heart	ARM	91
100	Focusing Membrane, Mk 1	Biotech	<p>The biological tissue a tashtari uses to produce its muzzle beam, a focusing membrane must be installed as part of an optical laser cybernetic augmentation (Starfinder Armory 89) of its item level or higher, adding to that augmentation’s cost but allowing two augmentations in one system. An optical laser modified with a focusing membrane treats a target’s fire resistance as if it were 5 lower (10 lower for mk 2). This benefit does not apply to the laser’s burn critical hit effect.</p>	4	1925	Eyes	AA2	125
101	Focusing Membrane, Mk 2	Biotech	<p>The biological tissue a tashtari uses to produce its muzzle beam, a focusing membrane must be installed as part of an optical laser cybernetic augmentation (Starfinder Armory 89) of its item level or higher, adding to that augmentation’s cost but allowing two augmentations in one system. An optical laser modified with a focusing membrane treats a target’s fire resistance as if it were 5 lower (10 lower for mk 2). This benefit does not apply to the laser’s burn critical hit effect.</p>	9	13260	Eyes	AA2	125
102	Force matrix, mk 1	Cybernetics	<p><table> <tr><th>MODEL</th><th>DR</th></tr> <tr><td>Mk 1</td><td>3</td></tr> <tr><td>Mk 2</td><td>6</td></tr> <tr><td>Mk 3</td><td>10</td></tr> </table> Your hand contains a matrix of energy-sensitive fibers that can shape a force field armor upgrade (Core Rulebook 206) installed into armor you are wearing, focusing its strength in a particular direction. As a move action while your force field is active, you can designate an opponent you can see. Until the beginning of your next turn, your force field’s fast healing is halved, but against the designated opponent’s attacks, you increase your force field’s fortification percentage chance by 10% (maximum 100%) and gain DR/— based on the model of your force matrix. This benefit ends if you lose all the temporary Hit Points provided by your force field. The hand bearing the force matrix augmentation must be free to activate its abilities.</p>	5	3300	Hand	ARM	88
103	Force matrix, mk 2	Cybernetics	<p><table> <tr><th>MODEL</th><th>DR</th></tr> <tr><td>Mk 1</td><td>3</td></tr> <tr><td>Mk 2</td><td>6</td></tr> <tr><td>Mk 3</td><td>10</td></tr> </table> Your hand contains a matrix of energy-sensitive fibers that can shape a force field armor upgrade (Core Rulebook 206) installed into armor you are wearing, focusing its strength in a particular direction. As a move action while your force field is active, you can designate an opponent you can see. Until the beginning of your next turn, your force field’s fast healing is halved, but against the designated opponent’s attacks, you increase your force field’s fortification percentage chance by 10% (maximum 100%) and gain DR/— based on the model of your force matrix. This benefit ends if you lose all the temporary Hit Points provided by your force field. The hand bearing the force matrix augmentation must be free to activate its abilities.</p>	11	26750	Hand	ARM	88
104	Force matrix, mk 3	Cybernetics	<p><table> <tr><th>MODEL</th><th>DR</th></tr> <tr><td>Mk 1</td><td>3</td></tr> <tr><td>Mk 2</td><td>6</td></tr> <tr><td>Mk 3</td><td>10</td></tr> </table> Your hand contains a matrix of energy-sensitive fibers that can shape a force field armor upgrade (Core Rulebook 206) installed into armor you are wearing, focusing its strength in a particular direction. As a move action while your force field is active, you can designate an opponent you can see. Until the beginning of your next turn, your force field’s fast healing is halved, but against the designated opponent’s attacks, you increase your force field’s fortification percentage chance by 10% (maximum 100%) and gain DR/— based on the model of your force matrix. This benefit ends if you lose all the temporary Hit Points provided by your force field. The hand bearing the force matrix augmentation must be free to activate its abilities.</p>	17	278100	Hand	ARM	88
105	Force palms	Magitech	<p>Arcane nodes implanted in your palms can generate fields of force energy. As a full action, you can create a globe of force that functions as resilient sphere but contains only you. The effect has a duration of concentration, to a maximum of 1 minute. Alternatively, as a full action, you can attempt to place another creature that is your size or smaller within a globe of force that is just large enough for the creature to fit in without squeezing. To do so, you must hit that creature with a melee attack against its EAC; instead of adding your Strength modifier to this attack roll, you can add your key ability score modifier if it is higher. Once you use your force palms, you can’t use them again until you’ve rested for 10 minutes to regain Stamina Points.</p>	14	69500	All hands	ARM	92
106	Force soles, mk 1	Magitech	<p>Nodes in the soles of your feet project tiny fields of force energy when you intentionally step into thin air, allowing you to walk as if you were on solid ground as long as you are not encumbered, even in zero gravity. Ascending into the air is similar to walking up an incline. The maximum upward angle possible is 45 degrees, and you move at a rate equal to half your normal land speed. You can move your full land speed horizontally or up to 45 degrees downward. Unless you have mk 2 force soles, you must end your movement on the ground or you fall.</p>	4	2260	All feet	ARM	92
