id	name	description	long_description	mystic_level	technomancer_level	witchwarper_level	school	casting_time	effect	area	effect_ranges_id	targets	duration	saving_throw	spell_resistance	source	source_page
57	Control Machines	<p>Command technological constructs within range telepathically.</p>	<p>You wrest control of the target constructs and command them telepathically. You can issue commands to any number of controlled constructs on your turn, beginning when you cast this spell, as part of the concentration required to sustain its duration (a standard action).</p><p>If any of the constructs are under the control of a hostile creature, that controlling creature can attempt a Will saving throw (DC equal to this spell&rsquo;s) to negate this spell&rsquo;s effect. Each construct under the control of another creature grants its controlling creature a separate saving throw to negate the effect for that construct.</p><p>While this spell is in effect, the affected constructs follow any command you give them, even if it would be dangerous to the controlled constructs. At the end of the spell, the constructs revert to their normal behavior. If they are intelligent, they know and remember that you used magic to control them.</p>	null	5	null	transmutation	1 standard action	null	null	4	constructs of the technological subtype with individual CRs no greater than your level + 1 and a total CR no greater than twice your level, no two of which can be more than 30 ft. apart	concentration, up to 1 round/level	Will negates	no	CRB	345
58	Control Undead	<p>Undead creatures follow your commands and don&rsquo;t attack you.</p>	<p>This spell enables you to control undead creatures for a short period of time. You command them by voice and they understand you, no matter what language you speak. No matter what, the controlled undead do not attack you. At the end of the spell, the targets revert to their normal behavior.</p><p>If any of the undead are under the control of a hostile creature, that controlling creature can attempt a Will saving throw (DC = the spell&rsquo;s DC) to negate this spell&rsquo;s effect if the creature failed its initial saving throw. Each undead under the control of another creature grants its controlling creature a separate saving throw to negate the effect for that undead.</p><p>Intelligent undead creatures remember that you controlled them, and they may seek revenge after the spell&rsquo;s duration ends.</p>	6	6	null	necromancy	1 standard action	null	null	3	undead creatures with individual CRs no greater than your level + 1 and a total CR no greater than twice your level, no two of which can be more than 30 ft. apart	1 minute/level	Will negates	yes	CRB	345
59	Corrosive Haze	<p>Cloud deals 4d8 acid damage per round, plus 10 additional damage.</p>	<p>A 5-foot cloud of acid-resistant nanites continually converts nearby water vapor into deadly acid. You can create the cloud in the same square as a creature and move it up to 30 feet in any direction as a move action on your turn. If the cloud enters (or is created in) a square containing a creature, it can&rsquo;t move any farther that round and deals 4d6 acid damage to that creature (Reflex negates). The acidic cloud also corrodes any unattended objects along its path, dealing them 4d8 acid damage.</p><p>If you don&rsquo;t move the cloud, it remains where it is; if it shares its square with any creature at the beginning of your turn, that creature must succeed at a Reflex save or take 4d8 acid damage. Any creature that takes damage from the cloud takes 10 additional acid damage at the end of its next turn.</p>	null	4	null	evocation (acid)	1 standard action	5-ft.-diameter cloud of acid	null	4	null	1 round/level	Reflex negates	yes	CRB	346
60	Cosmic Eddy	<p>Whirlwind deals 4d6 damage and knocks creatures prone.</p>	<p>You pull dormant mystical energy from the land and objects around you and use it to create a swirling eddy that batters your foes and can hinder their movement. The eddy deals 4d6 bludgeoning damage to each creature in the area. Additionally, creatures in the area are knocked prone and are reduced to half speed while the spell is in effect. A creature that succeeds at a Reflex save takes only half damage and is not knocked prone, but it is still reduced to half speed. Flying creatures within the eddy&rsquo;s area must attempt an Acrobatics check to fly (DC equals the spell&rsquo;s save DC) each round. Failure means the creature cannot move for that round.</p><p>The spell deals damage and knocks creatures prone only once. However, if a creature leaves the spell&rsquo;s area and then returns, it is subject to the damage and other effects described above again (and can attempt another Reflex saving throw). Similarly, if a creature is not in this spell&rsquo;s area when it is first cast but later moves into it, it is subject to the damage and other effects described above.</p><p>Small, unattended items (no more than light bulk) are also thrown around in the eddy&rsquo;s area. At the end of the spell&rsquo;s duration, such items land in a randomly determined space within the spell&rsquo;s area.</p>	4	null	4	evocation	1 standard action	null	20-ft.-radius spread	4	null	1 round/level (D)	Reflex partial, see text	yes	CRB	346
61	Create Ammunition	<p>Create a specific type of ammunition, such as arrows or a battery.</p>	<p>You create a specific type of ammunition, such as arrows or a battery, and conjure it in hand or a place within range. You can create ammunition with an item level of 1 or 2, and you create a number of charges or pieces of ammunition as if you had purchased the ammunition (for example, 20 arrows or a battery with 20 charges). If you use this spell to create a battery, the battery can be used for any function a battery performs. This spell cannot create ammunition made from special materials or with any special quality, and it cannot create grenades, rockets, missiles, or the like. The ammunition disappears when the duration ends.</p>	null	1	null	conjuration (creation)	1 standard action	null	null	3	null	1 minute/level (D)	null	null	COM	134
62	Creation	<p>Create a single object made of vegetable or mineral matter.</p>	<p>You create a nonmagical, nontechnological, unattended object of nonliving matter. The volume of the item created can&rsquo;t exceed 1 cubic foot (or 1 bulk) per caster level. You must succeed at an appropriate Engineering or Profession check to make a complex item, and you can&rsquo;t create a consumable item.<br /><br /><strong>4th</strong>: When you cast creation as a 4th-level spell, it creates an object made out of vegetable matter (such as wood) that has an item level no greater than one-third your caster level. The duration is 1 hour per caster level.<br /><br /><strong>5th</strong>: When you cast creation as a 5th-level spell, it creates an object made out of vegetable matter or material of a mineral nature: crystal, metal, stone, or the like. The object can&rsquo;t have an item level greater than half your caster level. The duration depends on the hardness and rarity of the created object, as indicated on the following table.<br /><br /></p><table class="inner"><tbody><tr><td><strong>Hardness and Rarity Examples</strong></td><td><strong>Duration</strong></td></tr><tr><td>Vegetable matter</td><td>2 hours/level</td></tr><tr><td>Stone, crystal, base metals</td><td>1 hour/level</td></tr><tr><td>Precious metals</td><td>20 minutes/level</td></tr><tr><td>Gems</td><td>10 minutes/level</td></tr><tr><td>Rare metals*</td><td>1 round/level</td></tr></tbody></table><p>* Includes adamantine, alchemical silver, mithral, and skymetal alloys. You can&rsquo;t use a 5th-level&nbsp;<em>creation</em>&nbsp;spell to create a cold iron item.</p>	null	4	null	conjuration (creation)	1 minute	one nonmagical, nontechnological object of nonliving matter, up to 1 bulk/level; see text	null	11	null	see text	none	no	CRB	347
63	Creation	<p>Create a single object made of vegetable or mineral matter.</p>	<p>You create a nonmagical, nontechnological, unattended object of nonliving matter. The volume of the item created can&rsquo;t exceed 1 cubic foot (or 1 bulk) per caster level. You must succeed at an appropriate Engineering or Profession check to make a complex item, and you can&rsquo;t create a consumable item.<br /><br /><strong>4th</strong>: When you cast creation as a 4th-level spell, it creates an object made out of vegetable matter (such as wood) that has an item level no greater than one-third your caster level. The duration is 1 hour per caster level.<br /><br /><strong>5th</strong>: When you cast creation as a 5th-level spell, it creates an object made out of vegetable matter or material of a mineral nature: crystal, metal, stone, or the like. The object can&rsquo;t have an item level greater than half your caster level. The duration depends on the hardness and rarity of the created object, as indicated on the following table.<br /><br /></p><table class="inner"><tbody><tr><td><strong>Hardness and Rarity Examples</strong></td><td><strong>Duration</strong></td></tr><tr><td>Vegetable matter</td><td>2 hours/level</td></tr><tr><td>Stone, crystal, base metals</td><td>1 hour/level</td></tr><tr><td>Precious metals</td><td>20 minutes/level</td></tr><tr><td>Gems</td><td>10 minutes/level</td></tr><tr><td>Rare metals*</td><td>1 round/level</td></tr></tbody></table><p>* Includes adamantine, alchemical silver, mithral, and skymetal alloys. You can&rsquo;t use a 5th-level&nbsp;<em>creation</em>&nbsp;spell to create a cold iron item.</p>	null	5	null	conjuration (creation)	1 minute	one nonmagical, nontechnological object of nonliving matter, up to 1 bulk/level; see text	null	11	null	see text	none	no	CRB	347
64	Crush Skull	<p>Deal 18d8 damage to living creature&rsquo;s head.</p>	<p>You manipulate the energy that swirls around the target&rsquo;s head, pulling it inward and potentially crushing its skull. You must make a ranged attack against the target&rsquo;s EAC to ensure this spell hits the necessary weak spots in the target&rsquo;s head, but you can add your key ability score modifier to this attack roll instead of your Dexterity modifier if it is higher. If you hit and the target fails a Fortitude saving throw, it takes 18d8 damage. If the target succeeds at its saving throw, it instead takes 4d8 damage. The target might die from damage even if it succeeds at its saving throw; in this case, the spell is not a death effect. This spell has no effect against living creatures that don&rsquo;t have an anatomical head.</p>	5	null	5	necromancy (death)	1 standard action	null	null	3	one living creature	instantaneous	Fortitude partial	yes	CRB	347
65	Daegoxian Spore Cloud	<p>Summons a cloud of fungal spores that calm creatures.</p>	<p>You summon a concentrated cloud of Daegoxian spores, which renders living creatures docile and agreeable. Any creature that enters the cloud or begins its turn within the cloud must succeed at a Will save or be fascinated for 1d4 rounds. A creature that succeeds at this save is immune to the effects of Daegoxian spore cloud for 24 hours.</p>	3	null	null	conjuration (summoning)	1 standard action	null	20-ft.-radius spreadTargets all creatures in the cloud	4	1 round/level (D)	1 round/level (D)	Will negates	no	NSP	155
66	Dampening Field	<p>Prevent creatures from detecting you using sounds or vibrations.</p>	<p>The target becomes encased in a field that dampens sounds and vibrations. For the duration of the spell, the target has total concealment against creatures whose only sense is blindsense (sound) or blindsense (vibration) and can attempt Stealth checks to hide from creatures whose only sense is blindsight (sound) or blindsight (vibration) with a +10 circumstance bonus to their checks. All sounds the target makes intentionally are muffled, increasing the DC of Perception checks to hear them by 5.</p>	2	2	2	abjuration	1 standard action	null	null	2	one creature	1 minute/level	Will (harmless)	yes (harmless)	NSP	155
67	Dancing Lights	<p>Create and direct up to four lights.</p>	<p>You create up to four lights that resemble small headlights or flashlights. The dancing lights must stay within a 10-foot-radius area in relation to each other but otherwise move as you desire: forward or back, up or down, straight or turning corners, or the like. The lights can move up to 100 feet per round. A light winks out if the distance between you and it exceeds the spell&rsquo;s range. You can have only one dancing lights spell active at a time.<br />If you cast this spell while another casting is still in effect, the previous casting is dispelled.</p>	null	0	0	evocation	1 standard action	up to four lights	null	4	null	1 minute (D)	none	no	CRB	347
68	Darkvision	<p>Grant ability to see 60 feet in total darkness.</p>	<p>The target gains the ability to see 60 feet even in total darkness. Darkvision is black and white only but otherwise like normal sight.</p>	2	2	null	transmutation	1 standard action	null	null	2	one creature or camera	1 hour/level	Will negates (harmless)	yes (harmless)	CRB	347
69	Daze	<p>Humanoid creature of CR 3 or lower is dazed.</p>	<p>This spell short-circuits the mind of a humanoid creature with a CR of 3 or lower so that it is dazed (unable to take actions, but taking no penalty to AC). Humanoids of CR 4 or higher are not affected. After a creature has been dazed by this spell, it is immune to it for 1 minute.</p>	0	0	0	enchantment (compulsion, mind-affecting)	1 standard action	null	null	3	one humanoid creature of CR 3 or lower	1 round	Will negates	yes	CRB	347
70	Daze Monster	<p>Target living creature of CR 5 or lower is dazed.</p>	<p>This spell functions like daze, but it can affect any one living creature of any type up to CR 5. Creatures of CR 6 or higher are not affected.</p>	2	2	2	enchantment (compulsion, mind-affecting)	null	null	null	4	one living creature of CR 5 or lower	null	null	null	CRB	347
71	Dazzling Flares	<p>Create bursts of distracting flares, imposing a &ndash;2 penalty on Perception checks made in the area.</p>	<p>You evoke fist-sized pockets of existence from multiple realities, creating chemical reactions that result in up to a dozen flares. These flares appear at once, and they do so within a 10-footradius spread. You choose the flares&rsquo; colors, including colorless, and they make popping noises as they flicker in and out of reality. This popping can be as quiet as a human&rsquo;s whisper or as loud as up to 20 humans shouting. You can cause the flares to emit a sulfurous or ozone smell as they pop. These distracting flares impose a &ndash;2 penalty on Perception checks attempted in the area.<br />If you cast this spell while another casting of dazzling flares is still in effect, the previous casting ends.</p>	null	null	0	evocation	1 standard action	popping, distracting flares within a 10-ft.-radius	null	3	null	1 round	Fortitude negates	yes	COM	134
72	Death Affinity	<p>Transform a creature into an undead amalgam with some of an undead creature&rsquo;s abilities.</p>	<p>You infuse the target with necromantic energy, physically altering their form into an amalgam of life and undeath.<br />For the duration of the spell, the target becomes immune to the following effects (unless such an effect specifies it works against undead creatures): bleed, death effects, disease, energy drain, exhaustion, fatigue, negative levels, nonlethal damage, and poison. This immunity does not apply to such effects currently affecting the creature. The creature also gains a +4 enhancement bonus to saving throws against the following effects: mind-affecting, paralysis, and stunning effects; ability damage; ability drain; and any effect that requires a Fortitude saving throw (unless the effect works on objects or is harmless).<br />For effects that target creatures by type, the target creature counts as both its own type and undead (whichever type allows an ability to affect them for abilities that affect only one type, and whichever is worse for abilities that affect both types).<br />When the spell ends, the above effects end and the target gains the exhausted condition.</p>	3	3	null	necromancy	1 standard action	null	null	2	one willing living creature	10 minutes/level	none	no	NSP	155
73	Death Ward	<p>Target gains +4 bonus to saves against death spells, and is immune to negative energy and gaining negative levels.</p>	<p>The target gains a +4 morale bonus to saving throws against all spells and effects with the death descriptor. The target can attempt a save to negate such effects even if one is not normally allowed. The target can&rsquo;t gain negative levels and is immune to any negative energy effects. This spell does not remove negative levels the target has already gained, but it does remove the penalties from negative levels for the duration of its effect.<br />Death ward does not protect against other sorts of attacks, even if those attacks might be lethal.</p>	4	null	null	necromancy	1 standard action	null	null	2	one living creature	1 minute/level	Will negates (harmless)	yes (harmless)	CRB	348
74	Deep Slumber	<p>Put a number of creatures whose CRs total 8 or less to sleep.</p>	<p>This spell causes living creatures in the area to fall into a magical sleep, gaining the asleep condition (except normal noise doesn&rsquo;t wake up the sleeping creatures). Creatures with the lowest CR are affected first. Among creatures of equal CR, those who are closest to the spell&rsquo;s point of origin are affected first. Deep slumber doesn&rsquo;t affect unconscious creatures, constructs, or undead creatures.</p>	3	null	null	enchantment (compulsion, mind-affecting)	1 round	null	one or more living creatures with a total CR of 8 or lower, all within a 10-ft.-radius burst	3	null	1 minute/level	Will negates	yes	CRB	348
75	Defrex Hardiness	<p>The target gains damage reduction and bristling retributive spines.</p>	<p>The target becomes infused with the resilience of a defrex and sprouts bristling spines. It gains DR/&mdash; equal to your caster level, and any creature adjacent to the target that hits it with a melee attack takes piercing damage equal to your caster level.</p>	1	null	null	abjuration	1 standard action	null	null	2	one creature	1 minute/level	none	no	NSP	155
76	Delay Countermeasures	<p>Delay one computer&rsquo;s countermeasures.</p>	<p>Countermeasures on the target computer are suppressed. If you trigger any suppressed countermeasure, you are still alerted that you have done so, but it activates only after the spell ends.</p>	null	2	null	enchantment	1 standard action	null	null	2	one computer	1 round/level	no	yes	COM	134
77	Destruction Protocol	<p>Turn nonhostile technological construct against your foes.</p>	<p>Waves of inciting programming ebb from your touch, reprogramming a construct to have murderous intentions toward your enemies. This spell must target a construct that is not already programmed or tasked with harming you. The target construct must have a CR lower than or equal to your level. If the target construct is under the control of another creature, the controlling creature can attempt a Will saving throw (DC = the spell&rsquo;s DC) to negate this spell&rsquo;s effect.<br />While this spell is in effect, the construct is under your control. On your turn starting when you cast this spell, you must direct it to attack a target; the construct then pursues and attacks this target as best it can. You can change which target the construct attacks as part of your concentration to continue this spell&rsquo;s duration (a standard action). When you stop concentrating or when the spell&rsquo;s duration otherwise ends, the construct immediately stops following your commands to attack.</p>	null	4	null	enchantment	1 standard action	null	null	2	one nonhostile construct of the technological subtype; see text	concentration, up to 1 round/level	none	yes	CRB	348
78	Detect Affliction	<p>Determine whether a creature or object has been poisoned, is diseased, is cursed, or is suffering a similar affliction.</p>	<p>You determine whether a creature or object has been poisoned, is diseased, is cursed, or is suffering a similar affliction. If the target is poisoned or diseased, you automatically detect that fact and can determine the exact type of poison or disease with a successful DC 20 Intelligence or Wisdom check. If you are trained in Life Science or Medicine (depending on the nature of the poison or disease), you can attempt a DC 20 check of that skill if you fail your Wisdom or Intelligence check. If the target is cursed or suffering from a similar affliction, you must succeed at a DC 20 Intelligence or Wisdom check to determine that fact. You can then determine the exact nature of the curse with a successful DC 25 Mysticism check.</p>	0	0	null	divination	1 standard action	null	null	3	one creature or object	instantaneous	none	yes (harmless)	CRB	348
79	Detect Augmentation	<p>Detect the presence of augmentations in the area.</p>	<p>You detect the presence of augmentations installed within creatures you can see within the area, which appear to you as glowing outlines around the systems in which the augmentations are installed. The spell allows you to determine the type of augmentation, such as biotech, cybernetic, magitech, or necrotech, and its item level, but it does not reveal the function of the augmentation. This spell does not reveal hidden or invisible creatures.</p>	1	null	null	divination	1 standard action	null	cone-shaped emanation	17	null	concentration, up to 1 minute/level	none	no	ARM	149
80	Detect Magic	<p>Detect spells and magic items within 60 feet.</p>	<p>You detect all magic spells, effects, items, and objects (including those on or affecting creatures you can see), as well as hybrid items, in the area. You can&rsquo;t detect magical traps in this way, as they are created with additional magic that wards them from this common spell. Each round you concentrate on the same area, you can determine if one magic source you detect is from a spell, magic item, or other effect, and the caster level (or item level) of the effect. You can&rsquo;t determine if there are magic sources in areas you can&rsquo;t see, or if there was a magic source in an area at one time but that has since expired.</p>	0	0	0	divination	1 standard action	null	cone-shaped emanation	17	null	concentration, up to 1 minute/level	none	no	CRB	348
81	Detect Radiation	<p>Detect radiation within 120 feet.</p>	<p>You detect radiation in the surrounding area, and you can determine the specific intensity of the radiation of one area or object within the spell&rsquo;s area each round without taking an action. The spell can penetrate barriers, but 3 feet of dirt or wood, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or any force field blocks it.</p>	1	1	null	divination	1 standard action	null	120-ft. spherical emanation centered on you	19	null	10 minutes/level	none	no	CRB	348
82	Detect Tech	<p>Detect technological items with charges or that replenish charges within 60 feet.</p>	<p>You detect all technological items (even hybrid items) with charges or that replenish charges in the area, including batteries, power cells, and generators (as well as such items that are on creatures you can see, even if the creatures have hidden those items on themselves). You can&rsquo;t determine if there are technological items in areas you can&rsquo;t see, nor can you detect technological traps in this way.<br />The information this spell provides allows you to differentiate between charged items and items that replenish charges, but it does not provide any further information nor does it tell you, for example, how many charges an item currently has or how many maximum charges it can hold. This spell can penetrate barriers, but 3 feet of dirt or wood, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or any force field blocks it.</p>	null	1	null	divination	1 standard action	null	cone-shaped burst	17	null	instantaneous	none	no	CRB	349
83	Detect Thoughts	<p>&ldquo;Listen&rdquo; to surface thoughts.</p>	<p>You detect the surface thoughts of intelligent creatures around you. The amount of information revealed depends on how long you study a particular area or target.<br />1st Round: You detect the presence or absence of thoughts from conscious creatures that have Intelligence scores of at least 1 (or an Intelligence modifier of &ndash;5) or higher.<br />2nd Round: You detect the number of thinking minds and the Intelligence score (or modifier) of each. If the highest Intelligence score is 26 (or a modifier of +8) or higher and at least 10 points higher than your own Intelligence score (or 5 points higher than your own Intelligence modifier), you are stunned for 1 round and the spell ends. This spell doesn&rsquo;t let you determine the location of the thinking minds if you can&rsquo;t see the creatures whose thoughts you are detecting.<br />3rd Round: You can read the surface thoughts of any mind in the area. A target who succeeds at its Will save prevents you from reading its thoughts, and you must cast detect thoughts again to have another chance. Creatures of animal intelligence (an Intelligence score of 1 or 2 or an Intelligence modifier of &ndash;4 or lower) have simple, instinctual thoughts.<br />Each round, you can turn to detect thoughts in a new area. The spell can penetrate barriers, but 3 feet of dirt or wood, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or any force field blocks it.</p>	1	null	1	divination (mind-affecting)	1 standard action	null	cone-shaped emanation	17	null	concentration, up to 1 minute/level	Will negates, see text	no	CRB	349
84	Digital Doorway	<p>Teleport from one computer to another within range.</p>	<p>You gain the ability to step into a piece of electronic equipment currently connected to a communication or information network (such as a comm unit or a computer connected to an infosphere), converting yourself into digital information and traveling along the network. Once uploaded onto a network, you teleport out from any device within 3,000 feet of the device that you entered; if no such device is in range, you emerge from the same device you entered. You are instantly aware of all unsecured devices connected to the same network as the one you entered, and you can attempt a Computers check (DC = 15 + 1-1/2 &times; the item&rsquo;s level) to detect other devices (this does not require an action); a single check renders you aware of all devices whose DC to detect you exceeded. If the item is a computer, your Computers check result must also exceed the DC required to successfully hack it (Core Rulebook 214). This movement acts as the teleport spell, except there is no chance of missing your destination.<br />When attempting to enter or exit a computer with one or more countermeasures, you automatically trigger any countermeasures that are not successfully disabled. When you emerge from a computer, you can attempt one Computers check, with the result compared to the DC of each countermeasure in place on that computer (this does not require an action); you suffer the effects of all countermeasures with a DC higher than the result of your check. Some countermeasures triggered in this manner are exceptionally dangerous, as noted below.<br />Feedback: The digital virus uploaded into your data causes you to become exposed to the mindfire disease, but the disease has a save DC of 15 + half the item level of the destination device.<br />Firewall: You arrive at the destination prone, and you remain flat-footed and off-target for 1 minute.<br />Wipe: Your recent memories are scrambled, with minor elements removed, causing you to be confused for a number of rounds equal to half the item level of the destination device (minimum 1 round).</p>	null	4	null	conjuration (teleport)	1 standard action	null	null	1	you	1 hour/level or until expended; see text	null	null	PWD	205
85	Dimension Door	<p>Teleport a short distance.</p>	<p>You instantly transfer yourself from your current location to any other spot within range. You always arrive at exactly the spot desired&mdash;whether by simply visualizing the area or by stating its direction. You can bring along objects as long as their weight doesn&rsquo;t exceed your maximum load. You can also bring up to four additional willing or unconscious Medium or smaller creatures (carrying gear or objects up to their maximum load) or their equivalent. A Large creature counts as two Medium creatures, and a Huge creature counts as two Large creatures. All creatures to be transported must be in contact with one another, and at least one of those creatures must be in contact with you. After using this spell, you can&rsquo;t take any other actions until your next turn (and each creature traveling with you can&rsquo;t take any other actions until its next turn).</p><p>If you arrive in a place that is already occupied by a solid body, you and each creature traveling with you each take 1d6 damage and are shunted to a random open space on a suitable surface within 100 feet of the intended location. If there is no free space within 100 feet, you and each creature traveling with you take 2d6 additional damage and are shunted to a free space within 1,000 feet. If there is no free space within 1,000 feet, you and each creature traveling with you take 4d6 additional damage and the spell simply fails.</p>	null	4	4	conjuration (teleportation)	1 standard action	null	null	5	you and touched objects or touched willing or unconscious creatures	instantaneous	none, Will negates (object)	no, yes (object)	CRB	349
86	Dimensional Anchor	<p>Prevent a target from leaving the plane.</p>	<p>You fire a ray at the target, making a ranged attack against its EAC. On a hit, the target is covered in a shimmering field that prevents planar travel. The target can&rsquo;t be affected by any effect that causes the target to move extradimensionally or to another plane, such as teleportation, summoning, plane shifting, astral travel, ethereal travel, and so on. An affected starship can&rsquo;t enter or emerge from Drift travel.</p>	4	4	null	abjuration	1 standard action	null	null	4	one creature or object	1 minute/level	none	yes (object)	AA3	53
87	Directed Denial of Strength Attack	<p>Cause creatures to become encumbered.</p>	<p>You flood targets&rsquo; minds with a magical effect similar to a computer virus that duplicates every sensation of lifting, carrying, and being burdened. Targets become encumbered, or they become overburdened if already encumbered.</p>	null	2	null	enchantment (mind-affecting)	1 standard action	null	null	4	up to one creature/level, no two of which can be more than 30 ft. apart	1 round/level	Will negates	yes	PWD	205
88	Discern Lies	<p>Reveal deliberate falsehoods.</p>	<p>Each round, you concentrate on one target within range. You know if the target deliberately and knowingly speaks a lie by discerning disturbances in its aura caused by lying. The spell does not reveal the truth or uncover unintentional inaccuracies, and it doesn&rsquo;t necessarily reveal evasions. Each round, you can concentrate on a different target.</p>	4	null	null	divination	1 standard action	null	null	3	up to one creature/level, no two of which can be more than 30 ft. apart	concentration, up to 1 round/level	Will negates	no	CRB	349
89	Discharge	<p>Disrupts or depowers one target technological item or construct.</p>	<p>You can dissipate the charges from one technological object, temporarily depower one electrically powered technological object that does not use charges, or severely hinder a construct with the technological subtype. If the spell targets an object with charges, the object loses all of its remaining charges. If the object is powered by electrical means other than charges, its functions are suppressed for 1d4 rounds. If the spell targets a creature not of the technological subtype, it affects a random charged or electrically powered item in that creature&rsquo;s possession. If the target is a construct with the technological subtype, it is staggered and cannot use any energy-based attacks for 1d4 rounds. A construct with the technological subtype that is affected by this spell can attempt a Fortitude saving throw at the end of each round to shrug off the effect.</p>	null	3	null	abjuration	1 standard action	null	null	4	one creature or technological object	instantaneous	Fortitude negates (object)	no	CRB	350
90	Discharge, Greater	<p>Disrupts or depowers multiple technological items or constructs.</p>	<p>This spell functions as discharge, except it can discharge multiple technological objects. You can use it in one of two ways: an area discharge or a targeted discharge.</p><p>Area Discharge: When used in this way, the spell affects everything within a 20-foot-radius burst. Each creature in the area is affected as though by discharge (affecting only one object in the creature&rsquo;s possession), and each unattended object is similarly affected.</p><p>Targeted Discharge: If this spell targets a single creature, it can discharge one randomly determined object from the target&rsquo;s charged or electrically powered possessions for every 4 caster levels you have.</p>	null	6	null	abjuration	null	null	null	4	null	null	null	null	CRB	350
91	Disguise Self	<p>Change your appearance.</p>	<p>You make yourself&mdash;and any clothing, armor, weapons, and equipment on you&mdash;look different. You can seem up to 1 foot shorter or taller, thin, fat, or in between. You can&rsquo;t change your creature type (although you can appear as another subtype). Otherwise, the extent of the apparent change is up to you. You could merely add or obscure a minor feature, or you could look like an entirely different person or gender.</p><p>The spell does not provide the abilities or mannerisms of the chosen form nor does it alter the perceived tactile (touch) or audible (sound) properties of you or your equipment. If you use this spell to create a disguise, you gain a +10 circumstance bonus to the Disguise check (since it counts as altering your form). A creature that interacts with you directly can attempt a Will saving throw to recognize your appearance as an illusion.</p>	1	1	1	illusion	1 standard action	null	null	1	null	10 minutes/level (D)	null	null	CRB	350
92	Disintegrate	<p>Ray reduces one creature or object to dust.</p>	<p>Immense power shoots from your finger, with the potential to disintegrate a target where it stands.</p><p>When you cast this spell, a thin, green ray springs from your pointing finger. You must make a ranged attack against your target&rsquo;s EAC, but you can add your key ability score bonus to this attack instead of your Dexterity modifier if it is higher. If you hit, the target takes 14d20 damage. Any creature reduced to 0 Hit Points by this spell is entirely disintegrated, leaving behind only a trace of fine dust. A disintegrated creature&rsquo;s equipment is unaffected. Only one target is affected per casting of this spell.</p><p>When used against an object, the ray simply disintegrates as much as a 10-foot cube of nonliving matter. Thus, the spell disintegrates only part of any very large object or structure targeted. The ray affects even objects constructed entirely of force, but it does not affect other magical effects that are not an object, creature, or force effect.</p><p>A creature or object that succeeds at a Fortitude saving throw is partially affected, taking only 4d20 damage. If this damage reduces the creature or object to 0 Hit Points, the target is entirely disintegrated.</p>	null	6	6	transmutation	1 standard action	null	null	4	one creature or object, or up to a 10-ft. cube of nonliving matter	instantaneous	Fortitude partial (object)	yes	CRB	350
93	Dismissal	<p>Force extraplanar creatures whose total CR is no greater than your level + 2 to return to their native planes.</p>	<p>The spell instantly forces one or more extraplanar creatures off your current plane, whisking them away instantly&mdash;usually to the creature&rsquo;s home plane, but there is a 20% chance of sending the target to a random plane other than its own. You can improve the spell&rsquo;s chance of success by presenting one object or substance that the target fears, hates, or otherwise opposes; you gain a +1 circumstance bonus to your caster level check to overcome the target&rsquo;s spell resistance (if any), and the save DC of the spell increases by 2. At the GM&rsquo;s discretion, certain rare items might work twice as well, providing a +2 circumstance bonus to the caster level check to overcome spell resistance and increasing the spell&rsquo;s save DC by 4.<br />4th: When you cast dismissal as a 4th-level spell, it affects one extraplanar creature.</p>	4	4	4	abjuration	1 standard action	null	null	3	see text	instantaneous	Will negates, see text	yes	CRB	350
94	Dismissal	<p>Force extraplanar creatures whose total CR is no greater than your level + 2 to return to their native planes.</p>	<p>The spell instantly forces one or more extraplanar creatures off your current plane, whisking them away instantly&mdash;usually to the creature&rsquo;s home plane, but there is a 20% chance of sending the target to a random plane other than its own. You can improve the spell&rsquo;s chance of success by presenting one object or substance that the target fears, hates, or otherwise opposes; you gain a +1 circumstance bonus to your caster level check to overcome the target&rsquo;s spell resistance (if any), and the save DC of the spell increases by 2. At the GM&rsquo;s discretion, certain rare items might work twice as well, providing a +2 circumstance bonus to the caster level check to overcome spell resistance and increasing the spell&rsquo;s save DC by 4.<br />5th: When you cast dismissal as a 5th-level spell, it affects a number of extraplanar creatures whose total CR can&rsquo;t exceed your level + 2, no two of which can be more than 30 feet apart.</p>	5	5	5	abjuration	1 standard action	null	null	3	see text	instantaneous	Will negates, see text	yes	CRB	350
