id	name	description	level	source	source_page
70	Dimensional disruption	<p>This fusion infuses the disruption of kishalee weapons into the weapon&rsquo;s output. Half of the weapon&rsquo;s damage type is replaced with sonic damage, and it gains the staggered critical hit effect. You can activate or deactivate the dimensional disruption fusion as a swift action. If the weapon already deals two types of damage, replace one of them with sonic (you decide which damage type is replaced each time you activate the dimensional disruption fusion). If the weapon already has a critical effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the staggered effect, though you can apply the staggered effect only if the target takes sonic damage from this fusion. This fusion can never cause a weapon that normally targets KAC to target EAC.</p>	6	DS05	39
71	EMP	<p>The EMP weapon fusion gives the weapon an electromagnetic pulse critical hit effect. When this effect triggers, the target&rsquo;s worn and wielded technology, including weapons without the analog special property, armor environmental protections, powered armor, and technological and hybrid items, cease functioning for 1 round. A technological construct struck by this effect must succeed at a Reflex save or be staggered for 1 round. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the EMP effect.</p>	6	AA3	109
72	Ensnaring	<p>The ensnaring fusion binds the target on a critical hit. On a critical hit with this weapon, you can apply the entangle weapon special property (Core Rulebook 181). The entangle effect ends after 1 minute if the target has not already escaped it. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the entangle effect. If you successfully affect a target with both the entangling and ensnaring fusions on the same attack roll, only the ensnaring fusion applies, and your use of the entangling fusion is not consumed. Only weapons that deal bludgeoning, cold, piercing, or slashing damage can benefit from this fusion.</p>	6	ARM	63
73	Hive Buster	<p>A weapon with the hive buster fusion can temporarily disrupt the psychic ability of certain creatures on a critical hit. The target can negate this effect with a successful Will save; otherwise, it can&rsquo;t use its limited telepathy or telepathy for 1d4 rounds. If the creature has the hive mind or Swarm mind ability, it can&rsquo;t use that ability and gains the flat-footed and off-target conditions for the same duration. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the hive buster effect.</p>	6	A!02	44
74	Knockdown	<p>With the knockdown fusion, a weapon disrupts a target&rsquo;s center of gravity. The weapon gains the knockdown critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the knockdown effect. Only weapons that deal bludgeoning damage can benefit from this fusion.</p>	6	CRB	194
75	Menacing	<p>A weapon with the menacing fusion aggressively pushes against your foe&rsquo;s guard, making way for other attackers. When you hit an enemy with a melee attack using a menacing weapon, that enemy is considered flanked for all other melee attackers until the start of your next turn. This weapon fusion does not provide any benefit to your own attacks. Only melee weapons can benefit from the menacing fusion.</p>	6	ARM	64
76	Nanite	<p>The nanite fusion gives a weapon the nanite burst critical effect. When this critical effect is triggered, a cloud of nanites detaches from the blade and begins devouring the target, swarming over it and dismantling it at the molecular level. In this situation, the weapon deals double damage as normal, but all of the damage is treated as acid damage, and the target must succeed at a Fortitude saving throw (see page 181 of the Starfinder Core Rulebook for how to calculate the DC) or be nauseated for 1 round. When you score a critical hit with a weapon that has multiple critical hit effects, you can apply only one of those critical hit effects of your choice. Only melee weapons can have this fusion.</p>	6	AA1	67
77	Spellbane	<p>A weapon with the spellbane fusion gains the spellbane critical hit effect. A target affected by the spellbane critical hit effect must succeed at a Will save (DC as normal for a weapon of the given item level; see page 181 of the Starfinder Core Rulebook) or be unable to cast spells or use spell-like abilities for 1d4 rounds. If the weapon already has a critical hit effect, you can choose to apply either the weapon&rsquo;s normal critical hit effect or the spellbane effect when you score a critical hit.<br />If a spellbane weapon also has a fusion that allows it to bypass damage reduction of a specific alignment (such as an unholy weapon&rsquo;s ability to bypass DR/evil), its spellbane critical hit effect works only against creatures with the diametrically opposed alignment (for example, good creatures in the case of a spellbane unholy weapon), but the save DC of the spellbane critical hit effect increases by 2.</p>	6	DS01	53
78	Charge disrupting	<p>A weapon with the charge disrupting fusion disrupts power sources. When you score a critical hit using a weapon with the charge disrupting fusion, either the target or a single visible object carried by the target is subject to discharge, as the spell. The target creature (or its bearer, in the case of an object) can attempt a Fortitude save to negate the effect, as normal. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the charge disrupting effect.</p>	7	ARM	62
79	Mind rending	<p>Scoring a critical hit with a weapon with the mind rending fusion damages the psyche of the creature struck. The target can negate this effect with a successful Will save; otherwise, roll on the Psychic Trauma table to determine how the target creature is affected. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or a psychic trauma. Psychic trauma is a mindaffecting effect. While each psychic trauma exploits a potential neurosis, the trauma does not cause actual insanity. The effects of psychic trauma can be removed with the remove affliction spell (DC = 15 + half the item level of the mind rending weapon).</p><table><thead><tr><th>D20</th><th>TRAUMA</th><th>EFFECT</th></tr></thead><tbody><tr><td>1&ndash;5</td><td>Anxiety</td><td>Shaken 1d4 rounds</td></tr><tr><td>6&ndash;9</td><td>Indecision</td><td>Staggered 1d4 rounds</td></tr><tr><td>10&ndash;12</td><td>Dementia</td><td>Confused 1 round</td></tr><tr><td>13&ndash;14</td><td>Amnesia</td><td>&ndash;5 penalty to all skill checks to recall knowledge for 24 hours</td></tr><tr><td>15&ndash;16</td><td>Paranoia</td><td>Not treated as an ally and can&rsquo;t treat any other character as an ally for 24 hours</td></tr><tr><td>17&ndash;18</td><td>Despair</td><td>&ndash;2 penalty to attack rolls and saving throws for 24 hours</td></tr><tr><td>19&ndash;20</td><td>Phobia</td><td>Panicked 1 round</td></tr></tbody></table>	7	ARM	64
80	Tattoo	<p>Popular among the Xun of the Golden League, a tattoo weapon can be hidden in the form of a tattoo on your body. If you already have tattoos, the weapon matches them in size and style when in tattoo form. When not in tattoo form, the weapon has images similar to its last tattoo form worked along its length as colorful decorations.<br />Detect magic and similar spells do not reveal the magical natural of a tattoo weapon in its tattoo form, though true seeing does, and with a close examination a successful Mysticism check (DC = 15 + half the weapon&rsquo;s item level) reveals that the tattoo is magical. A successful dispel magic spell targeting the tattoo causes the weapon to appear and fall at your feet. The weapon&rsquo;s bulk does not impair you while in tattoo form, and you can hide or retrieve the weapon as a swift action. While it is a tattoo, the weapon can&rsquo;t be damaged.</p>	7	PWD	195
81	Wounding	<p>The wounding fusion causes a weapon to deal exceptionally traumatic damage. The weapon gains the wound critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the wound effect.</p>	7	CRB	195
82	Annihilator	<p>A weapon with the annihilator fusion looks corroded, worn, and crudely formed. If a target is slain by an attack with an annihilator weapon, the target disintegrates entirely (as though by the disintegrate spell).</p>	8	DS02	53
83	Continuous	<p>The continuous fusion lets a weapon with the line special property sustain fire continuously by expending additional charges. When you make a line attack with a weapon with this fusion, you can expend additional ammunition or charges equal to the weapon&rsquo;s usage value to sustain your attack until the start of your next turn. This has no additional effect on targets already within the line, but anything that moves across your weapon&rsquo;s line is attacked using your original attack roll and damage. If you hit but fail to damage this new target, it blocks your line as normal. If an existing blockage is removed, your line extends out to its maximum range unless blocked anew, and it can damage creatures and objects that it failed to reach previously. You can&rsquo;t damage a single target more than once in a round with the continuous fusion, even if it moves in and out of the path of your attack. If you move from where you initiated the attack for any reason, your line automatically ends. Only weapons that can make a line attack benefit from this fusion. You can use the continuous fusion with unwieldy weapons.</p>	8	ARM	63
84	Guarded	<p>The guarded fusion guides timing so that ranged attacks don&rsquo;t leave the wielder vulnerable. When you make a ranged attack using a weapon with this fusion, your attack does not provoke an attack of opportunity. The guarded fusion does not prevent attacks of opportunity provoked for any reason other than making a ranged attack. Only ranged and thrown weapons can benefit from this fusion.</p>	8	ARM	63
85	Leeching	<p>The leeching weapon fusion gives a weapon the leech critical hit effect. When you score a critical hit with the weapon, if at least one target of the attack takes damage equal to the weapon&rsquo;s item level, you recover a number of Hit Points equal to the weapon&rsquo;s item level, in addition to any other critical hit effect. This healing restores Hit Point damage first, followed by Stamina Points. Any healing in excess of your Hit Point damage and Stamina Point damage is lost. Once you have benefited from this healing, you cannot benefit from the leeching fusion again until you take a 10-minute rest and expend 1 Resolve Point to regain Stamina Points.</p>	8	AA2	55
86	Rebounding	<p>The rebounding fusion lets you bounce your attacks off a wall to reach your target. When making a ranged attack, you can ricochet your attack off a single solid barrier into your target. You take a &ndash;4 penalty to your attack roll. You must have line of sight to your target, and your target still benefits from any applicable concealment. Calculate cover based on the point you ricochet from. The fusion prevents any damage to the barrier and allows you to carom shots at apparently impossible angles. You can&rsquo;t ricochet off a barrier your weapon would automatically pass through, such as rebounding a laser off a transparent surface, but you can ricochet off a barrier that your weapon would normally destroy. A thrown weapon with both the rebounding and returning fusions returns as normal, rebounding off the barrier again on its way back to you. Only thrown and ranged weapons can benefit from this fusion.</p>	8	ARM	65
87	Synesthetic	<p>A weapon with the synesthetic fusion carries a trace of the Dreamers&rsquo; psychic energies. When you score a critical hit using a weapon with this fusion, the target must succeed at a Will save or the distinctions between its senses begin to blur in a particularly disorienting fashion. For 1d3 rounds, the affected creature&rsquo;s speeds are halved and it takes a &ndash;4 penalty to attack rolls, AC, Reflex saves, and skill checks. A creature affected by a synesthetic weapon is immune to this effect from the same weapon for 24 hours. This is a mind-affecting effect. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the synesthetic effect.</p>	8	AA2	45
88	Temporal disruption	<p>With this fusion, a weapon&rsquo;s energy damage can slow down the rate of subatomic movement in the target. The weapon gains the stunned critical hit effect. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the stunned effect. Only weapons that deal sonic damage can benefit from the temporal disruption fusion. If your weapon deals more than one type of energy damage, you can apply the stunned critical effect only if one of those damage types is sonic.</p>	8	DS05	40
89	Tritidair	<p>An installed tritidair fusion causes a weapon to show a star field with one bright constellation, similar to the patterns on tritidair wings. You can activate or deactivate the tritidair fusion as a swift action. While the fusion is active, half the weapon&rsquo;s damage becomes electricity damage, and the weapon gains the bright property. You can add this fusion to a weapon that already deals electricity damage, but then the fusion has no effect on the weapon&rsquo;s damage other than to make it magical. If the weapon already deals two types of damage, you choose which one of them to replace with electricity damage each time you activate the tritidair fusion. When you score a critical hit with a weapon that has an active tritidair fusion, the target must succeed at a Fortitude saving throw or be blinded for 1d3 rounds. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or this blinded effect. This fusion never causes a weapon that normally targets KAC to target EAC.</p>	8	AA2	15
90	Beneficent	<p>When you score a critical hit against a significant enemy with a weapon that has the beneficent fusion, you gain one charge of beneficence. As long as you are wielding the same weapon, you can expend a charge of beneficence to cast either remove affliction or lesser remove condition as a spell-like ability, using the weapon&rsquo;s item level as your caster level. You cannot have more than one charge of beneficence at a time, and you lose all charges of beneficence if you take a 10 minute rest and spend a Resolve Point to regain your Stamina Points or if you take an 8-hour rest and regain your daily-use abilities and spells. If the weapon with the beneficent fusion has an item level of 14 or higher, you can instead use a charge of beneficence to cast remove condition. If the weapon has an item level of 19 or higher, you can instead use a charge of beneficence to cast greater remove condition. A weapon cannot have the beneficent weapon fusion if it also has the unholy or wounding weapon fusions.</p>	9	ARM	62
91	Burdening	<p>First commissioned by the wardens of the prison-planet Daegox 4 and now used in prisons throughout Near Space, the burdening weapon fusion often bears chains or manacles. When you score a critical hit using a weapon with the burdening fusion, the target gains the encumbered condition for 1d4 rounds. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the burdening effect.</p>	9	NSP	150
92	Corrosive	<p>The corrosive fusion weaves the destructive power of acid into the weapon&rsquo;s form. Half the weapon&rsquo;s damage type is replaced with acid damage. You can activate or deactivate the corrosive fusion as a swift action. If the weapon already deals two types of damage, replace one of them with acid (you decide which damage type is replaced each time you activate the corrosive fusion). You can add this fusion only to a weapon that does not already deal acid damage. This fusion never causes a weapon that normally targets KAC to target EAC.</p>	9	CRB	193
93	Malediction	<p>Once per day when you successfully attack a foe with a weapon with the malediction fusion, as a reaction you can cast bestow curse on the target as a spell-like ability (using the weapon&rsquo;s item level as the caster level). This does not provoke an attack of opportunity. If the weapon with this fusion has an item level of 14 or higher you may use this ability twice per day, and if it has an item level of 19 or higher you may use this ability three times per day. A weapon cannot have the malediction fusion if it also has either the holy or merciful weapon fusions.</p>	9	ARM	64
94	Ratjaw	<p>Famously linked to criminals who worship Lao Shu Po, the ratjaw fusion aids in disarming and robbing foes. On a critical hit, the weapon knocks an item of your choice out of the target&rsquo;s possession, as long as it something that could be removed with a successful disarm combat maneuver. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or this disarming ability. If the ratjaw weapon is a ranged weapon, the disarmed item lands in any square of your choice adjacent to the target. If the ratjaw weapon is a melee weapon, it draws the item to you, and you can grab the item with a free hand.</p>	9	PWD	195
95	Thundering	<p>The thundering fusion imbues a weapon with heightened frequency vibrations. Half the weapon&rsquo;s damage type is replaced with sonic damage. You can activate or deactivate the thundering fusion as a swift action. If the weapon already deals two types of damage, replace one of them with sonic (you decide which damage type to replace each time you activate the thundering fusion). You can add this fusion only to a weapon that does not already deal sonic damage. This fusion never causes a weapon that normally target KAC to target EAC.</p>	9	CRB	195
96	Lightveiled	<p>The lightveiled fusion renders a weapon invisible in bright light. While the weapon is carried openly in an area of bright light, it is invisible, though attacking with the weapon renders it visible for 1 minute.</p>	10	AA3	71
97	Nullifying	<p>Damage from a weapon with the nullifying fusion temporarily reduces spell resistance. When you damage a creature with spell resistance using a weapon with this fusion, its spell resistance is reduced by 2 until the end of your next turn. Multiple hits from weapons with this fusion stack.</p>	10	ARM	64
98	Tracking	<p>The tracking fusion lets you locate a creature recently damaged by the weapon. Activating the fusion is a move action that binds the tracking fusion to the first creature you damage with the weapon before the start of your next turn. Once you track a target with this fusion, you are aware of the target&rsquo;s location as long as it is within 1,000 feet and you keep the weapon with this fusion in hand.<br />If the target is further away, you can attempt a Perception check (opposed by the target creature&rsquo;s Stealth check) to know approximately what direction the creature is in, though not accurately enough to triangulate its exact location. This is considered a magic divination. The tracking effect is removed if the target travels more than 10 miles away from you, the target changes planes, the effect is dispelled, you fail a Perception check to know its general distance by 10 or more, or 24 hours have passed since you last damaged the target with this weapon. For the purposes of dispelling the tracking effect, treat the effect as a spell with a caster level equal to the weapon&rsquo;s item level. You can track only one creature at a time. Activating the tracking weapon fusion again automatically ends any previous binding. Only attacks made by the weapon against a single target can benefit from this fusion.</p>	10	ARM	65
99	Vorpal	<p>With the vorpal fusion, a weapon can tear between the molecules of a creature. The weapon gains the severe wound critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the severe wound effect. Only a weapon that deals bludgeoning, piercing, or slashing damage can benefit from this fusion.</p>	10	CRB	195
100	Mind-Reading	<p>Developed by telepathic creatures such as the psychic gas oozes inhabiting Preluria, the mind-reading fusion reverberates with psychic feedback. When you score a critical hit using a weapon with the mind-reading fusion, you automatically read the surface thoughts of the creature struck. This is a mind-affecting ability. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the mind-reading effect.</p>	13	NSP	150
