id	name	prerequisities	description	long_description	combat	source	source_page
101	Versatile Fighting	Adaptive Fighting, character level 5th	Spend RP to use Adaptive Fighting more often in a day	<p>You can spend 1 Resolve Point to use the Adaptive Fighting feat after you have already used it in the same day. If you use Adaptive Fighting again before the duration of a previous use expires, you replace the previous combat feat gained with another choice from Adaptive Fighting. If a combat feat you chose with Adaptive Fighting has a daily use limitation, you cannot use Versatile Fighting to use that feat more often than its daily limit.</p>|	yes	COM	119
102	Versatile Focus	Weapon Focus (any)	#ERROR!	<p>The benefits of Weapon Focus extend to all weapons with which you are proficient.</p>|	yes	CRB	163
103	Versatile Specialization	Weapon Specialization, character level 3rd	Deal extra damage with all weapon types you are proficient with	<p>You gain specialization in all weapons with which you are proficient that can be selected with Weapon Specialization.</p>|	yes	CRB	163
104	Wary Withdrawal	Dex 13, Wis 13, Mobility	Allows withdraw during total defense action	<p>When you use the total defense action, you can also withdraw as a move action. If you do so, you can move only up to your speed.</p>|	yes	SS1	52
105	Weapon Focus	Proficiency with selected weapon type	#ERROR!	<p>Chose one weapon type (small arms, longarms, heavy weapons, etc.). You gain a +1 bonus to attack rolls with that weapon type. If your base attack bonus is at least 3 lower than your character level (or your mechanic’s class level, if you are a drone), you gain a +2 bonus instead.</p>|	yes	CRB	163
106	Weapon Specialization	Character level 3rd, proficiency with selected weapon type	Deal extra damage with selected weapon type	<p>Choose one weapon type (small arms, longarms, heavy weapons, etc.). You gain specialization in that weapon type, which means you add your character level to damage with the selected weapon type, or half your character level for small arms or operative melee weapons. You can never have specialization in grenades.</p>|	yes	CRB	163
107	Accelerated Recovery	Con 13	Recover more quickly during an 8-hour rest	<p>You regain twice as many Hit Points when taking an 8-hour rest. In addition, for each uninterrupted 8 hours of rest you receive, you recover from afflictions as though you had rested for a full day. This effect does not stack with other effects that increase these rates of healing and recovery; if more than one would apply, you choose which one takes effect.</p>|		COM	112
108	Adaptive Casting	Key ability score 19, caster level 7	Select three additional spells known; cast one of them once a day	<p>Select three spells from class spell lists you can cast spells from. They must be at least 1 level lower than the highest spell level you can cast. Once per day, you can cast one of these spells as a spell-like ability. Each time you gain a caster level, you can change which three spells you have selected with this feat.</p>|		COM	112
109	Adaptive Upgrade	Int 19, Engineering 10 ranks	Temporarily create low-level armor upgrades	<p>Select three armor upgrades, each with an item level no greater than half your ranks in Engineering. If these upgrades require any choices to be made (such as what kind of energy damage they protect against), you must make those choices when you select this feat. With 8 hours of work, you can adapt any armor upgrade of an item level equal to at least half your ranks of Engineering, allowing it to function as one of your three selected upgrades. This upgrade functions only when the upgrade is installed in armor you are wearing. Activating this upgrade requires a move action, after which the upgrade functions as both its normal upgrade and your selected upgrade for 1 minute. If a selected upgrade requires charges, ammunition, or other resources, you must provide them normally; you can add batteries and ammunition to the upgrade as part of the process of adapting it to work with your selected upgrade choices. You can have only one upgrade adapted to be usable with this feat at a time—if you adapt a new upgrade, the adaptations to any previous upgrade are lost. Once you’ve used your adapted upgrade, you can’t use it again until you’ve regained Stamina Points after a 10-minute rest.<br/> Each time you gain another rank in Engineering, you can change the three upgrades you have selected with this feat.</p>|		COM	112
110	Agile Casting	Key ability score 15, Dex 15, Mobility, caster level 4th	Cast a spell at any point during movement	<p>As a full action, you can move up to your speed and cast a single spell with a casting time of one standard action or less at any point during your movement. If you have a supernatural ability that can be activated as a standard action or less, you can instead use that ability at any point during your movement.</p>|		CRB	155
111	All Hands on Deck	Four or more arms	Many hands make light work.	<p>When performing labor, perhaps requiring a Strength check or an Athletics check, such as digging a hole, moving cargo, or hauling in a rope, you can complete the task in half the usual time. Tasks requiring other checks aren’t included.</p>|		COM	20
112	Antagonize	Diplomacy 5 ranks, Intimidate 5 ranks	Anger a foe, causing it to become off-target and take a -2 penalty to skill checks for 1 round or more	<p>As a standard action, you can antagonize a foe that can see and hear you by attempting a Diplomacy or Intimidate check (DC = 10 + your opponent's total Sense Motive skill bonus, or 15 + 1-1/2 x the opponent's CR, whichever is higher). If you succeed, the foe is off-target and takes a -2 penalty to all skill checks for 1 round plus 1 additional round for every 5 by which your result exceeds the DC, or until it makes an attack against you, forces you to attempt a saving throw, or damages you (whichever comes first). Once you have attempted to antagonize a foe, that foe is immune to this ability for 24 hours. This is a language-dependent ability.</p>|		CRB	155
113	Apt Mentor	Life Science or Physical Science 5 ranks	Can automatically succeed at certain aids 3 times a day.	<p>Three times per day, you can automatically succeed at an attempt to aid another on an Intelligence- or Wisdom-based check. Additionally, each time you succeed at a Diplomacy check to gather information, you can learn one additional piece of information.</p>|		NSP	132
114	Arm Extensions	Constructed racial trait or construct type	You have special devices installed into your arms that allow you to extend them great distances.	<p>As a move action, you can extend your natural reach by 10 feet, retaining this benefit until you retract your reach to normal as another move action. While your arms are extended, you take a −2 penalty to attack rolls with weapons wielded in your hands and to Dexterity- and Strength-based ability checks and skill checks. You can use this ability to grab an object or surface and pull yourself to that item or surface as a full action, or you can anchor yourself where you are to lower yourself to another surface. When doing so, you move 15 feet as if using a fly speed with perfect maneuverability, ending your movement in a square adjacent to the chosen object or surface. If your movement does not end on solid ground, you either fall or must begin climbing the surface you grabbed (your choice).</p>|		COM	17
115	Blood of the Spider	Racial trait that grants a spell-like ability	Something in your ancestry has strengthened your innate magic and given it an arachnid twist.	<p>You can use spider climb once per day as a spell-like ability, using your character level as the caster level.</p>|		NSP	130
116	Climbing Master	Athletics 5 ranks	Gain a climb speed equal to your base speed	<p>You gain a climb speed equal to your land speed.</p>|		CRB	155
117	Combat-Trained Mount	Survival 1 rank	You work fluidly with your creature companion mount.	<p>Your creature companion is a combat-trained mount, and you no longer need to attempt the fight from a combat-trained mount task of Survival when directing it in battle.</p>|		AA3	140
118	Connection Inkling	Wis 15, character level 5th, no levels in mystic.	Gain the ability to cast minor mystic spells	<p>Choose two 0-level mystic spells and one 1st-level mystic spell. You can cast the 0-level spells at will and the 1st-level spell once per day for every 3 character levels you have. Your caster level is equal to your character level, and the key ability score for these spells is Wisdom. If you later gain levels in mystic, you lose the benefits of this feat and can replace it with either Spell Focus or Spell Penetration.</p>|		CRB	156
119	Corruption's Gift	One or more corruption manifestations (see pages 40-45 of Starfinder Adventure Path #10: The Diaspora Strain)	Gain permanent manifestation gift	<p>Choose one of your manifestations and make its gift permanent. If you're ever cured of your corruption, you lose the stain but not the gift. You can take this feat multiple times, making a diffe ent gift permanent each time you do so. Each instance of this feat counts as a manifestation you have for calculating the save DC for corruption.</p>|		SS3	52
120	Cosmic Truth	Wis 15, Bluff 5 ranks, Mysticism 5 ranks	Reveal a cosmic truth that makes one target who fails a Will save confused for 1d4 rounds	<p>As a standard action, you can spend 1 RP to force one creature within 30 feet of you to attempt a Will save (DC = 10 + half your ranks in Bluff + your Wisdom bonus); if it fails, it is confused for 1d4 rounds. Once a creature has seen or heard you use this ability, it is immune to your further uses of the ability for 24 hours. This is a language-dependent, sense-dependent ability.</p>|		COM	113
121	Creature Companion Adept	Survival 1 rank	You can grant your creature companion simple actions.	<p>Once per round, you can take a standard action to grant your creature companion action a standard action, take a move action to grant it a move action, or take a swift action to grant it a swift action. Your creature companion can take a move action before or after the granted action. You can control your creature companion at a range of 30 feet.</p>|		AA3	140
122	Creature Companion Expert	Creature Companion Adept, Survival 4 ranks	Your control of your creature companion improves.	<p>Your creature companion can take one reaction per round. In addition, when you use the Creature Companion Adept feat, you can grant your companion a standard action by taking a move action instead of a standard action. Alternatively, you can take a move action and a swift action to grant your companion a full action; if you do, it can take no other actions. You can control your creature companion at a range of 50 feet.</p>|		AA3	140
123	Creature Companion Master	Creature Companion Expert, Survival 10 ranks	Your bond with your companion deepens, allowing it to anticipate your commands.	<p>Each round on your turn, after you act and only if you didn’t grant your creature companion any actions, your creature companion can either take a move action or standard action in addition to its normal move action, or forgo its normal move action and make a full attack. It takes a –6 penalty to full attacks made using this ability. You can control your creature companion at a range of 80 feet.</p>|		AA3	140
124	Creature Companion Virtuoso	Creature Companion Master, Survival 13 ranks	Your creature companion can unleash its fury unbidden.	<p>Each round on your turn, after you act and only if you didn’t grant your creature companion any actions, your creature companion can forgo its normal move action to make a full attack with a –4 penalty to its attacks. You can control your creature companion at a range of 120 feet.</p>|		AA3	140
125	Deadly Boast	Cha 19, Bluff 10 ranks	Make an attack or effect sound so impressive that foes have a harder time defending against it	<p>As a full action, you can describe in great detail how powerful and effective a specific action taken by you or an ally is going to be. You must select a specific character to boast about, and a specific weapon, item, spell, or ability to be used. Attempt a Bluff check against all foes within 60 feet of you, using the same DC you would use if attempting to demoralize them with Intimidate—roll a single check and compare the result to the DC for each target. Each target your check succeeds against takes a –1 penalty to AC and a –2 penalty to saving throws against the action you boasted about until the end of your next turn. Once you have attempted to use this ability against a creature, it is immune to your use of this feat for 24 hours. This is a sensedependent, language-dependent ability.</p>|		COM	113
126	Diehard	null	You can spend Resolve Points to stabilize and to stay in the fight in the same round	<p>You must use Resolve Points to stabilize and to stay in the fight in separate rounds.</p>|		CRB	156
127	Diligent Searcher	Perception 1 rank	#ERROR!	<p>You gain a +1 insight bonus to Perception checks. In addition, you can take 20 on a Perception check to search in only 5 times the usual amount of time, meaning it takes only 5 minutes for you to exhaustively search an area no more than 20 feet by 20 feet.</p>|		3C01	44
128	Disease Adaptation	Con 11	#ERROR!	<p>You gain a +2 enhancement bonus to saving throws against disease.</p>|		COM	113
129	Disease Rejection	Con 17, Disease Adaptation	Recover from diseases much more swiftly	<p>When you fulfill a disease’s cure condition, you move two steps toward healthy instead of one.</p>|		COM	114
130	Dispelling Strike	Base attack bonus +10, Mysticism 10 ranks	Spend 1 Resolve Point to make a melee attack act as dispel magic	<p>When you are wielding a magic weapon (normally a weapon with a weapon fusion, but anything that bypasses DR/magic qualifies), as a standard action you can spend 1 Resolve Point to cast dispel magic for the targeted dispel function. You can use this only against an adjacent target. Once you have used this ability, you cannot do so again until you regain Stamina Points after a 10-minute rest.</p>|		COM	114
131	Diverse Conditioning	Eternal hope or ecstatic joy racial trait, character level 5th	Your broad experience has made you better at avoiding danger.	<p>Choose two effect descriptors. You can spend 1 Resolve Point to reroll a failed saving throw against effects that have either of those descriptors. Once you use this ability, you can do so again only after a 10-minute rest to regain Stamina.</p>|		COM	32
132	Diversion	null	Use Bluff to create a distraction so that your allies can hide	<p>Using Bluff to create a distraction allows only you to attempt a Stealth check to hide.</p>|		CRB	156
133	Divine Blessing	Worship a deity of an alignment within one step of your own alignment (Starfinder Core Rulebook 25).	Gain a deity unique power based on who you worship	<p>Your benefit is determined by the deity you worship.<br/> <strong>Abadar:</strong> When you make an attack as a standard action against a chaotic fey or chaotic outsider, your attack ignores any one form of DR, resistance, or immunity to damage the target has (your choice).<br/> <strong>Besmara:</strong> You can attempt a disarm combat maneuver against an opponent to remove any item of 1 bulk or less that the target could draw as a move or swift action.<br/> <strong>Damoritosh:</strong> When you score a critical hit with a doshko that doesn't have the wound or severe wound critical hit effect, you can replace any critical hit effect it normally has with the wound critical hit effect. If you score a critical hit with a doshko that normally has the wound or severe wound critical hit effect, you also apply the knockdown critical hit effect to the target.<br/> <strong>Desna:</strong> Your deity sometimes grants you bursts of luck. Once per day, you can reroll any one failed skill check.<br/> <strong>The Devourer:</strong> If you are knocked unconscious or killed by a creature that is a legal target for a weapon you are wielding, as a reaction you can make a single attack against the creature. You can make this single attack despite being unconscious or dead.<br/> <strong>Eloritu:</strong> Once per day you can cast identify as a spell-like ability, attempting a caster level check (use your character level as your caster level: 1d20 + your character level), in place of the normal Engineering or Mysticism check (though you still receive identify's +10 bonus).<br/> <strong>Hylax:</strong> You gain limited telepathy, as per the shirren racial ability. If you already have limited telepathy, you gain the ability to treat any creature that has a friendly or helpful attitude toward you as if it shared a language with you when determining whether you can use limited telepathy to communicate with it.<br/> <strong>Ibra:</strong> When you attempt a skill check to recall knowledge about a very difficult question, you receive a +2 divine bonus to your check.<br/> <strong>Iomedae:</strong> When you make an attack as a standard action against an evil dragon or evil outsider, your attack ignores any one form of DR, resistance, or immunity to damage the target has (your choice).<br/> <strong>Lao Shu Po:</strong> When you attack a flat-footed target in the surprise round of combat, if your attack hits, it deals 1d6 additional damage of the same type as its normal damage to a single target affected by the attack.<br/> <strong>Nyarlathotep:</strong> Once per day when an attack, effect, or spell imposes a condition on you, as a reaction you can delay that condition so it takes effect on you 1 round later. The condition then lasts 1d4 rounds longer than it would have if you had not delayed it.<br/> <strong>Oras:</strong> Select three feats that you do not have but whose prerequisites you meet. Once per day as a move action, you can gain the benefit of one of these feats for 1 minute. Each time you gain a level, you can replace one of these three selected feats with a different feat that you don't have but whose prerequisites you meet.<br/> <strong>Pharasma:</strong> When you make an attack as a standard action against an undead creature, your attack ignores any one form of DR, resistance, or immunity to damage the target has (your choice).<br/> <strong>Sarenrae:</strong> The first time you deal fire damage each round, you can convert half the fire damage into holy energy damage. Fire resistance or immunity does not apply to the holy energy portion of the damage.<br/> <strong>Talavet:</strong> As a move action, you can grant yourself a bonus as if an ally had succeeded at an aid another check or successfully used cover fire against a foe of your choice. This doesn't stack with any use of those options. Once you have used this ability, you can't use it again until you spend 1 Resolve Point during a 10-minute rest to regain Stamina Points.<br/> <strong>Triune:</strong> You can use a computer without having a user interface or hacking kit simply by touching it. You must still succeed at a Computers check to hack it if you do not have authorized access. Additionally, you have limited telepathy that functions only with constructs with the technological subtype.<br/> <strong>Urgathoa:</strong> Once per day as a swift action, you can force a creature of your choice within 60 feet that is subject to a disease to immediately attempt a save against that disease as if enough time had passed to fulfill its frequency. The subject suffers the normal consequences of a failed save against the disease, but a successful save does not count toward a number of successful saves needed to end the disease.<br/> <strong>Weydan:</strong> Whenever you first arrive on a new planet, you can select an appearance for yourself when you are on that planet. This becomes your natural appearance when on that planet (though you can use Disguise to alter this new appearance normally). This new appearance must be of the same type and subtype as your race, but you can change any other details. Anyone attempting to recognize you based on some other appearance must succeed at a Perception check with a DC equal to 20 + 1-1/2 x your character level.<br/> <strong>Yaraesa:</strong> You can roll a skill check to recall knowledge twice and take the better of the two results. Once you have used this ability, you can't use it again until you spend 1 Resolve Point during a 10-minute rest to regain Stamina Points.<br/> <strong>Zon-Kuthon:</strong> When you cast a spell or make an attack that deals damage, you can grant that spell or attack the pain descriptor. When you damage a creature with a pain effect, as a reaction, you can cause it to become flat-footed for 1 round. Once you use this ability, you can't use it again until you spend 1 Resolve Point during a 10-minute rest to regain Stamina Points.</p>|		PWD	190
134	Echolocation Attack	Perception as a class skill	Use the echo of sonic attacks to better sense your surroundings	<p>When you take an action that deals sonic damage, as a move action you can grant yourself blindsense (sound) with a range of 30 feet until the end of your next turn. If you have blindsense (sound or vibration), you can instead grant yourself blindsight (sound or vibration, to match your blindsense) with a range of 30 feet or a range equal to your blindsense (whichever is shorter) until the end of your next turn.</p>|		COM	114
135	Eldritch Lore	Key ability score 19, Lesser Eldritch Lore, Minor Eldritch Lore, caster level 10th, 10 levels in a class with a class spell list	Gain an additional 2nd-level spell known	<p>You gain one additional 2nd-level spell known from your class spell list.</p>|		COM	114
136	Enhanced Communalism	Character level 5th, communalism racial trait	You’re able to benefit from your allies’ presence more often.	<p>You can use the communalism racial trait multiple times per day. Each time you use it after the first, you must spend 1 Resolve Point to do so. Additionally, you can use communalism as a reaction when an ally within 10 feet of you attempts an attack roll or a skill check, allowing the ally to roll the triggering attack roll or skill check twice and use the higher result.</p>|		COM	24
137	Enhanced Resistance	Base attack bonus +4	Gain damage reduction or energy resistance	<p>Choose either kinetic damage or one of acid, cold, electricity, fire, or sonic. If you choose kinetic damage, you gain damage reduction equal to your base attack bonus. If you choose acid, cold, electricity, fire, or sonic, you gain energy resistance against that type of energy equal to your base attack bonus.</p>|		CRB	157
138	Environmental Adaptation	Con 13	Gain immunity to a number of environmental and weather effects	<p>Select a number of the following environmental conditions and weather conditions (Core Rulebook 395) equal to your Constitution modifier: thick atmosphere (includes severely thick atmosphere), thin atmosphere (includes severely thin atmosphere), toxic atmosphere (includes low-level and heavily toxic atmospheres), rain and snow (includes rain, snow, heavy snow, and dust storms), winds (includes light, moderate, strong, and severe winds and windstorms), cold dangers (includes cold, severe cold, and extreme cold), extreme gravity, heat dangers (includes heat, severe heat, and extreme heat), and smoke effects (including smoke grenades). You do not take any of the selected conditions’ penalties to skill checks or attack rolls, do not take nonlethal damage from them, and do not need to attempt saving throws to resist their effects. Once these condition choices are made, they cannot be changed. If your Constitution bonus increases from an effect that does not have a limited duration, you can add additional conditions to your list.</p>|		COM	114
139	Extended Telepathy	Limited telepathy racial trait	Increase range of limited telepathy	<p>Increase the range of your limited telepathy by 30 feet.</p>|		PWD	191
140	Extra Resolve	Character level 5th	Gain 2 additional Resolve Points	<p>You have 2 additional Resolve Points in your pool.</p>|		CRB	157
141	Fast Talk	Bluff 5 ranks	Baffle a potential foe, causing it to be surprised when combat begins	<p>You can distract a creature with a confusing barrage of words, causing it to be surprised at the beginning of combat. You can use this ability only on a creature you are able to converse with (it must be able to see or hear you and understand your words) prior to the beginning of combat, and you must continue to converse with it until combat begins. You can’t use this ability if you are the one to instigate combat or if you are unaware at the start of combat.<br/> When the GM declares that combat has begun, but before initiative is rolled, you can spend 1 Resolve Point to attempt a Bluff check against a single creature that this ability can affect. The DC is equal to 15 + the target’s total Perception skill bonus, or 20 + 1-1/2 × the target’s CR, whichever is higher. If your check is successful, the target creature is considered unaware at the start of combat, allowing other creatures (including yourself) to act in a surprise round. Once you have attempted to use this ability on a creature, whether or not you succeed, it is immune to this ability for 24 hours.</p>|		CRB	157
142	Fighting Balance	null	You know how to fight while off-balance or prone.	<p>As a move action, you can crawl 10 feet. While you are prone, you take only a −2 penalty to melee attack rolls and no penalty to AC against melee attacks.</p>|		NSP	131
143	Focused Sense	Blindsense	Temporarily gain blindsight with a limited range	<p>As a move action, you can gain blindsight (using the same sense as your blindsense) with a range equal to half that of your blindsense until the beginning of your next turn. You can use this ability with only one type of blindsense (such as sound or vibration) at a time.</p>|		COM	115
144	Four-Handed Hacker	Computers 1 rank, four or more hands	When you hack a computer, it’s a two-front war.	<p>When you use the hack system task of Computers, if you have two hacking kits, your hacking attempt takes half the time (minimum 1 full action). You can also add, destroy, disable, remove, or repair a system or module in half the usual time.</p>|		COM	21
145	Frightening Injection	Intimidate 3 ranks	Intimidate your foes when you inject them	<p>When you successfully inject a creature with a substance (including a biohacker’s biohack) using a weapon that has the injection special property, you can attempt an Intimidate check to demoralize that creature as a move action before the end of your turn. A creature can be affected by this ability only once per day.</p>|		COM	115
146	Frightful Display	Cha 15, Intimidate 5 ranks, ability to cast spells	Intimidate a foe as a reaction after they fail a save against your spell	<p>As a reaction when a creature fails a saving throw against a spell you cast this round, you can attempt an Intimidate check to demoralize that creature. You can target only one creature regardless of how many creatures your spell affected, and a given creature can’t be targeted by this ability more than once per day.</p>|		COM	115
147	Great Fortitude	null	#ERROR!	<p>You gain a +2 bonus to Fortitude saving throws.</p>|		CRB	157
148	Greater Eldritch Lore	Key ability score 21, Eldritch Lore, Lesser Eldritch Lore, Minor Eldritch Lore, caster level 13th, 13 levels in a class with a class spell list	Gain an additional 3rd-level spell known	<p>You gain one additional 3rd-level spell known from your class spell list.</p>|		COM	115
149	Greater Shadow Infusion	Improved Shadow Infusion, Shadow Infusion, character level 13th	Become incorporeal and reduce physical and nonphysical damage	<p>As a reaction when you take damage, you can become insubstantial and reduce nonmagical kinetic damage you take by 100% and magical or energy damage you take by 50%. This benefit can't reduce damage from effects that deal full damage to incorporeal creatures. You can use this benefit once per day. After that, you can expend 1 Resolve Point to use it again. If your attempt to use this ability fails to reduce the damage you take, you don't expend its use or the Resolve Point.</p>|		SS3	52
150	Greater Spell Penetration	Spell Penetration	Additional +2 bonus to caster level checks to overcome SR	<p>You gain a +2 bonus to caster level checks to overcome a creature’s spell resistance. This bonus stacks with the bonus from Spell Penetration.</p>|		CRB	157
151	Harm Undead	Healing channel connection power, mystic level 1st	Expend a spell slot for healing channel to also damage undead	<p>When you use your healing channel, you can expend a mystic spell slot of the highest level you can cast to also deal damage equal to the amount you heal to all undead foes in the area. The undead can attempt a Will save for half damage, at your usual connection power DC.</p>|		CRB	157
152	Hauler	Str 13	You can carry much more than usual	<p>You treat your Strength score as 3 higher for the purpose of determining your carrying capacity. In addition, when you are encumbered or overburdened, you take only a –4 penalty to Strength- and Dexterity-based checks.</p>|		COM	115
153	Helpful Telepath	Communalism or hive defense racial trait, limited telepathy or telepathy racial trait	You’re able to provide uncanny support to your allies.	<p>When you use aid another, covering fire, or harrying fire and succeed at your attack roll or skill check, you can forgo granting your ally the usual benefit of that action to instead grant the following benefits, determined by the action you used. Any effect that increases the bonuses provided by these actions doesn’t apply when using this feat. You can use this feat in conjunction with the Suppressive Fire feat, but you must apply the same effect (a circumstance bonus or the benefit described below) to all allies within the chosen area. You can provide these benefits only to allies with whom you can communicate using telepathy or limited telepathy.<br/> Once you’ve used this feat, you can’t do so again until you’ve taken a 10-minute rest to regain Stamina.<br/> <em>Aid Another:</em> Instead of gaining a bonus to a skill check, your ally can roll the check twice and use the higher result.<br/> <em>Covering Fire:</em> Instead of granting a bonus to the ally’s AC, the next opponent to attack the chosen ally must roll the attack roll twice and use the lower result.<br/> <em>Harrying Fire:</em> Instead of gaining a bonus to an attack roll, the next ally to attack the chosen opponent can roll the attack roll twice and use the higher result.</p>|		COM	25
154	Hyper Speed	Hyper racial ability	You can’t hold still, making you difficult to hit.	<p>When you use your hyper racial ability, you gain concealment (20% miss chance) until the start of your next turn.</p>|		NSP	134
155	Improved Demoralize	null	You can use the Intimidate skill to demoralize as a move action.	<p>You can use the Intimidate skill to demoralize as a move action.</p>|		SS3	52
156	Improved Energy Resistance	Con 13, character level 10th, energy resistance from a racial trait	Your natural energy resistance is more pronounced	<p>Your resistance to one type of energy damage from a racial trait stacks with one other source of energy resistance. If it already stacked, that resistance increases by 5 instead.</p>|		COM	116
157	Improved Great Fortitude	Great Fortitude, character level 5th	Spend 1 Resolve Point to reroll a Fortitude save	<p>You can spend 1 RP to reroll a failed Fortitude save.</p>|		CRB	158
158	Improved Iron Will	Iron Will, character level 5th	Spend 1 Resolve Point to reroll a Will save	<p>You can spend 1 RP to reroll a failed Will save.</p>|		CRB	158
159	Improved Kip-Up	Acrobatics 1 rank, Kip-Up feat or moxie racial trait	You can stand from prone in a blink of an eye.	<p>You can stand from prone as a reaction. If you have 5 or more ranks in Acrobatics, you can expend 1 Resolve Point to stand from prone during your turn as part of another full, move, or standard action you take.</p>|		COM	28
160	Improved Lightning Reflexes	Lightning Reflexes, character level 5th	Spend 1 Resolve Point to reroll a Reflex save	<p>You can spend 1 RP to reroll a failed Reflex save.</p>|		CRB	158
161	Improved Shadow Infusion	Shadow Infusion, character level 7th	Become shrouded in shadow to gain concealment	<p>As a swift action, you can shroud yourself in shadow for 1 round. While shrouded in this fashion, you have concealment, even in areas of normal or bright light, against creatures that have no ability to see or otherwise sense you through darkness. You can use this feat for 1 round per day per character level you have. These rounds need not be consecutive.</p>|		SS3	52
162	Improved Spell-Like Ability	At least one spell-like ability that is a level-0 or 1st-level spell, character level 4th	You have focused on honing your innate magical talents.	<p>Choose one spell-like ability you have that is a 0- or 1st-level spell. Once this choice is made, it cannot be changed. You can use a chosen 0-level spell two additional times per day or the chosen 1st-level spell one additional time per day.</p>|		NSP	131
163	Intuit Relationships	Perception 1 rank, Sense Motive 1 rank	You can quickly sense relationships between others and use that knowledge to manipulate them.	<p>After 1 minute or more of interaction with or observation of two or more creatures, you can attempt a Sense Motive check to intuit the relationship between or among those creatures. If you don’t understand the language they are speaking, you take a –5 penalty to the check. The DC is equal to 10 + the highest Bluff skill bonus among the creatures or 15 + 1-1/2 × the highest CR among the creatures, whichever is higher. If you succeed at this check by 5 or more, for the next hour, you gain a +2 circumstance bonus to Bluff, Diplomacy, and Intimidate checks against the creatures when you use their relationship as part of the interaction. The GM decides if the bonus applies. If you fail the check, you can’t attempt to use this benefit on the same creatures again until you gain another rank in Sense Motive.</p>|		3C01	44
164	Iron Will	null	#ERROR!	<p>You gain a +2 bonus to Will saving throws.</p>|		CRB	158
165	Jet Dash	null	Move faster when running, double height and distance when jumping	<p>You move four times your land speed and gain the flat-footed condition while running.</p>|		CRB	158
166	Lesser Eldritch Lore	Key ability score 17, Minor Eldritch Lore, caster level 7th, 7 levels in a class with a class spell list	Gain an additional 1st-level spell known	<p>You gain one additional 1st-level spell known from your class spell list.</p>|		COM	116
167	Lightning Reflexes	null	#ERROR!	<p>You gain a +2 bonus to Reflex saving throws.</p>|		CRB	159
168	Major Eldritch Lore	Key ability score 23, Eldritch Lore, Greater Eldritch Lore, Lesser Eldritch Lore, Minor Eldritch Lore, caster level 16th, 16 levels in a class with a class spell list	Gain an additional 4th-level spell known	<p>You gain one additional 4th-level spell known from your class spell list.</p>|		COM	116
169	Major Psychic Power	Cha 15, Minor Psychic Power, Psychic Power, character level 7th	Cast a 2nd-level spell as a spell-like ability 1/day	<p>Select one of the following 2nd-level spells: augury or status. You can cast this spell once per day as a spell-like ability, using your character level as your caster level.</p>|		CRB	159
170	Major Stage Magic	Cha 15, Minor Stage Magic, Stage Magic, character level 7th	Gain a 2nd level spell to help distract foes or entertain crowds	<p>Select one of the following 2nd-level spells: holographic image, invisibility, or mirror image. You can cast this spell once per day as a spell-like ability, using your character level as your caster level. The key ability score for this spell is Charisma. If you select holographic image with this feat and you have already selected holographic image with the Stage Magic feat, you can replace the spell selected with Stage Magic with another spell listed in the Stage Magic feat.</p>|		PWD	191
171	Masked Visage	null	With your face concealed, you can be inscrutable.	<p>While a mask obscures your face, you gain a +2 circumstance bonus to Bluff checks to lie. DCs of Sense Motive attempts against you increase by 2, as does the DC of Intimidate attempts to bully you.</p>|		COM	21
172	Master Crafter	Computers, Engineering, Life Science, Mysticism, Physical Science, or appropriate Profession 5 ranks	Craft items in half the normal time	<p>Choose one skill that allows you to craft items in which you have the required number of ranks. When you craft items using that skill, it takes half the normal time.</p>|		CRB	159
173	Medical Expert	Life Science 1 rank, Medicine 1 rank, Physical Science 1 rank	Treat deadly wounds more quickly, and provide long-term care without a medical lab	<p>You can use the Medicine skill in conjunction with a medpatch or sprayflesh to treat deadly wounds as a full action. If you have an ability that enables you to treat deadly wounds more often but with a longer time frame (such as the envoy’s surgeon expertise talent), you cannot use this feat to use that ability more quickly. When used in this way, the medpatch or sprayflesh does not perform any of its normal functions. You can also use the Medicine skill to provide longterm care with just a medkit.</p>|		CRB	159
174	Memorable Coercer	Intimidate 1 rank	You know how to use coercion to change people’s minds without suffering the consequences.	<p>You gain a +1 insight bonus to Intimidate checks. In addition, when you successfully use Intimidate to bully an opponent, the target must attempt a Will saving throw once the intimidation wears off. The DC is equal to 10 + your number of ranks in Intimidate. If the target fails this save, their attitude toward you becomes indifferent and they won’t report you to any authorities.</p>|		3C01	45
175	Memory Access	Construct type, constructed racial trait, exocortex, or head slot augmentation	#ERROR!	<p>You gain a +2 insight bonus to skill checks to identify creatures and recall knowledge.</p>|		COM	116
176	Minor Eldritch Lore	Key ability score 15, caster level 4th, 4 levels in a class with a class spell list	Gain an additional 0-level spell known	<p>You gain one additional 0-level spell from your class spell list.</p>|		COM	116
177	Minor Psychic Power	Cha 11	Cast a 0-level spell as a spell-like ability 3/day	<p>Select one of the following 0-level spells: dancing lights, psychokinetic hand, telekinetic projectile, or telepathic message. You can cast this spell three times per day as a spell-like ability, using your character level as your caster level.</p>|		CRB	160
178	Minor Stage Magic	Cha 11	Gain a 0-level spell to help distract foes or entertain crowds	<p>Select one of the following 0-level spells: dancing lights, ghost sound, or token spell. You can cast this spell three times per day as a spell-like ability, using your character level as your caster level. The key ability score for this spell is Charisma.</p>|		PWD	191
